content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'3M,'1-1-1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'For other uses, see 3M (disambiguation).",'1-1-2-1-1,0,0,0,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,N
'3M Company,'1-1-2-1-2-1-1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,3,C
'Type,'1-1-2-1-2-1-2-2-1,0,0,0,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,C
'Public,'1-1-2-1-2-1-2-2-2,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-2-1-2-3-1,0,0,0,1,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'NYSE MMM,'1-1-2-1-2-1-2-3-2-1-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Dow Jones Industrial Average Component,'1-1-2-1-2-1-2-3-2-1-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'S&P 500 Component,'1-1-2-1-2-1-2-3-2-2,0,0,0,1,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Industry,'1-1-2-1-2-1-2-4-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Conglomerate,'1-1-2-1-2-1-2-4-2,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Founded,'1-1-2-1-2-1-2-5-1,0,0,0,1,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
"'Two Harbors, Minnesota",'1-1-2-1-2-1-2-5-2-1,0,0,0,1,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'United States (1902,'1-1-2-1-2-1-2-5-2-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,2,I
'Founder(s),'1-1-2-1-2-1-2-6-1,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Dr. Danley Budd,'1-1-2-1-2-1-2-6-2-1,0,0,0,1,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Henry Bryan,'1-1-2-1-2-1-2-6-2-2,0,0,0,1,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Hermon Cable,'1-1-2-1-2-1-2-6-2-3,0,0,0,1,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'John Dwan,'1-1-2-1-2-1-2-6-2-4,0,0,0,1,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'William McGonagle,'1-1-2-1-2-1-2-6-2-5,0,0,0,1,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Headquarters,'1-1-2-1-2-1-2-7-1,0,0,0,1,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
"'Maplewood, Minnesota",'1-1-2-1-2-1-2-7-2-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'U.S.,'1-1-2-1-2-1-2-7-2-2,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Area served,'1-1-2-1-2-1-2-8-1,0,0,0,1,1,2,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Worldwide,'1-1-2-1-2-1-2-8-2,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
