content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'AT&T,'1-1-1-1-1-1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,C
"'This article is about the company known as AT&T since 2005. For the original AT&T (American Telephone & Telegraph) founded in 1885, see AT&T Corporation. For other uses, see AT&T (disambiguation).",'1-1-1-1-1-2-1-1-1,2,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,N
'AT&T Inc.,'1-1-1-1-1-2-1-1-2-1,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
'Type,'1-1-1-1-1-2-1-1-2-3-1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Public,'1-1-1-1-1-2-1-1-2-3-2,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-1-1-1-2-1-1-2-4-1,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'NYSE,'1-1-1-1-1-2-1-1-2-4-2-1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Dow Jones Industrial Average Component,'1-1-1-1-1-2-1-1-2-4-2-2-1,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'S&P 500 Component,'1-1-1-1-1-2-1-1-2-4-2-2-2,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Industry,'1-1-1-1-1-2-1-1-2-5-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Telecommunications,'1-1-1-1-1-2-1-1-2-5-2,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
