content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'AXA,'1-1-1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'For other uses, see Axa (disambiguation).",'1-1-2-1-1-1,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,N
"'""Mutual of New York"" redirects here. For the baseball team, see New York Mutuals.",'1-1-2-1-1-2,1,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,N
'AXA S.A.,'1-1-2-1-2-1-1,0,0,0,1,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
'Type,'1-1-2-1-2-1-3-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Société Anonyme,'1-1-2-1-2-1-3-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-2-1-4-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'Euronext: CS, OTCQX: AXAHY",'1-1-2-1-2-1-4-2,0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Industry,'1-1-2-1-2-1-5-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Financial services,'1-1-2-1-2-1-5-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,I
'Founded,'1-1-2-1-2-1-6-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'1817,'1-1-2-1-2-1-6-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Founder(s),'1-1-2-1-2-1-7-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Claude Bébéar,'1-1-2-1-2-1-7-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-2-1-8-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'25 avenue Matignon, 75008, Paris, France",'1-1-2-1-2-1-8-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,I
'Area served,'1-1-2-1-2-1-9-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Worldwide,'1-1-2-1-2-1-9-2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-2-1-10-1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Henri de Castries,'1-1-2-1-2-1-10-2-1,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'(Chairman and CEO),'1-1-2-1-2-1-10-2-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,2,I
'Products,'1-1-2-1-2-1-11-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Life and health insurance, investment management",'1-1-2-1-2-1-11-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,I
'Revenue,'1-1-2-1-2-1-12-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€86.107 billion (2011),'1-1-2-1-2-1-12-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Profit,'1-1-2-1-2-1-13-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€4.324 billion (2011),'1-1-2-1-2-1-13-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'AUM,'1-1-2-1-2-1-14-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'€1.103 trillion (2011),'1-1-2-1-2-1-14-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total assets,'1-1-2-1-2-1-15-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'€731.65 billion (2011),'1-1-2-1-2-1-15-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total equity,'1-1-2-1-2-1-16-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€49.70 billion (2011),'1-1-2-1-2-1-16-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-2-1-17-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'102,960 (2010)",'1-1-2-1-2-1-17-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Website,'1-1-2-1-2-1-18-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'axa.com,'1-1-2-1-2-1-18-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
"'AXA S.A. is a French global investment, retirement, and insurance group headquartered in the 8th arrondissement of Paris. AXA is a conglomerate of independently run businesses, operated according to the laws and regulations of many different countries. The AXA group of companies engage in life, health and other forms of insurance, as well as investment management. The group operates primarily in Western Europe, North America, the Asia Pacific region, and the Middle East.",'1-1-2-1-2-2-1-1-1-1,2,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,N
"'The AXA Group encompasses five operating business segments: Life & Savings, Property & Casualty, International Insurance (including reinsurance), Asset Management and Other Financial Services.",'1-1-2-1-2-2-1-1-1-2,1,0,0,1,0,2,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,3,N
'Contents,'1-1-2-1-2-2-1-1-2-1-1,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'1 History,'1-1-2-1-2-2-1-1-2-1-2-1,0,0,0,1,0,1,1,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,1,I
'2 The AXA name,'1-1-2-1-2-2-1-1-2-1-2-2,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'3 Operations 3.1 In the United Kingdom 3.1.1 AXA Sun Life
3.1.2 AXA PPP healthcare

3.2 On the Isle of Man
3.3 AXA Schengen
3.4 In Canada
3.5 In the United States
3.6 In Mexico
3.7 In Asia Pacific",'1-1-2-1-2-2-1-1-2-1-2-3,2,0,0,1,0,2,1,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
'4 Capital ownership,'1-1-2-1-2-2-1-1-2-1-2-4,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'5 Headquarters,'1-1-2-1-2-2-1-1-2-1-2-5,0,0,0,1,0,1,1,0,0,2,1,0,1,1,1,0,0,0,0,1,0,0,2,I
'6 Philanthropic initiatives,'1-1-2-1-2-2-1-1-2-1-2-6,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'7 See also,'1-1-2-1-2-2-1-1-2-1-2-7,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'8 References,'1-1-2-1-2-2-1-1-2-1-2-8,0,0,0,1,0,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'9 External links,'1-1-2-1-2-2-1-1-2-1-2-9,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'History,'1-1-2-1-2-2-1-1-2-2-1-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,2,C
"'The company was originally founded in 1816 as Mutuelle de L'assurance contre L'incendie (the Ancienne Mutuelle). It acquired Compagnie Parisienne de Garantie in 1978 and became Mutuelles Unies. It went on to buy the Drouot Group in 1982, becoming Mutuelles Unies/Drouot. It adopted the at AXA name in 1985. The takeover of The Equitable, a well-known American insurer, came in 1991. It bought Union des Assurances De Paris (UAP), France's largest insurer, in 1996 becoming AXA-UAP for a while before reverting to the name AXA in 1999. Then in February 1999 AXA acquired Guardian Royal Exchange. In May 2000 AXA acquired all shares it did not already own in Sun Life & Provincial Holdings. On 14 June 2006 AXA acquired the leading Swiss insurance company Winterthur Group from Credit Suisse for approximately €9 billion.",'1-1-2-1-2-2-1-1-2-2-1-2,2,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'The AXA name,'1-1-2-1-2-2-1-1-2-2-2-1,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'Despite being written in upper case, ""AXA"" is not an acronym, but was chosen because its name can be pronounced easily by people who speak any language. After acquiring the Drouot Group in 1982, Chairman and CEO Claude Bébéar hired an outside consultant to conduct a computer-aided search for a new name. Bébéar wanted a short and snappy name to convey vitality and could be pronounced the same way in every language, consistent with the group's desire for an international presence. Initially, ""Elan"" was the top choice, but Canadian executives balked because ""elan"" is the French word for where a moose or elk live. In 1985, Bébéar chose the name AXA.",'1-1-2-1-2-2-1-1-2-2-2-2,2,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Axa Group global locations,'1-1-2-1-2-2-1-2-2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,N
'Operations,'1-1-2-1-2-2-1-3-1-1-1-1,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,3,C
