content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Aegon,'1-1-1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'Aegon N.V.,'1-1-2-1-1-1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,N
'Type,'1-1-2-1-1-2-2-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Naamloze vennootschap,'1-1-2-1-1-2-2-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-1-2-3-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'Euronext: AGN, NYSE: AEG",'1-1-2-1-1-2-3-2,0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Industry,'1-1-2-1-1-2-4-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Financial services,'1-1-2-1-1-2-4-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,I
'Founded,'1-1-2-1-1-2-5-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'1983,'1-1-2-1-1-2-5-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-1-2-6-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'The Hague, Netherlands",'1-1-2-1-1-2-6-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,I
'Area served,'1-1-2-1-1-2-7-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Worldwide,'1-1-2-1-1-2-7-2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-1-2-8-1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Alex Wynaendts,'1-1-2-1-1-2-8-2-1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'(CEO),'1-1-2-1-1-2-8-2-2-1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,2,N
'Rob Routs,'1-1-2-1-1-2-8-2-2-2,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,3,I
'(Chairman of the supervisory board),'1-1-2-1-1-2-8-2-2-3,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,N
'Services,'1-1-2-1-1-2-9-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,3,C
"'Life insurance, asset management, pensions",'1-1-2-1-1-2-9-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,I
'Revenue,'1-1-2-1-1-2-10-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'€29,937 million (2012)",'1-1-2-1-1-2-10-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Profit,'1-1-2-1-1-2-11-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'€1,571 million (2012)",'1-1-2-1-1-2-11-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total assets,'1-1-2-1-1-2-12-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'€366,118 million (end 2012)",'1-1-2-1-1-2-12-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total equity,'1-1-2-1-1-2-13-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'€29,700 million (end 2012)",'1-1-2-1-1-2-13-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-1-2-14-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'24,407 (end 2012)",'1-1-2-1-1-2-14-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Website,'1-1-2-1-1-2-15-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'www.aegon.com,'1-1-2-1-1-2-15-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
"'Aegon N.V. is a multinational life insurance, pensions and asset management company headquartered in The Hague, Netherlands. At the end of 2012, Aegon companies employed approximately 24,000 people worldwide, serving millions of customers.",'1-1-2-1-2-1-1-1,2,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,I
'Aegon has a primary listing on Euronext Amsterdam and is a constituent of the AEX index. It has a secondary listing on the New York Stock Exchange.,'1-1-2-1-2-1-1-2,1,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Contents,'1-1-2-1-2-1-2-1-1,0,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'1 History,'1-1-2-1-2-1-2-1-2-1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,I
"'2 Operations 2.1 Subsidiaries and divisions 2.1.1 North America
2.1.2 Netherlands
2.1.3 United Kingdom
2.1.4 Other

2.2 Joint ventures
2.3 Shareholdings",'1-1-2-1-2-1-2-1-2-2,1,0,0,1,0,2,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,2,I
'3 Sponsorships,'1-1-2-1-2-1-2-1-2-3,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,2,I
'4 References,'1-1-2-1-2-1-2-1-2-4,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'5 External links,'1-1-2-1-2-1-2-1-2-5,0,0,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'History,'1-1-2-1-2-1-2-2-1-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,C
'Aegon was founded in 1983 from the merger of AGO Holding N.V. (created by the merger of three companies in 1968) and Ennia N.V. (formed by the merger of three companies in 1969).,'1-1-2-1-2-1-2-2-1-2-1,2,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1,I
"'Aegon acquired Scottish Equitable in 1994. In 1998 it formed Stonebridge International Insurance Ltd to create and market a range of personal insurance products, providing accident, health and unemployment cover to its own customers and via business partners.",'1-1-2-1-2-1-2-2-1-2-2,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,2,I
'In 1999 it acquired the life assurance business of Guardian Royal Exchange. That year it also bought Transamerica Corporation.,'1-1-2-1-2-1-2-2-1-2-3,1,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'On August 13, 2007, Aegon and Merrill Lynch announced a strategic business partnership in the areas of life insurance and investment products. As part of the relationship, Aegon acquired two of Merrill Lynch's life insurance companies for US$1.3 billion.",'1-1-2-1-2-1-2-2-1-2-4,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,2,I
"'On April 23, 2008, Alex Wynaendts succeeded the retiring Donald J. Shepard as Chairman of the Executive Board and CEO of Aegon N.V. following the Group's Annual General Meeting of Shareholders: Donald Shepard announced his retirement in November 2007, after six years as Chairman.",'1-1-2-1-2-1-2-2-1-2-5,2,0,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
