content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'American International Group,'1-1-1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'It has been suggested that Chartis be merged into this article. (Discuss) Proposed since February 2014.,'1-1-2-1-1-1-2,1,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,N
"'""AIG"" redirects here. For other uses, see AIG (disambiguation).",'1-1-2-1-1-2,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,N
"'American International Group, Inc.",'1-1-2-1-2-1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,N
'Type,'1-1-2-1-2-2-2-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Public,'1-1-2-1-2-2-2-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-2-2-3-1,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'NYSE AIG,'1-1-2-1-2-2-3-2-1,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'S&P 500 Component,'1-1-2-1-2-2-3-2-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Industry,'1-1-2-1-2-2-4-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Insurance, Financial services",'1-1-2-1-2-2-4-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,I
'Founded,'1-1-2-1-2-2-5-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Shanghai, China (1919)",'1-1-2-1-2-2-5-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,I
'Founder(s),'1-1-2-1-2-2-6-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Cornelius Vander Starr,'1-1-2-1-2-2-6-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-2-2-7-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'New York, New York, U.S.",'1-1-2-1-2-2-7-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Area served,'1-1-2-1-2-2-8-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Worldwide,'1-1-2-1-2-2-8-2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-2-2-9-1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Bob Benmosche,'1-1-2-1-2-2-9-2-1,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'(President & CEO),'1-1-2-1-2-2-9-2-2-1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,I
'Steve Miller,'1-1-2-1-2-2-9-2-2-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Products,'1-1-2-1-2-2-10-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Insurance, Property Casualty: Commercial & Consumer, Life & Retirement, Mortgage Insurance, Aircraft Leasing",'1-1-2-1-2-2-10-2,1,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,I
'Revenue,'1-1-2-1-2-2-11-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'US$ 65,656 million (2012)",'1-1-2-1-2-2-11-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Operating income,'1-1-2-1-2-2-12-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'US$ 6,635 million (2012)",'1-1-2-1-2-2-12-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Net income,'1-1-2-1-2-2-13-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'US$ 3,438 million (2012)",'1-1-2-1-2-2-13-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total assets,'1-1-2-1-2-2-14-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'US$ 548,633 million (2012)",'1-1-2-1-2-2-14-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total equity,'1-1-2-1-2-2-15-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'US$ 98,669 million (2012)",'1-1-2-1-2-2-15-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-2-2-16-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Approximately 63,000 (2012)",'1-1-2-1-2-2-16-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Website,'1-1-2-1-2-2-17-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'AIG.com,'1-1-2-1-2-2-17-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
"'American International Group, Inc. – also known as AIG – is an American multinational insurance corporation with over 63,000 employees globally. AIG companies serve customers in more than 130 countries around the world; the company is a provider of property casualty insurance, life insurance and retirement services, and mortgage insurance. AIG’s corporate headquarters are in New York City, its British headquarters are in London, continental Europe operations are based in La Défense, Paris, and its Asian headquarters are in Hong Kong. According to the 2013 Forbes Global 2000 list, AIG was the 62nd-largest public company in the world. As of February 20, 2014, it had a market capitalization of $73.11 billion, per FactSet.",'1-1-2-1-3-1-1,2,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,I
'Contents,'1-1-2-1-3-1-2-1-1,0,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'1 History 1.1 The Early Years: 1919 to 1939
1.2 International and Domestic Expansion: 1940 to 1959
1.3 Reorganization and Specialization: 1960 to 1979
1.4 New Opportunities and Directions: 1980 to 1999
1.5 2000s
1.6 Financial crisis",'1-1-2-1-3-1-2-1-2-1,2,0,0,1,0,2,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,I
'2 Corporate governance,'1-1-2-1-3-1-2-1-2-2-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,2,I
'2.1 Board of directors,'1-1-2-1-3-1-2-1-2-2-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'3 Business,'1-1-2-1-3-1-2-1-2-3,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,I
'4 Restatement,'1-1-2-1-3-1-2-1-2-4,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'5 See also,'1-1-2-1-3-1-2-1-2-5,0,0,0,1,0,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'6 References,'1-1-2-1-3-1-2-1-2-6,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'7 Further reading,'1-1-2-1-3-1-2-1-2-7,0,0,0,1,0,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'8 External links,'1-1-2-1-3-1-2-1-2-8,0,0,0,1,0,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,I
'History,'1-1-2-1-3-1-2-2-1-1-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,2,C
'The Early Years: 1919 to 1939,'1-1-2-1-3-1-2-2-1-1-2,0,0,0,1,1,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,C
"'AIG traces its roots back to 1919, when American Cornelius Vander Starr (1892-1968) established a general insurance agency, American Asiatic Underwriters (AAU), in Shanghai, China. Business grew rapidly, and two years later, Starr formed a life insurance operation. By the late 1920s, AAU had branches throughout China and Southeast Asia, including the Philippines, Indonesia, and Malaysia. In 1926, Mr. Starr opened his first office in the United States, American International Underwriters Corporation (AIU). He also focused on opportunities in Latin America and, in the late 1930s, AIU entered Havana, Cuba. The steady growth of the Latin American agencies proved significant as it would offset the decline in business from Asia due to the impending World War II. In 1939, Mr. Starr moved his headquarters from Shanghai, China, to New York City.",'1-1-2-1-3-1-2-2-1-2,2,0,0,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'International and Domestic Expansion: 1940 to 1959,'1-1-2-1-3-1-2-2-2-1,0,0,0,1,1,2,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2,C
"'After World War II, American International Underwriters (AIU) entered Japan and Germany, to provide insurance for American military personnel. Throughout the late 1940s and early 1950s, AIU continued to expand in Europe, with offices opening in France, Italy, and the United Kingdom. In 1952, Mr. Starr began to focus on the American market by acquiring Globe & Rutgers Fire Insurance Company and its subsidiary, American Home Fire Assurance Company. By the end of the decade, C.V. Starr's general and life insurance organization included an extensive network of agents and offices in over 75 countries.",'1-1-2-1-3-1-2-2-2-2,2,0,0,1,0,2,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,I
'Reorganization and Specialization: 1960 to 1979,'1-1-2-1-3-1-2-2-3-1,0,0,0,1,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'In 1960, C.V. Starr hired Maurice R. Greenberg to develop an international accident and health business. Two years later, Mr.Greenberg reorganized one of C.V. Starr’s U.S. holdings into a successful multiple line carrier. Greenberg focused on selling insurance through independent brokers rather than agents to eliminate agent salaries. Using brokers, AIU could price insurance according to its potential return even if it suffered decreased sales of certain products for great lengths of time with very little extra expense. In 1967, American International Group, Inc. (AIG) was incorporated as a unifying umbrella organization for most of C.V. Starr’s general and life insurance businesses. In 1968, Starr named Greenberg his successor. The company went public in 1969. The 1970s presented many challenges for AIG as operations in the Middle East and Southeast Asia were curtailed or ceased altogether due to the changing political landscape. However, AIG continued to expand its markets by introducing specialized energy, transportation, and shipping products to serve the needs of niche industries. By 1979, with a growing workforce and a worldwide network of offices, AIG offered clients superior technical and risk management skills in an increasingly competitive marketplace.",'1-1-2-1-3-1-2-2-3-2,2,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'New Opportunities and Directions: 1980 to 1999,'1-1-2-1-3-1-2-2-4-1,0,0,0,1,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'During the 1980s, AIG continued expanding its market distribution and worldwide network by offering a wide range of specialized products, including pollution liability and political risk. In 1984 AIG listed its shares on the New York Stock Exchange (NYSE). Throughout the 1990s, AIG developed new sources of income through diverse investments, including the acquisition of International Lease Finance Corporation (ILFC), a provider of leased aircraft to the airline industry. In 1992, AIG received the first foreign insurance license granted in over 40 years by the Chinese government. Within the U.S., AIG acquired Sun America Inc. a retirement savings company, in 1999.",'1-1-2-1-3-1-2-2-4-2,2,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'2000s,'1-1-2-1-3-1-2-2-5-1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'The early 2000s saw a marked period of growth as AIG acquired American General Corporation, a leading domestic life insurance and annuities provider, and AIG entered new markets including India. In February 2000, AIG created a strategic advisory venture team with the Blackstone Group and Kissinger Associates ""to provide financial advisory services to corporations seeking high level independent strategic advice."" AIG has been an investor in the Blackstone Group since 1998 and just recently sold all of its' shares in the company, which was also an adviser for them during the '07-'08 financial crisis.",'1-1-2-1-3-1-2-2-5-2-1,2,0,0,1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
"'On October 14, 2004, the New York State Office of Attorney General Eliot Spitzer announced that it had commenced a civil action against Marsh & McLennan Companies for steering clients to preferred insurers with whom the company maintained lucrative payoff agreements, and for soliciting rigged bids for insurance contracts from the insurers. The Attorney General announced in a release that two AIG executives pleaded guilty to criminal charges in connection with this illegal course of conduct. In early May 2005, AIG restated its financial position and issued a reduction in book value of USD $2.7 billion, a 3.3 percent reduction in net worth. On February 9, 2006, AIG and the New York State Attorney General's office agreed to a settlement in which AIG would pay a fine of $1.6 billion.",'1-1-2-1-3-1-2-2-5-2-2,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'In November 2004, AIG reached a US$126 million settlement with the U.S. Securities and Exchange Commission and the Justice Department partly resolving a number of regulatory matters, but the company must still cooperate with investigators continuing to probe the sale of a non-traditional insurance product.",'1-1-2-1-3-1-2-2-5-2-3,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,2,I
"'Beginning in 2005, AIG became embroiled in a series of fraud investigations conducted by the Securities and Exchange Commission, U.S. Justice Department, and New York State Attorney General's Office. Greenberg was ousted amid an accounting scandal in February 2005; he is still fighting civil charges being pursued by New York state. The New York Attorney General's investigation led to a $1.6 billion fine for AIG and criminal charges for some of its executives. Greenberg was succeeded as CEO by Martin J. Sullivan, who had begun his career at AIG as a clerk in its London office in 1970.",'1-1-2-1-3-1-2-2-5-2-4,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
