content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Auchan,'1-1-1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'Groupe Auchan SA,'1-1-2-1-1-1-1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,N
'Type,'1-1-2-1-1-1-2-2-1,0,0,0,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,3,C
"'Private, SA",'1-1-2-1-1-1-2-2-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Industry,'1-1-2-1-1-1-2-3-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Retailing,'1-1-2-1-1-1-2-3-2,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Founded,'1-1-2-1-1-1-2-4-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Roubaix, France (1961)",'1-1-2-1-1-1-2-4-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,I
'Founder(s),'1-1-2-1-1-1-2-5-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Gérard Mulliez,'1-1-2-1-1-1-2-5-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-1-1-2-6-1,0,0,0,1,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
"'Croix, Lille Métropole",'1-1-2-1-1-1-2-6-2-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'France,'1-1-2-1-1-1-2-6-2-2,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,2,I
'Number of locations,'1-1-2-1-1-1-2-7-1,0,0,0,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'3,051",'1-1-2-1-1-1-2-7-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Area served,'1-1-2-1-1-1-2-8-1,0,0,0,1,1,2,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Worldwide,'1-1-2-1-1-1-2-8-2,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-1-1-2-9-1,0,0,0,1,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Chairman,'1-1-2-1-1-1-2-9-2-1,0,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,I
"'Thierry Mulliez, Vice-Chairman",'1-1-2-1-1-1-2-9-2-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Products,'1-1-2-1-1-1-2-10-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Discount store, electronics specialty, hypermarket, supercenter, supermarket, superstore, other specialty",'1-1-2-1-1-1-2-10-2,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,I
'Revenue,'1-1-2-1-1-1-2-11-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€44.373 billion (2011),'1-1-2-1-1-1-2-11-2,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Operating income,'1-1-2-1-1-1-2-12-1,0,0,0,1,1,2,1,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€1.283 billion (2011),'1-1-2-1-1-1-2-12-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Net income,'1-1-2-1-1-1-2-13-1,0,0,0,1,1,2,1,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€857 million (2011),'1-1-2-1-1-1-2-13-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total assets,'1-1-2-1-1-1-2-14-1,0,0,0,1,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'€28.479 billion (2011),'1-1-2-1-1-1-2-14-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total equity,'1-1-2-1-1-1-2-15-1,0,0,0,1,1,2,1,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€9.286 billion (2011),'1-1-2-1-1-1-2-15-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-1-1-2-16-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'269,000 (2011)",'1-1-2-1-1-1-2-16-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Parent,'1-1-2-1-1-1-2-17-1,0,0,0,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Mulliez Group,'1-1-2-1-1-1-2-17-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Website,'1-1-2-1-1-1-2-18-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'www.auchandirect.fr/Accueil,'1-1-2-1-1-1-2-18-2,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
"'Groupe Auchan SA (French pronunciation: ​[oʃɑ̃]) is a French international retail group and multinational corporation headquartered in Croix, France. It is one of the world's principal distribution groups with a presence in 12 countries and 269,000 employees.",'1-1-2-1-1-2-1-1-1,2,0,0,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,N
"'The company began when Gérard Mulliez opened his first self-service shop in Roubaix in the district of Hauts-Champs - pronounced the same as ""Auchan"".",'1-1-2-1-1-2-1-1-2,1,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,3,N
"'Auchan has branches in France, and internationally in Italy, India, Spain, Portugal, Luxembourg, Poland, Hungary, Russia, China, Taiwan, Romania and Ukraine.",'1-1-2-1-1-2-1-1-3,1,0,0,1,0,2,1,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,3,N
"'As of 2011, Auchan had 639 hypermarkets and 2,412 supermarkets around the world.",'1-1-2-1-1-2-1-1-4,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,N
'Contents,'1-1-2-1-1-2-1-2-1-1,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'1 Mulliez family,'1-1-2-1-1-2-1-2-1-2-1,0,0,0,1,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'2 Slogan,'1-1-2-1-1-2-1-2-1-2-2,0,0,0,1,0,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
