content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Aviva,'1-1-1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'For other uses, see Aviva (disambiguation).",'1-1-2-1,0,0,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,N
'Aviva plc,'1-1-2-2-1,0,0,0,1,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
'Type,'1-1-2-2-3-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Public limited company,'1-1-2-2-3-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,I
'Traded as,'1-1-2-2-4-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'LSE: AV., NYSE: AV",'1-1-2-2-4-2,0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Industry,'1-1-2-2-5-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Financial services,'1-1-2-2-5-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,I
'Predecessor(s),'1-1-2-2-6-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'CGU,'1-1-2-2-6-2-1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Norwich Union,'1-1-2-2-6-2-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Founded,'1-1-2-2-7-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'2000 (by merger),'1-1-2-2-7-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-2-8-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'St. Helen's Tower,'1-1-2-2-8-2-1,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'London,'1-1-2-2-8-2-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Key people,'1-1-2-2-9-1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'John McFarlane,'1-1-2-2-9-2-1,0,0,0,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,I
'Chairman,'1-1-2-2-9-2-2-1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,I
'Mark Wilson,'1-1-2-2-9-2-2-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'CEO,'1-1-2-2-9-2-3,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,2,I
'Services,'1-1-2-2-10-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,C
'Life insurance,'1-1-2-2-10-2-1,0,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,I
'Pensions,'1-1-2-2-10-2-2,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'General Insurance,'1-1-2-2-10-2-3,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,2,I
'Operating income,'1-1-2-2-11-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'£2.049 billion (2013),'1-1-2-2-11-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
