content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Banco Bradesco,'1-1-1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'Banco Bradesco S.A.,'1-1-2-1-1-1,0,0,0,1,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,N
'Type,'1-1-2-1-1-3-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Sociedade Anônima,'1-1-2-1-1-3-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-1-4-1,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'BM&F Bovespa BBDC3 BBDC4,'1-1-2-1-1-4-2-1,0,0,0,1,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'NYSE BBD BBDO,'1-1-2-1-1-4-2-2,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'BMAD XXBDC,'1-1-2-1-1-4-2-3,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Industry,'1-1-2-1-1-5-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Financial services,'1-1-2-1-1-5-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,I
'Founded,'1-1-2-1-1-6-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'1943,'1-1-2-1-1-6-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-1-7-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Osasco, Brazil",'1-1-2-1-1-7-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Area served,'1-1-2-1-1-8-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Worldwide,'1-1-2-1-1-8-2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-1-9-1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Luiz Carlos Trabuco Cappi,'1-1-2-1-1-9-2-1-1,0,0,0,1,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Lázaro de Mello Brandão,'1-1-2-1-1-9-2-1-2,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Antônio Bornia,'1-1-2-1-1-9-2-1-3,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'(CEO),'1-1-2-1-1-9-2-2-1,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,2,I
'(Chairman),'1-1-2-1-1-9-2-2-2,0,0,0,1,0,0,1,0,0,2,1,0,1,1,0,0,1,0,0,1,0,0,2,I
'(Vice Chairman),'1-1-2-1-1-9-2-2-3,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,2,I
'Products,'1-1-2-1-1-10-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Banking,'1-1-2-1-1-10-2-1,0,0,0,1,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Investment banking,'1-1-2-1-1-10-2-2,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Private equity,'1-1-2-1-1-10-2-3,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Asset Management,'1-1-2-1-1-10-2-4,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Private banking,'1-1-2-1-1-10-2-5,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Insurance,'1-1-2-1-1-10-2-6,0,0,0,1,0,1,1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,0,2,I
'Retail Banking,'1-1-2-1-1-10-2-7,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Revenue,'1-1-2-1-1-11-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'US$ 37.3 billion (2012),'1-1-2-1-1-11-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Net income,'1-1-2-1-1-12-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'US$ 5.0 billion (2013),'1-1-2-1-1-12-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total assets,'1-1-2-1-1-13-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'US$ 384.3 billion (2013),'1-1-2-1-1-13-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-1-14-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'103,385",'1-1-2-1-1-14-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Subsidiaries,'1-1-2-1-1-15-1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Bradespar,'1-1-2-1-1-15-2-1,0,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Bradesco Seguros,'1-1-2-1-1-15-2-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Website,'1-1-2-1-1-16-1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'www.bradesco.com.br,'1-1-2-1-1-16-2,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
"'Bradesco is one of the biggest banking and financial services company in Brazil. Bradesco was the largest private bank in Brazil until Banco Itaú and Unibanco merged in 2009. Bradesco is headquartered in Osasco (SP), has 4,686 branches, 3,781 Service Branches and 59.307 “Bradesco Expresso” Units, the correspondent bank through of partnerships with supermarkets, drugstores, department stores and other retail chains. Currently is the third largest Brazilian bank by total assets.",'1-1-2-1-2-1-1-1,2,0,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,2,N
"'Bradesco customers can also use 34.859 “Bradesco Dia&Noite” Automatic Teller Machines and 12,975 ATMs of the Banco24Horas, one Brazilian third-party ATM network.",'1-1-2-1-2-1-1-2,1,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,3,N
"'The Bank is a pioneer in Brazil using the ATM biometric reading system “Segurança Bradesco na Palma da Mão” (Bradesco Security in the Palm of Your Hand, in English), which enable customers to be identified using the vascular pattern of their hands, serving as a complementary password, available at 31,474 Bradesco ATMs and 5,549 Banco24Horas ATMs.",'1-1-2-1-2-1-1-3,2,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,3,N
"'Bradesco offers Internet Banking, insurance, pension plans, annuities, credit card services (including football club affinity cards for soccer fans) for customers, and savings bonds. The bank also provides personal and commercial loans, as well as leasing services. Internationally, Bradesco have one branch in New York and two in Grand Cayman, and banking or financial subsidiaries or affiliates in London, Luxembourg, Hong Kong, Buenos Aires, Grand Cayman, Tokyo and Mexico.",'1-1-2-1-2-1-1-4,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,3,N
"'Banco Bradesco is constantly expanding and has recently acquired Banco do Estado do Maranhão, Banco Mercantil de São Paulo, Banco Ibi S.A., and the Brazilian operations of Banco Bilbao Vizcaya Argentaria (BBVA), J.P. Morgan Fleming Asset Management and American Express.",'1-1-2-1-2-1-1-5,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,3,N
"'Bradesco's stock is traded on BM&F Bovespa, where it is part of the Índice Bovespa. It is also listed on the New York Stock Exchange and Madrid Stock Exchange.",'1-1-2-1-2-1-1-6,1,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,3,N
'Contents,'1-1-2-1-2-1-2-1-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'1 Slogan,'1-1-2-1-2-1-2-1-2-1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
