content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Bank of Communications,'1-1-1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,C
'This article,'1-1-2-1-1-1-2,0,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,N
'needs additional citations for verification,'1-1-2-1-1-1-3-1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,N
'Please help improve this article by adding citations to reliable sources. Unsourced material may be challenged and removed.,'1-1-2-1-1-1-3-3,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,3,N
'(November 2007),'1-1-2-1-1-1-3-4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,3,N
'Bank of Communication Limited,'1-1-2-1-1-2-1-1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,N
'Type,'1-1-2-1-1-2-2-2-1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Public,'1-1-2-1-1-2-2-2-2,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,I
'Traded as,'1-1-2-1-1-2-2-3-1,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,C
"'SEHK: 3328, SSE: 601328",'1-1-2-1-1-2-2-3-2,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Industry,'1-1-2-1-1-2-2-4-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,C
'Financial services,'1-1-2-1-1-2-2-4-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,I
'Founded,'1-1-2-1-1-2-2-5-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,C
'1908,'1-1-2-1-1-2-2-5-2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Headquarters,'1-1-2-1-1-2-2-6-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,C
"'Shanghai, People's Republic of China",'1-1-2-1-1-2-2-6-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,I
'Key people,'1-1-2-1-1-2-2-7-1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,C
'Chaoliang Jiang Chairman,'1-1-2-1-1-2-2-7-2-1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,I
'Jianguo Zhang President,'1-1-2-1-1-2-2-7-2-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Products,'1-1-2-1-1-2-2-8-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Insurance,'1-1-2-1-1-2-2-8-2,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,I
'Revenue,'1-1-2-1-1-2-2-9-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,C
'$20.274 billion RMB (2007),'1-1-2-1-1-2-2-9-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Employees,'1-1-2-1-1-2-2-10-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,C
"'79,122 (31 December 2009)",'1-1-2-1-1-2-2-10-2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,I
'Parent,'1-1-2-1-1-2-2-11-1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Chinese Ministry of Finance,'1-1-2-1-1-2-2-11-2-1-1,0,0,0,0,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,I
'HKSCC Nominees Limited (21.92%),'1-1-2-1-1-2-2-11-2-1-2,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,I
'HSBC,'1-1-2-1-1-2-2-11-2-1-3,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'(As of 31 December 2011),'1-1-2-1-1-2-2-11-2-2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,I
'Subsidiaries,'1-1-2-1-1-2-2-12-1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'BOCOM International, BOCOM Insurance, BOCOM Leasing, BOCOM Schroder",'1-1-2-1-1-2-2-12-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,I
'Website,'1-1-2-1-1-2-2-13-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,C
'www.bankcomm.com,'1-1-2-1-1-2-2-13-2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
"'Bank of Communications Limited (BoCom or BoComm) (simplified Chinese: 交通银行; traditional Chinese: 交通銀行; pinyin: Jiāotōng Yínháng; often abbreviated as 交行), founded in 1908, is one of the largest banks in China.",'1-1-2-1-2-1-1-1-1-1,2,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Established in 1908, Bank of Communication boasts a long history in China and is one of the banks to have issued banknotes in modern Chinese history. It was listed on the Stock Exchanges of Hong Kong Limited and Shanghai Stock Exchange respectively in June 2005 and May 2007.",'1-1-2-1-2-1-1-1-1-2,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Contents,'1-1-2-1-2-1-1-1-2-1-1,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'1 History 1.1 Before 1949
1.2 After 1949 1.2.1 Republic of China
1.2.2 People's Republic of China",'1-1-2-1-2-1-1-1-2-1-2-1,1,0,0,0,0,2,1,0,0,2,1,1,0,0,0,1,1,0,0,1,0,0,2,I
'2 Today,'1-1-2-1-2-1-1-1-2-1-2-2-1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'2.1 Events in 2005,'1-1-2-1-2-1-1-1-2-1-2-2-2,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'3 Shareholders,'1-1-2-1-2-1-1-1-2-1-2-3,0,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,2,I
'4 See also,'1-1-2-1-2-1-1-1-2-1-2-4,0,0,0,0,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'5 References,'1-1-2-1-2-1-1-1-2-1-2-5,0,0,0,0,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'6 External links,'1-1-2-1-2-1-1-1-2-1-2-6,0,0,0,0,0,2,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,I
'History,'1-1-2-1-2-1-1-1-2-2-1-1-1,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,2,C
'Before 1949,'1-1-2-1-2-1-1-1-2-2-1-1-2,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
"'The Bank of Communication was founded in 1908 (the 34th year of the Guangxu reign period, Qing Dynasty) and emerged as one of the first few major national and note-issuing banks in the early days of the Republic of China. It was chartered as ""the Bank for developing the country's industries"". In order to expand business into the overseas arena, the Bank opened its first Hong Kong Branch on 27 November 1934.",'1-1-2-1-2-1-1-1-2-2-1-2,2,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,I
'After 1949,'1-1-2-1-2-1-1-1-2-2-2-1-1,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Republic of China,'1-1-2-1-2-1-1-1-2-2-2-1-2,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,2,I
"'After the Chinese Civil War ended in 1949, the Bank of Communication, like the Bank of China, was effectively split into two operations, part of it relocating to Taiwan with the Kuomintang government. In Taiwan, the bank is also known as Bank of Transportation (交通銀行, Chiao Tung Bank). It eventually merged with the International Commercial Bank of China (中國國際商業銀行), the renamed Bank of China in Taiwan after its 1971 privatization to become the Mega International Commercial Bank (兆豐國際商業銀行).",'1-1-2-1-2-1-1-1-2-2-2-2,2,0,0,0,0,2,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,2,I
'People's Republic of China,'1-1-2-1-2-1-1-1-2-2-3-1,0,0,0,0,1,2,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,2,I
