content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Bayer,'1-1-1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'This article is about the chemical and pharmaceutical company. For other uses, see Bayer (disambiguation).",'1-1-2-1-1-1,1,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,N
'Not to be confused with Beyer (disambiguation).,'1-1-2-1-1-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,N
'Bayer AG,'1-1-2-1-2-1-1,0,0,0,1,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
'Type,'1-1-2-1-2-1-3-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Aktiengesellschaft,'1-1-2-1-2-1-3-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-2-1-4-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'FWB: BAYN,'1-1-2-1-2-1-4-2,0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Industry,'1-1-2-1-2-1-5-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Pharmaceuticals, chemicals",'1-1-2-1-2-1-5-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Founded,'1-1-2-1-2-1-6-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'August 1, 1863",'1-1-2-1-2-1-6-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,I
'Founder(s),'1-1-2-1-2-1-7-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'Friedrich Bayer, Johann Friedrich Weskott",'1-1-2-1-2-1-7-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-2-1-8-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Leverkusen, Germany",'1-1-2-1-2-1-8-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,I
'Key people,'1-1-2-1-2-1-9-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Marijn Dekkers (CEO), Werner Wenning (Chairman of the supervisory board)",'1-1-2-1-2-1-9-2,1,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,I
'Products,'1-1-2-1-2-1-10-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Veterinary drugs, diagnostic imaging, general and specialty medicines, women's health products, over-the-counter drugs, diabetes care, pesticides, plant biotechnology, polymers, coatings, adhesives",'1-1-2-1-2-1-10-2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Revenue,'1-1-2-1-2-1-11-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€39.76 billion (2012),'1-1-2-1-2-1-11-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Operating income,'1-1-2-1-2-1-12-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€3.960 billion (2012),'1-1-2-1-2-1-12-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Profit,'1-1-2-1-2-1-13-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€2.446 billion (2012),'1-1-2-1-2-1-13-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total assets,'1-1-2-1-2-1-14-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'€51.34 billion (end 2012),'1-1-2-1-2-1-14-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total equity,'1-1-2-1-2-1-15-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€18.57 billion (end 2012),'1-1-2-1-2-1-15-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-2-1-16-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'110,500 (FTE, 2012)",'1-1-2-1-2-1-16-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Subsidiaries,'1-1-2-1-2-1-17-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'Bayer MaterialScience, Bayer USA, Bayer Schering Pharma, Bayer HealthCare Pharmaceuticals, Bayer CropScience",'1-1-2-1-2-1-17-2,1,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Website,'1-1-2-1-2-1-18-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'www.bayer.com,'1-1-2-1-2-1-18-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Bayer AG,'1-1-2-1-2-2-1-1-1-1,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,N
'/ˈbaɪər/,'1-1-2-1-2-2-1-1-1-2-1,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,N
'German pronunciation: [ˈbaɪ̯ɐ] German chemical pharmaceutical company Barmen Wuppertal Leverkusen North Rhine-Westphalia aspirin heroin,'1-1-2-1-2-2-1-1-1-2-2,1,0,0,1,0,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,N
'Contents,'1-1-2-1-2-2-1-1-2-1-1,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'1 History,'1-1-2-1-2-2-1-1-2-1-2-1-1,0,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,I
'1.1 Logo,'1-1-2-1-2-2-1-1-2-1-2-1-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
"'2 Operations 2.1 Locations
2.2 Subgroups and service companies 2.2.1 Bayer CropScience
2.2.2 Bayer Bioscience
2.2.3 Bayer HealthCare 2.2.3.1 Bayer Pharma
2.2.3.2 Bayer Consumer Care
2.2.3.3 Bayer Animal Health
2.2.3.4 Bayer Diabetes Care

2.2.4 Bayer Material Science
2.2.5 Bayer Business Services
2.2.6 Bayer Technology Services
2.2.7 Currenta",'1-1-2-1-2-2-1-1-2-1-2-2-1,2,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'3 Bayer 04 Leverkusen,'1-1-2-1-2-2-1-1-2-1-2-2-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
"'4 Controversies 4.1 Aspirin discoverer
4.2 Nazi chairman
4.3 HIV infected blood products
4.4 Baycol
4.5 Medicaid reimbursement
4.6 Methyl parathion poisoning case
4.7 Liberty Link rice
4.8 2006 Trasylol safety advisory
4.9 Prostate cancer claims
4.10 Yasmin / Yaz birth control pills
4.11 Neonicotinoid pesticides 4.11.1 Clothianidin
4.11.2 Imidacloprid

4.12 Nexavar claims",'1-1-2-1-2-2-1-1-2-1-2-3,2,0,0,1,0,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,2,I
'5 Chemical accidents,'1-1-2-1-2-2-1-1-2-1-2-4,0,0,0,1,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'6 Awards and recognition,'1-1-2-1-2-2-1-1-2-1-2-5,0,0,0,1,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'7 See also,'1-1-2-1-2-2-1-1-2-1-2-6,0,0,0,1,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'8 References,'1-1-2-1-2-2-1-1-2-1-2-7,0,0,0,1,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'9 Further reading,'1-1-2-1-2-2-1-1-2-1-2-8,0,0,0,1,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'10 External links,'1-1-2-1-2-2-1-1-2-1-2-9,0,0,0,1,0,2,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,I
'History,'1-1-2-1-2-2-1-1-2-2-1-1,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,2,C
"'Bayer AG was founded in Barmen (today a part of Wuppertal), Germany in 1863 by Friedrich Bayer and his partner, Johann Friedrich Weskott.",'1-1-2-1-2-2-1-1-2-2-1-2-1,1,0,0,1,0,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,I
"'Bayer's first major product was acetylsalicylic acid (originally discovered by French chemist Charles Frederic Gerhardt in 1853), a modification of salicylic acid or salicin, a folk remedy found in the bark of the willow plant. By 1899, Bayer's trademark Aspirin was registered worldwide for Bayer's brand of acetylsalicylic acid, but because of the confiscation of Bayer's US assets and trademarks during World War I by the United States – and the subsequent widespread usage of the word to describe all brands of the compound —, ""Aspirin"" lost its trademark status in the United States, France, and the United Kingdom. It is now widely used in the US, UK, and France for all brands of the drug. However in over 80 other countries, such as Canada, Mexico, Germany, and Switzerland, it is still a registered trademark of Bayer.",'1-1-2-1-2-2-1-1-2-2-1-2-2,2,0,0,1,0,2,1,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,2,I
"'In 1904, the Bayer company introduced the Bayer cross as its corporate logo. Because Bayer's aspirin was sold through pharmacists and doctors only, and the company could not put its own packaging on the drug, the Bayer cross was imprinted on the actual tablets, so that customers would associate Bayer with its aspirin.",'1-1-2-1-2-2-1-1-2-2-1-2-3,2,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
"'As part of the reparations after World War I, Bayer assets, including the rights to its name and trademarks, were confiscated in the United States, Canada, and several other countries. In the United States and Canada, Bayer's assets and trademarks were acquired by Sterling Drug, a predecessor of Sterling Winthrop.",'1-1-2-1-2-2-1-1-2-2-1-2-4,2,0,0,1,0,2,1,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,2,I
"'The Bayer company then became part of IG Farben, a German chemical company conglomerate. During World War II, the IG Farben used slave labor in factories attached to large slave labor camps, notably I.G. Auschwitz, and the sub-camps of the Mauthausen-Gusen concentration camp. IG Farben owned 42.5% of the company that manufactured Zyklon B, a chemical used in the gas chambers of Auschwitz and other extermination camps. After World War II, the Allies broke up IG Farben and Bayer reappeared as an individual business. The Bayer executive Fritz ter Meer, sentenced to seven years in prison during the IG Farben Military Tribunal at Nuremberg, was made head of the supervisory board of Bayer in 1956, after his release.",'1-1-2-1-2-2-1-1-2-2-1-2-5,2,0,0,1,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
"'In 1978, Bayer purchased Miles Laboratories and its subsidiaries Miles Canada and Cutter Laboratories (along with a product line including Alka-Seltzer, Flintstones vitamins and One-A-Day vitamins, and Cutter insect repellent). In 1994, Bayer AG purchased Sterling Winthrop's over-the-counter drug business from SmithKline Beecham and merged it with Miles Laboratories, thereby reacquiring the U.S. and Canadian trademark rights to ""Bayer"" and the Bayer cross, as well as the ownership of the Aspirin trademark in Canada.",'1-1-2-1-2-2-1-1-2-2-1-2-6,2,0,0,1,0,2,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
"'On 2 November 2010, Bayer AG signed an agreement to buy Auckland-based animal health company Bomac Group.",'1-1-2-1-2-2-1-1-2-2-1-2-7,1,0,0,1,0,2,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
"'Bayer has discovered, among others:",'1-1-2-1-2-2-1-1-2-2-1-2-8,0,0,0,1,0,2,0,2,1,2,1,1,0,1,0,0,0,0,0,0,1,1,2,C
"'Aspirin, an analgesic, antipyretic, and anticoagulant medicine, arguably was the most commercially successful drug ever.",'1-1-2-1-2-2-1-1-2-2-1-2-9-1,1,1,0,1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Heroin (diacetylmorphine), a now illegal addictive drug, was originally sold as a cough treatment. Heroin was a Bayer trademark, until World War I.",'1-1-2-1-2-2-1-1-2-2-1-2-9-2,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Prontosil, the first sulfonamide.",'1-1-2-1-2-2-1-1-2-2-1-2-9-3,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Ciprofloxacin, an antibiotic used to treat anthrax and urinary tract infections.",'1-1-2-1-2-2-1-1-2-2-1-2-9-4,1,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Levitra, a treatment for erectile dysfunction.",'1-1-2-1-2-2-1-1-2-2-1-2-9-5,0,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Polyurethane, a very versatile polymer used for a wide variety of applications",'1-1-2-1-2-2-1-1-2-2-1-2-9-6,1,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Polycarbonate, a thermoplastic used in electronics, data storage, and construction (Makrolon).",'1-1-2-1-2-2-1-1-2-2-1-2-9-7,1,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,2,I
'Suramin,'1-1-2-1-2-2-1-1-2-2-1-2-9-8,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'Parathion, insecticide",'1-1-2-1-2-2-1-1-2-2-1-2-9-9,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Propoxur, insecticide",'1-1-2-1-2-2-1-1-2-2-1-2-9-10,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Primodos, hormone pregnancy testing",'1-1-2-1-2-2-1-1-2-2-1-2-9-11,0,1,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Logo,'1-1-2-1-2-2-1-1-2-2-2-1,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'The company's corporate logo, the Bayer cross, was introduced in 1904. It consists of the horizontal word ""BAYER"" crossed with the vertical word ""BAYER"", both words sharing the ""Y"", and enclosed in a circle. An illuminated version of the logo lights up the skyline of Leverkusen, where Bayer is headquartered. Installed in 1958, this is the largest illuminated advertisement in the world.",'1-1-2-1-2-2-1-1-2-2-2-2,2,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Operations,'1-1-2-1-2-2-1-1-2-2-3-1,0,0,0,1,1,1,0,0,1,2,0,1,0,0,0,0,1,0,0,1,0,0,2,C
"'To separate operational and strategic managements, Bayer AG was reorganized into a holding company in December 2003. The group's core businesses were transformed into limited companies, each controlled by Bayer AG. These companies are: Bayer CropScience AG; Bayer HealthCare AG; Bayer MaterialScience AG and Bayer Chemicals AG, and the three service limited companies Bayer Technology Services GmbH, Bayer Business Services GmbH and Bayer Industry Services GmbH & Co. OHG. Bayer AG shares are listed on the Frankfurt Stock Exchange, the London Stock Exchange and previously on the New York Stock Exchange.",'1-1-2-1-2-2-1-1-2-2-3-2-1,2,0,0,1,0,2,1,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,I
"'Following the reorganization, its chemicals activities (with the exception of H.C. Starck and Wolff Walsrode) were combined with certain components of the polymers segment to form the new company Lanxess on 1 July 2004. Lanxess was listed on the Frankfurt Stock Exchange in early 2005. Bayer HealthCare's Diagnostics Division was acquired by Siemens Medical Solutions in January 2007.",'1-1-2-1-2-2-1-1-2-2-3-2-2,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'In 2004, Bayer HealthCare AG acquired the over-the-counter (OTC) Pharmaceutical Division of Roche Pharmaceuticals.",'1-1-2-1-2-2-1-1-2-2-3-2-3,1,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'On 13 March 2006, Merck KGaA announced a €14.6bn bid for Schering AG. Merck's takeover bid was surpassed by Bayer's $19.5bn bid on 23 March 2006.",'1-1-2-1-2-2-1-1-2-2-3-2-4,1,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,2,I
"'On 11 March 2008, Bayer HealthCare announced an agreement to acquire the portfolio and OTC division of privately owned Sagmel, Inc., a US-based company that markets OTC medications in most of the Commonwealth of Independent States countries such as Russia, Ukraine, Kazakhstan, Belarus, and others.",'1-1-2-1-2-2-1-1-2-2-3-2-5,2,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Locations,'1-1-2-1-2-2-1-1-2-2-4-1,0,0,0,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,2,C
"'Germany – headquarters of the holding company, as well as the subsidiary companies Bayer CropScience, Bayer MaterialScience and Bayer HealthCare",'1-1-2-1-2-2-1-1-2-2-4-2-1,1,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,I
'Belgium – including production facilities for Makrolon and polyurethanes (in Antwerp),'1-1-2-1-2-2-1-1-2-2-4-2-2,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
'Canada – Toronto headquarters and offices in Montreal and Calgary,'1-1-2-1-2-2-1-1-2-2-4-2-3,1,1,0,1,0,2,0,0,1,2,1,0,1,1,1,1,0,0,0,0,0,0,2,I
'Finland – Nordic Headquarters in Espoo including one of the largest Bayern research facilities and production facility in Turku,'1-1-2-1-2-2-1-1-2-2-4-2-4,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'France – including European headquarters of Bayer CropScience (in Lyon),'1-1-2-1-2-2-1-1-2-2-4-2-5,1,1,0,1,0,2,0,0,1,2,1,0,1,1,1,1,0,0,0,0,0,0,2,I
"'Indonesia – including production of Canesten, Autan and Baygon",'1-1-2-1-2-2-1-1-2-2-4-2-6,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Italy – including five production facilities,'1-1-2-1-2-2-1-1-2-2-4-2-7,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,1,1,0,0,0,0,0,2,I
"'The Netherlands – including eight facilities and subsidiaries with 600 employees in three different sectors; Marketing and Sales, Production and Research.",'1-1-2-1-2-2-1-1-2-2-4-2-8,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'United States – Bayer USA (Bayer Corporation) operates a suburban Pittsburgh regional corporate headquarters and research center,'1-1-2-1-2-2-1-1-2-2-4-2-9,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
'United Kingdom – Newbury Berkshire,'1-1-2-1-2-2-1-1-2-2-4-2-10,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
'Spain - Asturias produce the acetylsalicylic acid.,'1-1-2-1-2-2-1-1-2-2-4-2-11,0,1,0,1,0,2,1,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,2,I
'Werner Wenning (Chairman of the Board of Management until October 2010),'1-1-2-1-2-2-1-2-2,1,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,2,I
'Australia,'1-1-2-1-2-2-2-1-1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,2,I
'Argentina,'1-1-2-1-2-2-2-1-2,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Aruba,'1-1-2-1-2-2-2-1-3,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Bahamas,'1-1-2-1-2-2-2-1-4,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Barbados,'1-1-2-1-2-2-2-1-5,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Bolivia,'1-1-2-1-2-2-2-1-6,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Brazil,'1-1-2-1-2-2-2-1-7,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Cambodia,'1-1-2-1-2-2-2-1-8,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Chile,'1-1-2-1-2-2-2-1-9,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
'China,'1-1-2-1-2-2-2-1-10,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,2,I
'Colombia,'1-1-2-1-2-2-2-1-11,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Costa Rica,'1-1-2-1-2-2-2-1-12,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Cuba,'1-1-2-1-2-2-2-1-13,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Curaçao,'1-1-2-1-2-2-2-1-14,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Dominican Republic,'1-1-2-1-2-2-2-1-15,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Ecuador,'1-1-2-1-2-2-2-1-16,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'El Salvador,'1-1-2-1-2-2-2-1-17,0,0,0,1,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Finland,'1-1-2-1-2-2-2-2-1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,2,I
'Guatemala,'1-1-2-1-2-2-2-2-2,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Honduras,'1-1-2-1-2-2-2-2-3,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Hong Kong SAR,'1-1-2-1-2-2-2-2-4,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,2,I
'Hungary,'1-1-2-1-2-2-2-2-5,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'India,'1-1-2-1-2-2-2-2-6,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,2,I
'Israel,'1-1-2-1-2-2-2-2-7,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,2,I
'Jamaica,'1-1-2-1-2-2-2-2-8,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
'Japan,'1-1-2-1-2-2-2-2-9,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,2,I
'Jordan,'1-1-2-1-2-2-2-2-10,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Kazakhstan,'1-1-2-1-2-2-2-2-11,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Laos,'1-1-2-1-2-2-2-2-12,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Mexico,'1-1-2-1-2-2-2-2-13,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Myanmar,'1-1-2-1-2-2-2-2-14,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'New Zealand,'1-1-2-1-2-2-2-2-15,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,2,I
'Nicaragua,'1-1-2-1-2-2-2-2-16,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Pakistan,'1-1-2-1-2-2-2-2-17,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Paraguay,'1-1-2-1-2-2-2-2-18,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
