content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Berkshire Hathaway,'1-1-1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'Berkshire Hathaway Inc.,'1-1-2-1-1-1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,N
'Type,'1-1-2-1-1-2-2-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Public,'1-1-2-1-1-2-2-2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-1-2-3-1,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'NYSE BRK.A,'1-1-2-1-1-2-3-2-1-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'NYSE BRK.B,'1-1-2-1-1-2-3-2-1-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'S&P 500 Component,'1-1-2-1-1-2-3-2-2,0,0,0,1,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Industry,'1-1-2-1-1-2-4-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Conglomerate,'1-1-2-1-1-2-4-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Founded,'1-1-2-1-1-2-5-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Cumberland Rhode Island,'1-1-2-1-1-2-5-2-1-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'United States,'1-1-2-1-1-2-5-2-1-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,2,I
'as Valley Falls Company),'1-1-2-1-1-2-5-2-2,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,I
'Founder(s),'1-1-2-1-1-2-6-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Oliver Chace,'1-1-2-1-1-2-6-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-1-2-7-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Kiewit Plaza
Omaha, Nebraska, United States",'1-1-2-1-1-2-7-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,I
'Area served,'1-1-2-1-1-2-8-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
