content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Aisin Seiki Co.,'1-1-1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'Aisin Seiki Corporation,'1-1-2-1-1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Type,'1-1-2-1-2-2-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,C
'Public (TYO: 7259),'1-1-2-1-2-2-2,0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Industry,'1-1-2-1-2-3-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Automotive,'1-1-2-1-2-3-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Founded,'1-1-2-1-2-4-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'1949 as Tokai Aircraft Company,'1-1-2-1-2-4-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,I
'Headquarters,'1-1-2-1-2-5-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Kariya, Aichi, Japan",'1-1-2-1-2-5-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-2-6-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Kiichiro Toyoda: Founder Kanshiro Toyoda: Chairman Fumio Fujimori: President,'1-1-2-1-2-6-2,0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,I
'Products,'1-1-2-1-2-7-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Automotive parts,'1-1-2-1-2-7-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Revenue,'1-1-2-1-2-8-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'US$23.4 Billion 2012,'1-1-2-1-2-8-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Net income,'1-1-2-1-2-9-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'US$789 Million 2012,'1-1-2-1-2-9-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-2-10-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'83,378",'1-1-2-1-2-10-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Parent,'1-1-2-1-2-11-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Toyota Group,'1-1-2-1-2-11-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Website,'1-1-2-1-2-12-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'www.aisin.com,'1-1-2-1-2-12-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
"'Aisin Seiki Co., Ltd.",'1-1-2-2-1-1-1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,N
"'(アイシン精機株式会社, Aishin Seiki Kabushiki Kaisha)",'1-1-2-2-1-1-2-1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,N
'Aisin Fortune Global 500,'1-1-2-2-1-1-2-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,N
"'Aisin Seiki was founded in 1949 and currently supplies engine, drivetrain, body and chassis, aftermarket, and other main automotive parts for various major OEM's. In addition to partaking in the automotive markets, Aisin also offers life & amenity products (e.g. furniture and sewing machines), energy systems, welfare products, and other products/services.",'1-1-2-2-1-2-1,2,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
'Aisin is 30% owned by the Toyota Group of companies.,'1-1-2-2-1-2-2,1,0,0,1,0,2,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,3,N
"'There are various 'brands' in the holding, spawned from the companies which received recognition in their area of specialisation:",'1-1-2-2-1-2-3,1,0,0,1,0,0,0,2,1,1,1,1,0,1,0,0,0,0,1,0,1,1,3,C
'Aisin AW (Formerly Aisin-Warner; Joint Venture with BorgWarner terminated in 1987) — automatic transmissions,'1-1-2-2-1-2-4-1,1,1,0,1,0,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Aisin AI — manual transmissions,'1-1-2-2-1-2-4-2,0,1,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Advics, Hosei — brakes",'1-1-2-2-1-2-4-3,0,1,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'IMRA — Femtosecond lasers,'1-1-2-2-1-2-4-4,0,1,0,1,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Contents,'1-1-2-2-2-1-1,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'1 Aisin AW,'1-1-2-2-2-1-2-1,0,0,0,1,0,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'2 Aisin AI,'1-1-2-2-2-1-2-2,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'3 Aisin USA,'1-1-2-2-2-1-2-3,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,2,I
'4 Alternative propulsion products,'1-1-2-2-2-1-2-4,0,0,0,1,0,2,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,2,I
