content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Aviation Industry Corporation of China,'1-1-1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,C
'Aviation Industry Corporation of China,'1-1-2-1-1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,N
'Type,'1-1-2-1-2-2-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'State-owned,'1-1-2-1-2-2-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Industry,'1-1-2-1-2-3-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Aerospace, Defense",'1-1-2-1-2-3-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Founded,'1-1-2-1-2-4-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'2008, Beijing",'1-1-2-1-2-4-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-2-5-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'128 Jianguo St. Beijing 100022, People's Republic of China",'1-1-2-1-2-5-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,I
'Area served,'1-1-2-1-2-6-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Worldwide,'1-1-2-1-2-6-2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-2-7-1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Lin Zuoming,'1-1-2-1-2-7-2-1,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'(President) & (CEO),'1-1-2-1-2-7-2-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,I
'Products,'1-1-2-1-2-8-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Military aircraft,'1-1-2-1-2-8-2-1,0,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Commercial aircraft,'1-1-2-1-2-8-2-2,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Information Technology,'1-1-2-1-2-8-2-3,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Non-Aviation Products,'1-1-2-1-2-8-2-4,0,0,0,1,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,2,I
'Total assets,'1-1-2-1-2-9-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Over CN￥ 290 billion (2008),'1-1-2-1-2-9-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-2-10-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Over 400,000 (2008)",'1-1-2-1-2-10-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Subsidiaries,'1-1-2-1-2-11-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Comac,'1-1-2-1-2-11-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Website,'1-1-2-1-2-12-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'avic.com.cn,'1-1-2-1-2-12-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
"'Aviation Industry Corporation of China (Abbreviate: AVIC, Chinese: 中国航空工业集团公司) is a Chinese state-owned aerospace and defense company.",'1-1-2-2-1,1,0,0,1,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,N
'Contents,'1-1-2-2-2-1-1,0,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,C
"'1 History 1.1 Split
1.2 Merge",'1-1-2-2-2-1-2-1,0,0,0,1,0,2,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,I
'2 Business segments,'1-1-2-2-2-1-2-2,0,0,0,1,0,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'3 Major affiliate companies,'1-1-2-2-2-1-2-3,0,0,0,1,0,2,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2,I
'4 Products,'1-1-2-2-2-1-2-4-1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,I
'4.1 Helicopters,'1-1-2-2-2-1-2-4-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'5 External links,'1-1-2-2-2-1-2-5,0,0,0,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,I
'History,'1-1-2-2-2-2-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,C
"'Since being established on April 17, 1951 during the Korean War as the Aviation Industry Administration Commission, the aviation industry of The People's Republic of China has been through 12 systemic reforms. AVIC recently purchased aircraft engine manufacturer Continental Motors, Inc. of the USA.",'1-1-2-2-2-2-2,2,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Period,'1-1-2-3-1-1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Name of Organization,'1-1-2-3-1-2,0,0,0,1,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,C
'Apr 1951 - Aug 1952,'1-1-2-3-2-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
"'Aviation Industry Bureau, Ministry of Heavy Industry",'1-1-2-3-2-2,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,C
'Aug 1952 - Feb 1958,'1-1-2-3-3-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
"'4th Bureau, No.2 Mechanical Industry Department",'1-1-2-3-3-2,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,C
'Feb 1958 -Sept 1960,'1-1-2-3-4-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
"'4th Bureau, No.1 Mechanical Industry Department",'1-1-2-3-4-2,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,C
'Sept 1960 - Sept 1963,'1-1-2-3-5-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
"'4th Bureau, No.3 Mechanical Industry Department",'1-1-2-3-5-2,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,C
'Sept 1963 - Apr 1982,'1-1-2-3-6-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'No.3 Mechanical Industry Department,'1-1-2-3-6-2,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,C
'Apr 1982 - Apr 1988,'1-1-2-3-7-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'Ministry of Aviation Industry,'1-1-2-3-7-2,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,C
'Apr 1988 - Jun 1993,'1-1-2-3-8-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'Ministry of Aviation and Aerospace Industry,'1-1-2-3-8-2,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,C
'Jun 1993 - Jun 1999,'1-1-2-3-9-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'China Aviation Industry Corporation,'1-1-2-3-9-2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,2,C
'Jul 1999 - May 2008,'1-1-2-3-10-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
"'China Aviation Industry Corporation I, China Aviation Industry Corporation II",'1-1-2-3-10-2,1,0,0,1,0,2,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,2,C
'May 2008 - Nov 2008,'1-1-2-3-11-1,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,I
"'China Aviation Industry Corporation I, China Aviation Industry Corporation II,",'1-1-2-3-11-2-1,1,0,0,1,0,2,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2,I
'Commercial Aircraft Corporation of China,'1-1-2-3-11-2-2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,I
'Nov 2008–Present,'1-1-2-3-12-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,2,I
"'Aviation Industry Corporation of China, Commercial Aircraft Corporation of China",'1-1-2-3-12-2,1,0,0,1,0,2,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,2,C
'Split,'1-1-2-4-1-1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'China Aviation Industry Corporation (Chinese: 中国航空工业总公司) was a Chinese consortium of aircraft manufacturers. On July 1, 1999, this consortium was split into AVIC I and AVIC II.",'1-1-2-4-1-2,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,C
'Merge,'1-1-2-4-2-1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'On October 28, 2008, AVIC I and AVIC II officially merged because the previous separation resulted in split resources and led to redundant projects. The major focus of AVIC is to efficiently develop indigenous military technologies and to eventually compete with Boeing and Airbus in the civilian airline industry.",'1-1-2-4-2-2-1,2,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'During the Airshow China 2008, AVIC appeared to the public for the first time.",'1-1-2-4-2-2-2,1,0,0,1,0,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,I
'Business segments,'1-1-2-4-3-1,0,0,0,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,C
'Air transport manufacturing,'1-1-2-4-3-2-1,0,1,0,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'General aviation,'1-1-2-4-3-2-2,0,1,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Helicopters,'1-1-2-4-3-2-3,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Engines,'1-1-2-4-3-2-4,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Aircraft systems,'1-1-2-4-3-2-5,0,1,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Automobiles,'1-1-2-4-3-2-6,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Major affiliate companies,'1-1-2-4-4-1,0,0,0,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,C
'AviChina Industry & Technology Company Limited,'1-1-2-4-4-2-1-1,0,0,0,1,0,2,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,I
'Changhe Aircraft Industries Corporation,'1-1-2-4-4-2-1-2,0,0,0,1,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'Chengdu Aircraft Industry Group,'1-1-2-4-4-2-1-3,0,0,0,1,0,2,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,I
'China Nanchang Aircraft Manufacturing Corporation,'1-1-2-4-4-2-1-4,0,0,0,1,0,2,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,2,I
'China National Aero-Technology Import & Export Corporation,'1-1-2-4-4-2-1-5-1,0,0,0,1,0,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,I
'Guizhou Aircraft Industry Corporation,'1-1-2-4-4-2-1-5-2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,I
'Harbin Aircraft Manufacturing Corporation,'1-1-2-4-4-2-1-6,0,0,0,1,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,I
'Hongdu Aviation Industry Group,'1-1-2-4-4-2-1-7,0,0,0,1,0,2,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,I
'Shaanxi Aircraft Corporation,'1-1-2-4-4-2-1-8,0,0,0,1,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'Shanghai Aviation Industrial Company,'1-1-2-4-4-2-1-9,0,0,0,1,0,2,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,2,I
'Shenyang Aircraft Corporation,'1-1-2-4-4-2-1-10,0,0,0,1,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'Xi'an Aircraft Industrial Corporation,'1-1-2-4-4-2-1-11,0,0,0,1,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'Avic International Solar Panel Manufacturing Australia,'1-1-2-4-4-2-1-12,0,0,0,1,0,2,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,2,I
'Australia],'1-1-2-4-4-2-2,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,2,I
'Products,'1-1-2-4-5-1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'AVIC Pterodactyl I,'1-1-2-4-5-2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Helicopters,'1-1-2-4-6-1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Avicopter AC313,'1-1-2-4-6-2-1,0,0,0,1,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Avicopter Z-15,'1-1-2-4-6-2-2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'External links,'1-1-2-4-7-1,0,0,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'China National Aero-Technology Import & Export Corporation,'1-1-2-4-7-2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,I
'AVIC aircraft and aero engines,'1-1-2-5-1-1,0,0,0,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,C
"'Fighter and attack aircraft

J-5
J-6
J-7
J-8
J-9
JF-17
Q-5",'1-1-2-5-1-2-1,0,1,0,1,1,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,C
"'Bombers

H-6
JH-7",'1-1-2-5-1-2-2,0,1,0,1,1,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,C
"'Trainers

J-7
K-8
L-15
JL-9",'1-1-2-5-1-2-3,0,1,0,1,1,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,C
"'Transport aircraft

Y-7
Y-8
Y-11
Y-12",'1-1-2-5-1-2-4,0,1,0,1,1,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,C
"'Commercial aircraft

MA60
Y-12",'1-1-2-5-1-2-5,0,1,0,1,1,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,C
"'Helicopters

AC310
AC313
HC-120 Z-9
WZ-10
Z-11
Z-20",'1-1-2-5-1-2-6,0,1,0,1,1,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,C
"'Ultralight aircraft

Lucky Bird",'1-1-2-5-1-2-7,0,1,0,1,1,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,C
"'Engines

WS-9
WS-10
WS-11
WS-13",'1-1-2-5-1-2-8,0,1,0,1,1,2,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,C
'Missiles,'1-1-2-5-1-2-9-1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'PL-9,'1-1-2-5-1-2-9-2-1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'PL-12,'1-1-2-5-1-2-9-2-2,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Transport in China,'1-1-2-5-2-1,0,0,0,2,1,2,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,2,C
'History,'1-1-2-5-2-2-1-1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,N
'Proposed public transport,'1-1-2-5-2-2-1-2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,3,N
"'Government agencies

Ministry of Transport
State Railways Administration
Civil Aviation Administration
China Maritime Safety Administration",'1-1-2-5-2-2-2-1-1-1,1,1,0,1,1,2,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,3,C
