content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'BASF,'1-1-1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'This article is about the German chemical company. For the French-owned company spun off from the BASF magnetic tape division, see EMTEC.",'1-1-2-1-1-1-1,1,0,0,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,N
'BASF SE,'1-1-2-1-1-1-2-1-1,0,0,0,1,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
'Type,'1-1-2-1-1-1-2-1-3-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Societas Europaea,'1-1-2-1-1-1-2-1-3-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-1-1-2-1-4-1,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'FWB BAS,'1-1-2-1-1-1-2-1-4-2-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'OTCQX BASFY,'1-1-2-1-1-1-2-1-4-2-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Industry,'1-1-2-1-1-1-2-1-5-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Chemicals,'1-1-2-1-1-1-2-1-5-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Founded,'1-1-2-1-1-1-2-1-6-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'1865,'1-1-2-1-1-1-2-1-6-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-1-1-2-1-7-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Ludwigshafen, Germany",'1-1-2-1-1-1-2-1-7-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,I
'Key people,'1-1-2-1-1-1-2-1-8-1,0,0,0,1,1,2,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,2,C
'Eggert Voscherau,'1-1-2-1-1-1-2-1-8-2,0,0,0,1,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,I
'(Chairman of the supervisory board),'1-1-2-1-1-1-2-1-8-3-1,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,2,I
"', Kurt Bock",'1-1-2-1-1-1-2-1-8-3-2,0,0,0,1,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'(CEO and Chairman of the executive board),'1-1-2-1-1-1-2-1-8-3-3,0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,1,0,1,1,0,0,2,I
'Products,'1-1-2-1-1-1-2-1-9-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Chemicals, plastics, performance chemicals, catalysts, coatings, crop technology, crude oil and natural gas exploration and production",'1-1-2-1-1-1-2-1-9-2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Revenue,'1-1-2-1-1-1-2-1-10-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€73.97 billion (2013),'1-1-2-1-1-1-2-1-10-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Operating income,'1-1-2-1-1-1-2-1-11-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'€7.27 billion (2013),'1-1-2-1-1-1-2-1-11-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
