content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Banco do Brasil,'1-1-1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'Banco do Brasil S.A.,'1-1-2-1-1-1-1-1-1,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,N
'Type,'1-1-2-1-1-1-1-1-2-2-1,0,0,0,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Sociedade Anônima,'1-1-2-1-1-1-1-1-2-2-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-1-1-1-1-2-3-1,0,0,0,1,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'BM&F Bovespa: BBAS3,'1-1-2-1-1-1-1-1-2-3-2,0,0,0,1,0,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Industry,'1-1-2-1-1-1-1-1-2-4-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Financial services,'1-1-2-1-1-1-1-1-2-4-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,I
'Founded,'1-1-2-1-1-1-1-1-2-5-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'1808,'1-1-2-1-1-1-1-1-2-5-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-1-1-1-1-2-6-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Brasília, Brazil",'1-1-2-1-1-1-1-1-2-6-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-1-1-1-1-2-7-1,0,0,0,1,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
"'Aldemir Bendine,",'1-1-2-1-1-1-1-1-2-7-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'(Chairman),'1-1-2-1-1-1-1-1-2-7-2-2,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,2,C
'Products,'1-1-2-1-1-1-1-1-2-8-1,0,0,0,1,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,C
'Banking,'1-1-2-1-1-1-1-1-2-8-2-1,0,0,0,1,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Insurance,'1-1-2-1-1-1-1-1-2-8-2-2,0,0,0,1,0,1,1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,0,2,I
'Retail banking,'1-1-2-1-1-1-1-1-2-8-2-3,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Private Equity,'1-1-2-1-1-1-1-1-2-8-2-4,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Revenue,'1-1-2-1-1-1-1-1-2-9-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'US$ 48.2  billion (2013),'1-1-2-1-1-1-1-1-2-9-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Profit,'1-1-2-1-1-1-1-1-2-10-1,0,0,0,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'US$ 6.6  billion (2013),'1-1-2-1-1-1-1-1-2-10-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total assets,'1-1-2-1-1-1-1-1-2-11-1,0,0,0,1,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'US$ 551.8  billion (2013),'1-1-2-1-1-1-1-1-2-11-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Owner(s),'1-1-2-1-1-1-1-1-2-12-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Brazilian Government (73%),'1-1-2-1-1-1-1-1-2-12-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-1-1-1-1-2-13-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'118,900",'1-1-2-1-1-1-1-1-2-13-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Subsidiaries,'1-1-2-1-1-1-1-1-2-14-1,0,0,0,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'BB Seguridade,'1-1-2-1-1-1-1-1-2-14-2-1,0,0,0,1,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Banco Votorantim,'1-1-2-1-1-1-1-1-2-14-2-2,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Banco Patagonia,'1-1-2-1-1-1-1-1-2-14-2-3,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Banco do Brasil Americas,'1-1-2-1-1-1-1-1-2-14-2-4,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Website,'1-1-2-1-1-1-1-1-2-15-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'www.bb.com.br,'1-1-2-1-1-1-1-1-2-15-2,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Banco do Brasil Headquarters in Brasília.,'1-1-2-1-1-1-1-2-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,N
"'Banco do Brasil S.A. (English: Bank of Brazil) is the largest Brazilian and Latin American bank by assets, and the third by market value. The bank, headquartered in Brasília, was founded in 1808 and is the oldest active bank in Brazil, and one of the oldest financial institutions in the world.",'1-1-2-1-1-1-2-1-1-1,2,0,0,1,0,2,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,3,N
