content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Bank of America,'1-1-1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,C
"'Not to be confused with First Bank of the United States, Second Bank of the United States, or Bank of United States.",'1-1-2-1-1-1-1,1,0,0,1,0,2,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,N
'Bank of America Corporation,'1-1-2-1-1-1-2-1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,N
'Type,'1-1-2-1-1-1-2-2-2-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Public,'1-1-2-1-1-1-2-2-2-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-1-1-2-2-3-1,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'NYSE BAC,'1-1-2-1-1-1-2-2-3-2-1,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'S&P 500 Component,'1-1-2-1-1-1-2-2-3-2-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Industry,'1-1-2-1-1-1-2-2-4-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Banking, Financial services",'1-1-2-1-1-1-2-2-4-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,I
'Predecessor(s),'1-1-2-1-1-1-2-2-5-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Bank America,'1-1-2-1-1-1-2-2-5-2-1,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,I
'NationsBank,'1-1-2-1-1-1-2-2-5-2-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Founded,'1-1-2-1-1-1-2-2-6-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'1998 (1904 as Bank of Italy) (1998 (1904 as Bank of Italy)),'1-1-2-1-1-1-2-2-6-2,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,I
'Founder(s),'1-1-2-1-1-1-2-2-7-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Amadeo Giannini,'1-1-2-1-1-1-2-2-7-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Headquarters,'1-1-2-1-1-1-2-2-8-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Bank of America Corporate Center
 100 North Tryon Street
Charlotte, North Carolina, U.S.",'1-1-2-1-1-1-2-2-8-2,1,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,I
'Area served,'1-1-2-1-1-1-2-2-9-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Worldwide,'1-1-2-1-1-1-2-2-9-2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-1-1-2-2-10-1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Charles O. Holliday,'1-1-2-1-1-1-2-2-10-2-1,0,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'(Chairman),'1-1-2-1-1-1-2-2-10-2-2,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,2,I
'Brian T. Moynihan,'1-1-2-1-1-1-2-2-10-2-3,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'(President & CEO),'1-1-2-1-1-1-2-2-10-2-4,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,2,I
'Products,'1-1-2-1-1-1-2-2-11-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
