content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Bank of China,'1-1-1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,C
'Not to be confused with the People's Bank of China (the central bank of the People's Republic of China) or the Central Bank of the Republic of China on Taiwan.,'1-1-2-1-1,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,N
'Bank of China Limited,'1-1-2-1-2-1-1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,N
'中国银行股份有限公司,'1-1-2-1-2-1-2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,N
'Type,'1-1-2-1-2-3-1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Public company,'1-1-2-1-2-3-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,I
'Traded as,'1-1-2-1-2-4-1,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'SEHK 3988,'1-1-2-1-2-4-2-1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'SSE 601988,'1-1-2-1-2-4-2-2,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'OTC Pink BACHY,'1-1-2-1-2-4-2-3,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Industry,'1-1-2-1-2-5-1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Banking,'1-1-2-1-2-5-2-1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Financial services,'1-1-2-1-2-5-2-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,I
'Founded,'1-1-2-1-2-6-1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Beijing China,'1-1-2-1-2-6-2-1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,I
'Headquarters,'1-1-2-1-2-7-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Beijing, China",'1-1-2-1-2-7-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,I
'Area served,'1-1-2-1-2-8-1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Worldwide,'1-1-2-1-2-8-2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-2-9-1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Xiao Gang Chairman,'1-1-2-1-2-9-2-1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,I
"'Li Lihui, President",'1-1-2-1-2-9-2-2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Products,'1-1-2-1-2-10-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'Credit cards, consumer banking, corporate banking, finance and insurance, investment banking, mortgage loans, private banking, private equity, savings, Securities, asset management, wealth management",'1-1-2-1-2-10-2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Revenue,'1-1-2-1-2-11-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'CN¥ 413.10 billion (2011),'1-1-2-1-2-11-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Operating income,'1-1-2-1-2-12-1,0,0,0,0,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'CN¥ 168.12 billion (2011),'1-1-2-1-2-12-2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Net income,'1-1-2-1-2-13-1,0,0,0,0,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'CN¥ 124.18 billion (2011),'1-1-2-1-2-13-2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total assets,'1-1-2-1-2-14-1,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'CN¥ 11.829 trillion (2011),'1-1-2-1-2-14-2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Owner(s),'1-1-2-1-2-15-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Government of the People's Republic of China,'1-1-2-1-2-15-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-2-16-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'288,687 (2011)",'1-1-2-1-2-16-2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Website,'1-1-2-1-2-17-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'www.boc.cn,'1-1-2-1-2-17-2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Bank of China,'1-1-2-2-1-1,0,0,0,2,0,2,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,2,C
'Simplified Chinese,'1-1-2-2-1-2-1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,C
'中国银行,'1-1-2-2-1-2-2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,N
'Traditional Chinese,'1-1-2-2-1-3-1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,C
'Transcriptions,'1-1-2-2-1-4-1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Mandarin,'1-1-2-2-1-4-2-1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,N
'Hanyu Pinyin,'1-1-2-2-1-4-2-2-1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,C
'Zhōngguó Yínháng,'1-1-2-2-1-4-2-2-2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,N
'Alternative Chinese name,'1-1-2-2-1-5,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,C
'Simplified Chinese,'1-1-2-2-1-6-1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,C
'中银,'1-1-2-2-1-6-2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,N
'Traditional Chinese,'1-1-2-2-1-7-1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,C
'中銀,'1-1-2-2-1-7-2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,N
'Transcriptions,'1-1-2-2-1-8-1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Mandarin,'1-1-2-2-1-8-2-1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'Hanyu Pinyin,'1-1-2-2-1-8-2-2-1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,C
'Zhōngyín,'1-1-2-2-1-8-2-2-2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,N
'Second alternative Chinese name,'1-1-2-2-1-9,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,C
'Chinese,'1-1-2-2-1-10-1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,C
'中行,'1-1-2-2-1-10-2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,N
'Transcriptions,'1-1-2-2-1-11-1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Mandarin,'1-1-2-2-1-11-2-1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,N
'Hanyu Pinyin,'1-1-2-2-1-11-2-2-1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,C
'Zhōngháng,'1-1-2-2-1-11-2-2-2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,N
'Bank of China Limited simplified Chinese 中国银行 traditional Chinese 中國銀行 pinyin,'1-1-2-2-2-1-1-1-1-1-1,1,0,0,0,1,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,N
'Zhōngguó Yínháng,'1-1-2-2-2-1-1-1-1-1-2-1,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,N
'big four banks People's Republic of China,'1-1-2-2-2-1-1-1-1-1-2-2,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,3,N
"'It was founded in 1912 by the Republican government to replace the Imperial Bank of China. It is the oldest bank in China still in existence. From its establishment until 1942, it issued banknotes on behalf of the Government along with the ""Big Four"" banks of the period: the Farmers Bank of China, Bank of Communications and Central Bank of the Republic of China. Although it initially functioned as the Chinese central bank, in 1928 the Central Bank of China replaced it in that role. Subsequently, BOC became a purely commercial bank. Its headquarters are in Xicheng District, Beijing.",'1-1-2-2-2-1-1-1-1-2-1,2,0,0,0,0,2,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,3,N
"'As at 2009, it was the second largest lender in China overall, and the 5th largest bank in the world by market capitalization value.",'1-1-2-2-2-1-1-1-1-2-2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,N
'Contents,'1-1-2-2-2-1-1-1-2-1-1,0,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'1 History,'1-1-2-2-2-1-1-1-2-1-2-1,0,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0,1,0,0,1,0,0,3,I
'2 Timeline of overseas activities,'1-1-2-2-2-1-1-1-2-1-2-2,0,0,0,0,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,I
'3 Hong Kong,'1-1-2-2-2-1-1-1-2-1-2-3,0,0,0,0,0,2,1,0,0,2,1,1,1,1,0,1,0,0,0,1,0,0,2,I
'4 Basic facts,'1-1-2-2-2-1-1-1-2-1-2-4,0,0,0,0,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'5 Banknotes,'1-1-2-2-2-1-1-1-2-1-2-5,0,0,0,0,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'6 Ownership,'1-1-2-2-2-1-1-1-2-1-2-6,0,0,0,0,0,1,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,I
"'7 Issues 7.1 Guarantee scandal in Poland
7.2 Wultz v. Bank of China
7.3 Alleged money transfers to Hamas",'1-1-2-2-2-1-1-1-2-1-2-7-1,1,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'8 See also,'1-1-2-2-2-1-1-1-2-1-2-7-2,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'9 References,'1-1-2-2-2-1-1-1-2-1-2-8,0,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,2,I
'10 Resources,'1-1-2-2-2-1-1-1-2-1-2-9,0,0,0,0,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'11 External links,'1-1-2-2-2-1-1-1-2-1-2-10,0,0,0,0,0,2,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,I
'History,'1-1-2-2-2-1-1-1-2-2-1-1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,2,C
"'Bank of China's history goes back to 1905, when the Qing government established Daqing Hubu Bank (in Chinese: {{{3}}}) in Beijing, which was in 1908 renamed to Daqing Bank (in Chinese: {{{3}}}). When the Republic of China was established in 1912, it was further renamed as Bank of China by President Sun Yat-sen's government, adding a new role of the central bank.",'1-1-2-2-2-1-1-1-2-2-1-2-1,2,0,0,0,0,2,1,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,2,I
"'After the Chinese Civil War ended in 1949, the Bank of China effectively split into two operations. Part of the bank relocated to Taiwan with the Kuomintang (KMT) government. It was privatised in 1971 to become the International Commercial Bank of China (中國國際商業銀行). It has subsequently merged with the Taiwan Bank of Communications (Chiao Tung Bank, 交通銀行) to become the Mega International Commercial Bank (兆豐國際商業銀行). The Mainland operation is the current entity known as the Bank of China.",'1-1-2-2-2-1-1-1-2-2-1-2-2,2,0,0,0,0,2,1,0,0,2,1,0,1,1,0,1,0,0,1,0,0,0,1,I
"'It is the second largest lender in China overall, and the 5th largest bank in the world by market capitalization value. Once 100% owned by the central government, via Central Huijin Investment and National Council for Social Security Fund (SSF), an IPO of its shares took place in June 2006, the free float is at present over 26%. In the Forbes Global 2000 it ranked as the 21st-largest company in the world.",'1-1-2-2-2-1-1-1-2-2-1-2-3,2,0,0,0,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'It is the most international of China's banks, with branches on every inhabited continent. Outside of mainland China, BOC also operates in 27 countries including Australia, Canada, United Kingdom, Ireland, France, Germany, Italy, Luxembourg, Russia, Hungary, United States, Panama, Brazil, Japan, Republic of Korea, Singapore, Taiwan, Philippines, Vietnam, Malaysia, Thailand, Indonesia, Kazakhstan, Bahrain, Zambia, South Africa, and a branch office in the Cayman Islands. In December 2010, the Bank of China New York branch began offering RMB products for Americans. It was the first major Chinese bank to offer such a product.",'1-1-2-2-2-1-1-1-2-2-1-2-4,2,0,0,0,0,2,1,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Although it is present in the above countries/territories, its operations outside China accounted for less than 4% of the activity of the bank by both profits and assets. Mainland China accounts for 60% of the bank by profits and 76% by assets as at December 2005.",'1-1-2-2-2-1-1-1-2-2-1-2-5,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,2,I
'Timeline of overseas activities,'1-1-2-2-2-1-1-1-2-2-2,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Daqing Bank's Dalian Branch. (1910),'1-1-2-2-2-1-1-2-2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,N
'This section,'1-1-2-2-2-1-2-1-2,0,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,N
'needs additional citations for verification,'1-1-2-2-2-1-2-1-3-1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,N
'Please help improve this article by adding citations to reliable sources. Unsourced material may be challenged and removed.,'1-1-2-2-2-1-2-1-3-3,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,3,N
'(May 2013),'1-1-2-2-2-1-2-1-3-4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,3,N
'Tokyo branch,'1-1-2-2-2-1-2-2-1-1,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
'New York branch,'1-1-2-2-2-1-2-2-1-2,0,0,0,0,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,N
'Bank of China building in Singapore,'1-1-2-2-2-1-2-2-1-3,0,0,0,0,0,2,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,3,N
'Bank of China in Canada,'1-1-2-2-2-1-2-2-1-4,0,0,0,0,0,2,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,3,N
'中国银行股份有限公司 Bank of China in Shenyang,'1-1-2-2-2-1-2-2-1-5-2,0,0,0,0,0,2,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,3,N
'1917: BOC opened a branch in Hong Kong.,'1-1-2-2-2-1-2-2-2-1-1,0,1,0,0,0,2,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,3,I
"'1929: BOC opened its first overseas branch in London. The branch managed the government's foreign debt, became a center for the bank's management of its foreign exchange, and acted as an intermediary for China's international trade.",'1-1-2-2-2-1-2-2-2-1-2,2,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,I
'1931: BOC opened a branch in Osaka.,'1-1-2-2-2-1-2-2-2-1-3,0,1,0,0,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'1936: BOC opened a branch in Singapore to handle remittances to China of overseas Chinese. It also opened an agency in New York.,'1-1-2-2-2-1-2-2-2-1-4,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,2,I
