content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'JMLR Information for Authors,'1-1-1-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,C
'Overview,'1-1-1-1-2-2-1,0,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Scope,'1-1-1-1-2-2-2-1-1,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'JMLR seeks previously unpublished papers on machine learning that contain:,'1-1-1-1-2-2-2-1-2-1,1,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,C
"'new principled algorithms with sound empirical validation, and with justification of theoretical, psychological, or biological nature;",'1-1-1-1-2-2-2-1-2-2-1,1,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'experimental and/or theoretical studies yielding new insight into the design and behavior of learning in intelligent systems;,'1-1-1-1-2-2-2-1-2-2-2,1,1,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'accounts of applications of existing techniques that shed light on the strengths and weaknesses of the methods;,'1-1-1-1-2-2-2-1-2-2-3,1,1,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'formalization of new learning tasks (e.g., in the context of new applications) and of methods for assessing performance on those tasks;",'1-1-1-1-2-2-2-1-2-2-4,1,1,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'development of new analytical frameworks that advance theoretical studies of practical learning methods;,'1-1-1-1-2-2-2-1-2-2-5,1,1,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'computational models of data from natural learning systems at the behavioral or neural level; or,'1-1-1-1-2-2-2-1-2-2-6,1,1,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'extremely well-written surveys of existing work.,'1-1-1-1-2-2-2-1-2-2-7,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Content,'1-1-1-1-2-2-2-2-1,0,0,0,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
