content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Call for Tutorials,'1-2-1-1-1-2,0,0,1,2,1,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C
"'It is the goal of the CIKM 2011 Tutorial Program to offer conference attendees and local participants a stimulating and informative selection of tutorials reflecting current topics in databases, information retrieval, and knowledge management. These tutorials will be presented by subject matter experts and will reflect the high academic and research standards of the CIKM 2011 conference. We encourage submissions of tutorial proposal on all topics in the general areas of databases, information retrieval, and knowledge management, especially tutorials bridging these areas, or presenting new perspectives in these areas. A full list of current topics of interest will be found http://www.cikm2011.org/callforpapers.",'1-2-1-1-2-1,2,0,0,1,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,N
"'Proposals will be considered for half-day and full-day tutorials. Topics should have a direct relevance to the topics of the conference. Anticipated areas of interest at the time of CIKM 2011 include topics related to database, information retrieval and knowledge management theory, technologies, and applications. A list of recent tutorials collocated with CIKM can be found at:",'1-2-1-1-2-2,2,0,0,1,0,0,0,2,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,3,C
'CIKM 2010,'1-2-1-1-2-3-1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'CIKM 2009,'1-2-1-1-2-3-2,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'CIKM 2008,'1-2-1-1-2-3-3,0,0,0,1,0,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Tutorial proposals should be submitted in PDF by sending a mail to tutorial chairs via tutorials@cikm2011.org,'1-2-1-1-2-4,1,0,0,1,0,0,1,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,2,N
'A tutorial proposal should include the following:,'1-2-1-1-2-5,0,0,0,1,0,0,0,2,1,2,1,1,0,1,0,0,1,0,0,0,0,1,1,3,C
'Title of the tutorial,'1-2-1-1-2-6-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Instructor(s) and their credentials (CV),'1-2-1-1-2-6-2,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Aims/Learning objectives,'1-2-1-1-2-6-3,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Description of topics,'1-2-1-1-2-6-4,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,1,1,0,0,2,I
'Scope of the tutorial,'1-2-1-1-2-6-5,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Tutorial history (previous offerings of tutorial, if any)",'1-2-1-1-2-6-6,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Format of tutorial (1/2 day or 1 day),'1-2-1-1-2-6-7,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'300 Word abstract (1-2 paragraphs suitable for inclusion in conference registration materials),'1-2-1-1-2-6-8,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Keywords,'1-2-1-1-2-6-9,0,1,0,1,0,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Full description (1-2 pages to be used for evaluation),'1-2-1-1-2-6-10,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Target audience information and relation to CIKM areas,'1-2-1-1-2-6-11,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
'Prerequisite knowledge of audience,'1-2-1-1-2-6-12,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Relevant references that would support proposal evaluation,'1-2-1-1-2-6-13,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,2,I
'Any other noteworthy comments or remarks,'1-2-1-1-2-6-14,0,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Important Dates for Tutorial Proposals,'1-2-1-1-2-7,0,0,0,1,1,2,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,1,1,2,C
"'April 26, 2011: tutorial proposals due",'1-2-1-1-2-8-1,0,1,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,I
"'June 21, 2011: notifications",'1-2-1-1-2-8-2,0,1,0,1,0,2,0,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,2,I
'Queries regarding tutorial proposals should be sent to the Tutorial Program Chairs: Jaap Kamps and Fabrizio Silvestri (tutorials@cikm2011.org),'1-2-1-1-2-9,1,0,0,1,0,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,N
