content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'ACM Transactions on,'1-1-1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,C
'Autonomous and Adaptive Systems,'1-1-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,C
'Special Issues,'1-2-2-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
"'Formal Methods for Pervasive, Self-Aware and Context-Aware Systems",'1-2-2-2-1,0,0,0,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,I
"'CFP (deadline May 31st, 2010)",'1-2-2-2-2,0,1,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,2,I
'Pervasive Adaptation: Visions and Challenges,'1-2-2-2-3,0,0,0,1,0,2,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'CFP(deadline December 15th, 2009)",'1-2-2-2-4,0,1,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,2,I
'Foraging Based Optimization Algorithms,'1-2-2-2-5,0,0,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'CFP (deadline December 31, 2009)",'1-2-2-2-6,0,1,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,2,I
'Self-Adaptive Systems: Models and Algorithms,'1-2-2-2-7,0,0,0,1,0,2,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'CFP (deadline December 15, 2009)",'1-2-2-2-8,0,1,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,2,I
'Spatial Computing,'1-2-2-2-9,0,0,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'CFP (deadline August 1, 2009)",'1-2-2-2-10,0,1,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,2,I
'Adaptive Services Discovery and Composition,'1-2-2-2-11,0,0,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'CFP (deadline June 30, 2009)",'1-2-2-2-12,0,1,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,2,I
'Adaptive Security Systems,'1-2-2-2-13,0,0,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'CFP (deadline March 15, 2009)",'1-2-2-2-14,0,1,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,2,I
'Self-Adaptive and Self-Organizing Wireless Networking Systems,'1-2-2-2-15,0,0,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'(deadline July 31, 2008)",'1-2-2-2-16,0,1,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,2,I
'Autonomic Machine Learning,'1-2-2-2-17,0,0,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'CFP (deadline December 1, 2007)",'1-2-2-2-18,0,1,0,1,0,2,1,0,2,1,1,0,1,1,0,0,0,1,1,1,0,0,2,I
'Ambient Intelligence,'1-2-2-2-19,0,0,0,1,0,2,0,0,2,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'CFP (deadline September 1, 2007)",'1-2-2-2-20,0,1,0,1,0,2,1,0,2,1,1,0,1,1,0,0,0,1,1,1,0,0,2,I
'Organic Computing,'1-2-2-2-21,0,0,0,1,0,2,0,0,2,1,1,0,1,1,0,0,0,0,0,0,1,1,2,I
"'CFP (deadline May 1, 2007)",'1-2-2-2-22,0,1,0,1,0,2,1,0,2,1,1,0,0,1,0,0,0,1,1,1,0,0,2,I
