content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'AAAI 2011 Symposium on Educational Advances in Artificial Intelligence Call for Participation,'1-1,1,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'The Second Symposium on Educational Advances in Artificial Intelligence,'1-2-2-1-1-1,0,0,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,C
'Sponsored by the Association for the Advancement of Artificial Intelligence,'1-2-2-1-1-2-1-1-1-1-1,1,0,0,1,0,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,N
'Call for Participation,'1-2-2-1-1-2-1-1-1-1-2,0,0,0,1,0,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,1,3,C
"'February 27, 2011: Paper submission deadline",'1-2-2-1-1-2-1-1-1-1-3-1,0,1,0,1,0,2,0,1,0,2,1,0,1,0,0,0,1,0,1,0,1,0,0,1,I
"'April 5, 2011: Notification of acceptance or rejection",'1-2-2-1-1-2-1-1-1-1-3-2,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'April 26, 2011: Camera-ready copy due at AAAI office",'1-2-2-1-1-2-1-1-1-1-3-3,1,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2,I
"'August 9–10, 2011: Symposium",'1-2-2-1-1-2-1-1-1-1-3-4,0,1,0,1,0,2,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,2,I
'Paper Submission Site,'1-2-2-1-1-2-1-1-1-2-1,0,0,0,1,1,2,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,N
'Author Instructions Page,'1-2-2-1-1-2-1-1-1-2-2-1,0,0,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,N
"'The Association for the Advancement of Artificial Intelligence is pleased to present, in conjunction with the AAAI-11 Conference in San Francisco, California, the The Second Symposium on Educational Advances in Artificial Intelligence (EAAI-11), to be held August 9–10, 2011.",'1-2-2-1-1-2-1-1-1-2-2-2,2,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,3,N
"'EAAI-11 provides a venue for researchers and educators to discuss pedagogical issues and share resources related to teaching AI and using AI in education across a variety of curricular levels (K–12 through postgraduate training), with a natural emphasis on undergraduate and graduate teaching and learning. The symposium seeks contributions showing how to more effectively teach AI, as well as how themes from AI may be used to enhance education more broadly (for example, in introductory computing courses or as a means for teaching computational thinking). We encourage the sharing of innovative educational approaches that convey or leverage AI and its many subfields: robotics, machine learning, natural language, computer vision, and so on.",'1-2-2-1-1-2-1-1-1-2-2-3,2,0,0,1,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,3,N
