content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'Steering Committee,'1-1-2-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,C
'Current Members,'1-1-2-2-1-1,0,0,1,2,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,C
"'Currently, the ESA steering committee has the following members:",'1-1-2-2-1-2-1,0,0,0,1,0,2,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,C
'Hans Bodlaender,'1-1-2-2-1-2-2-1-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Utrecht University,'1-1-2-2-1-2-2-1-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,2,I
'Alan Borodin,'1-1-2-2-1-2-2-2-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'University of Toronto,'1-1-2-2-1-2-2-2-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,2,I
'Leah Epstein,'1-1-2-2-1-2-2-3-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'University of Haifa,'1-1-2-2-1-2-2-3-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,2,I
'Paolo Ferragina,'1-1-2-2-1-2-2-4-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'University of Pisa,'1-1-2-2-1-2-2-4-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,2,I
'Giuseppe Italiano,'1-1-2-2-1-2-2-5-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Università di Roma ""Tor Vergata""",'1-1-2-2-1-2-2-5-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Samir Khuller,'1-1-2-2-1-2-2-6-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'University of Maryland,'1-1-2-2-1-2-2-6-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,2,I
'Andreas S. Schulz,'1-1-2-2-1-2-2-7-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Massachusetts Institute of Technology (MIT),'1-1-2-2-1-2-2-7-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,2,I
'Monique Teillaud,'1-1-2-2-1-2-2-8-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'INRIA Sophia Antipolis,'1-1-2-2-1-2-2-8-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,2,I
'Dorothea Wagner,'1-1-2-2-1-2-2-9-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Karlsruhe Institute of Technology (KIT),'1-1-2-2-1-2-2-9-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,2,I
'Alexander Wolff,'1-1-2-2-1-2-2-10-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Universität Würzburg,'1-1-2-2-1-2-2-10-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Former Members,'1-1-2-2-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Former members of the ESA steering committee:,'1-1-2-2-2-2-1,0,0,0,1,0,2,0,2,1,2,0,1,0,0,1,0,0,0,0,1,1,1,1,C
"'Susanne Albers (2003 - 2007, chair 2004 - 2007)",'1-1-2-2-2-2-2-1,1,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Lars Arge (2006 - 2010, chair 2007 - 2010)",'1-1-2-2-2-2-2-2,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Giorgio Ausiello (2005 - 2009),'1-1-2-2-2-2-2-3,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Yossi Azar (2005 - 2008),'1-1-2-2-2-2-2-4,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Gerth Brodal (2004 - 2007),'1-1-2-2-2-2-2-5,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Mark de Berg (2009 - 2013, chair 2010 - 2013)",'1-1-2-2-2-2-2-6,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Camil Demetrescu (2010 - 2013),'1-1-2-2-2-2-2-7,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Giuseppe Di Battista (2002 - 2005),'1-1-2-2-2-2-2-8,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'David Eppstein (2008 - 2012),'1-1-2-2-2-2-2-9,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Thomas Erlebach (2005 - 2008),'1-1-2-2-2-2-2-10,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Amos Fiat (2008 - 2011),'1-1-2-2-2-2-2-11,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Andrew Goldberg (2003 - 2007),'1-1-2-2-2-2-2-12,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Magnus Halldorsson (2010 - 2013),'1-1-2-2-2-2-2-13,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Dan Halperin (2007 - 2010),'1-1-2-2-2-2-2-14,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Kazuo Iwama (2003 - 2007),'1-1-2-2-2-2-2-15,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Stefano Leonardi (2004 - 2007),'1-1-2-2-2-2-2-16,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Alberto Marchetti-Spaccamela (2000 - 2004),'1-1-2-2-2-2-2-17,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Kurt Mehlhorn (1997 - 2001, 2007 - 2010, chair 1997 - 2001)",'1-1-2-2-2-2-2-18,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Friedhelm Meyer auf der Heide (2000 - 2003),'1-1-2-2-2-2-2-19,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Ulrich Meyer (2009 - 2012),'1-1-2-2-2-2-2-20,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Bernard Moret (1999 - 2002),'1-1-2-2-2-2-2-21,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Rolf Möhring (1997 - 2004),'1-1-2-2-2-2-2-22,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Jarik Nesetril (1998 - 2001),'1-1-2-2-2-2-2-23,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Stefan Näher (1999 - 2003),'1-1-2-2-2-2-2-24,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Mark Overmars (2000 - 2004),'1-1-2-2-2-2-2-25,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Rasmus Pagh (2009 - 2013),'1-1-2-2-2-2-2-26,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Mike Paterson (1999 - 2002),'1-1-2-2-2-2-2-27,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Tomasz Radzik (2003 - 2006),'1-1-2-2-2-2-2-28,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Rajeev Raman (2001 - 2004),'1-1-2-2-2-2-2-29,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Peter Sanders (2008 - 2011),'1-1-2-2-2-2-2-30,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Mikkel Thorup (2007 - 2011),'1-1-2-2-2-2-2-31,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Jeff Vitter (1998 - 2002),'1-1-2-2-2-2-2-32,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Dorothea Wagner (1999 - 2004, chair 2001 - 2004)",'1-1-2-2-2-2-2-33,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
