content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'IACR Fellows,'1-2-1-1-1-1,0,0,1,2,1,2,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,C
'IACR has established the IACR Fellows Program to recognize outstanding IACR members for technical and professional contributions that:,'1-2-1-1-1-2,1,0,0,1,0,2,0,2,0,2,0,0,0,1,1,0,0,0,0,0,1,1,1,C
"'Advance the science, technology, and practice of cryptology and related fields;",'1-2-1-1-2-1,1,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Promote the free exchange of ideas and information about cryptology and related fields;,'1-2-1-1-2-2,1,1,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Develop and maintain the professional skill and integrity of individuals in the cryptologic community;,'1-2-1-1-2-3,1,1,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Advance the standing of the cryptologic community in the wider scientific and technical world and promote fruitful relationships between the IACR and other scientific and technical organizations.,'1-2-1-1-2-4,1,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
"'In general, two broad categories of accomplishment will be considered: technical contributions and distinguished service to the cryptologic community. Fellows are expected to be ""model citizens"" of the cryptologic community, and thus most of them will have demonstrated sustained and significant accomplishment in both categories, but a very small number may be chosen for unique and crucial accomplishment in one category only.",'1-2-1-2-1-1,2,0,0,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,N
'Currently the long-term target is for 5% of the IACR members to be Fellows. We expect to select three to five fellows per year until the 5% target is either reached or modified.,'1-2-1-2-1-2,2,0,0,1,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,3,N
'For more information see the instructions below and the IACR Fellows-Program description. The program was approved by the IACR membership in 2002.,'1-2-1-2-1-3,1,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,3,N
'Fellows,'1-2-1-2-2-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,3,C
'2013,'1-2-1-2-2-2-1-1,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Dan Boneh,'1-2-1-2-2-2-1-2-1,0,0,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Ronald Cramer,'1-2-1-2-2-2-1-2-2,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Claude Crépeau,'1-2-1-2-2-2-1-2-3,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
