content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'CCS 2011,'1-1-1-1-1,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'18th ACM Conference on Computer and Communications Security,'1-1-1-1-2-1,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,C
"'OCT 17-21 2011. SWISSÔTEL Chicago, Chicago, IL, USA",'1-1-1-1-2-2,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,I
'CALL FOR WORKSHOPS,'1-1-2-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'Workshops,'1-1-2-2-2-1,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,C
'Proposals are solicited for workshops to be held in conjunction with ACM CCS 2011. Each workshop provides a forum to address a specific topic at the forefront of security research.,'1-1-2-2-2-2-1-1,2,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,N
"'A workshop must be one full day in length. Proceedings of all workshops will be available (on a CD) to the workshop attendees. Each workshop will also have on-line proceedings through ACM Digital Library, with a separate ISBN.",'1-1-2-2-2-2-1-2,2,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,N
'Workshop Proposal Submission,'1-1-2-2-2-2-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,3,C
"'For new workshops, proposals should include:",'1-1-2-2-2-2-2-2-1,0,0,0,1,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,C
'Workshop title,'1-1-2-2-2-2-2-2-2-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'A draft ""Call for Papers"" articulating the scope and topics covered by the workshop",'1-1-2-2-2-2-2-2-2-2,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'A brief summary and justification for the workshop, including anticipated benefits to the ACM CCS community.",'1-1-2-2-2-2-2-2-2-3,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
'Proposed format and agenda,'1-1-2-2-2-2-2-2-2-4,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Expected number of submissions and acceptance rate,'1-1-2-2-2-2-2-2-2-5,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Expected number of attendees,'1-1-2-2-2-2-2-2-2-6,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Program chair(s), and, if available, tentative program committee",'1-1-2-2-2-2-2-2-2-7,0,1,0,1,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,1,0,0,2,I
"'A one-paragraph biographical sketch for each organizer, describing relevant qualifications, including research and conference/workshop organizing experience",'1-1-2-2-2-2-2-2-2-8,1,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'For previously-held workshops, in addition to the above, proposals must provide the following information, for the most recent incarnation of the workshop:",'1-1-2-2-2-2-2-2-3,1,0,0,1,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,C
'Number of submissions,'1-1-2-2-2-2-2-2-4-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
