content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'Guidelines,'1-1-2-1,0,0,1,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,C
'Guidelines for Steering Committee,'1-1-2-2-1-1,0,0,1,2,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,1,1,C
'The steering committee consists of the program chairs of three ESA conferences and of four elected members.,'1-1-2-2-1-2-1,1,1,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,1,I
'Program chairs serve for three years. The program chair of ESA (x) becomes a member of the steering committee at ESA(x-1) and retires at ESA(x+2).,'1-1-2-2-1-2-2,1,1,0,1,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'There are four elected members. Their term is four years.,'1-1-2-2-1-2-3,1,1,0,1,0,2,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,2,I
'The committee elects its chairperson.,'1-1-2-2-1-2-4,0,1,0,1,0,2,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,2,I
'Guidelines for Selection of Program Committee,'1-1-2-2-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'The program chairs (one for each track) for ESA(x) are appointed by the steering committee at the steering committee meeting of ESA(x-2).,'1-1-2-2-2-2-1,1,0,0,1,0,0,0,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,N
'The following guidelines for the selection of program committees were adopted by the business meeting of ESA. They are presented as precise rules; we stress however that they are meant as guidelines. In the following Israel is considered to be part of Europe. Program Committee is abbreviated as PC.,'1-1-2-2-2-2-2,2,0,0,1,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,1,1,3,N
"'Nobody should sit more than once in an ESA PC in a 5-year period, except, as a Chairperson. Furthermore, nobody should be a Chairperson more than once in a 10 year period. Past ESA editions (1993-1999) are included in the counting.",'1-1-2-2-2-2-3-1,2,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,3,I
"'If two candidates have comparable qualifications, precedence should be given to the person who has never been in an ESA or ICALP PC before.",'1-1-2-2-2-2-3-2,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'At least one third of the PC members must be young researchers (PhD at most 10 years before, including preferably people who got their PhD at most 5 years before) with a strong, generally recognised research record.",'1-1-2-2-2-2-3-3,2,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'No fixed geographical quotas within Europe are allowed.,'1-1-2-2-2-2-3-4,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'The jobs of Program Chair and Local Organizer are decoupled.,'1-1-2-2-2-2-3-5,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'The Program Chair selects the committee, trying to make sure that the above guidelines are followed and that all relevant research subareas are represented. A PC member is expected to attend the PC meeting and the conference.",'1-1-2-2-2-2-3-6,2,1,0,1,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,2,I
'ESA wants to be a forum for algorithmicists in computer science and operations research. The composition of the program committees should reflect this goal.,'1-1-2-2-2-2-3-7,1,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Guidelines for ESA Organizers,'1-1-2-2-3-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,2,C
'In the year 2000 ESA was for the first time organized jointly with several other conferences and workshops. Since 2001 it has been organized in the context of ALGO.,'1-1-2-2-3-2-1,1,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,N
'The following guidelines for the organization of ESA as part of ALGO were established during the steering committee meeting at ESA 2004.,'1-1-2-2-3-2-2,1,0,0,1,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,1,1,3,N
'It is the decision of the ESA organizers which conferences or workshops are organized jointly with ESA.,'1-1-2-2-3-2-3-1,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,3,I
'There are a couple of plenary invited ALGO talks. The selection of invited plenary speakers is made by the organizers in close collaboration with the PC chairs of the ALGO conferences and workshops.,'1-1-2-2-3-2-3-2,2,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'There are no additional semi-plenary invited ESA talks. Semi-plenary invited lectures of other ALGO conferences are not to be scheduled in parallel with ESA talks.,'1-1-2-2-3-2-3-3,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'ESA talks are scheduled on three consecutive days only.,'1-1-2-2-3-2-3-4,1,1,0,1,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'The budget calculation for ESA/ALGO incorporates a moderate contribution to the expenses for a physical PC meeting of ESA. Details are negotiated with the PC chairs of ESA.,'1-1-2-2-3-2-3-5,1,1,0,1,0,2,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'European Symposia on Algorithms · webmaster · valid XHTML 1.1 and CSS,'1-2,1,0,0,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,N
