content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'TOIT Reviewer Instructions,'1-1-2-2-1-1,0,0,1,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'This page is intended to describe the process of reviewing for TOIT. Reviewers have a good deal of flexibility in what/how they write the review. However, the editorial board asks that the reviewer follow the instructions below and remember two things: a) the authors will read the reviews, so try to be constructive and polite, and b) try to be clear, as in almost all cases the authors will craft their future efforts on the reviewed work based on these comments.",'1-1-2-2-1-2-1,2,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,N
'Review Criteria,'1-1-2-2-1-2-2-1,0,0,1,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,C
"'Each reviewer should assess whether the paper should be published in TOIT. What makes a paper publishable in TOIT? There are really two criteria. First, the paper content must be consistent with the subject matter of TOIT. Reviewers (and authors) are directed to the subject page for further detail, but generally one should view any paper dealing with the middleware, applications, and public policy associated with the Internet as being in scope. When in doubt, talk to the journal associate editors or its Editor-in-Chief.",'1-1-2-2-1-2-2-2-1,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,N
"'The second part of the assessment asks, ""Is this paper good science?"" This assessment should provide at least answers to the following questions:",'1-1-2-2-1-2-2-2-2,1,0,0,1,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,1,1,3,C
'Is the problem addressed/studied in this paper well defined and articulated?,'1-1-2-2-2-1,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Is the problem addressed/studied interesting enough to warrant publication?,'1-1-2-2-2-2,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Is the methodology used appropriate for the problem addressed/studied?,'1-1-2-2-2-3,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'If this is a theoretical paper, does the level of rigor to support the result? Are the theoretical devices (e.g., proofs) correct?",'1-1-2-2-2-4,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'If this is an empirical paper, are the measurements or analysis properly applied and the correct conclusions drawn? Are there hidden factors that may invalidate the drawn conclusions?",'1-1-2-2-2-5,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
