content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'AAAI-11: Artificial Intelligence and the Web Special Track,'1-1,1,0,1,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'A Special Track of the Twenty-Fifth Conference on Artificial Intelligence,'1-2-2-1-2-1-1-1-2,1,0,0,2,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,C
'Call for Papers,'1-2-2-1-2-1-1-2-1-1,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,C
"'December 1, 2010 – February 1, 2011: Authors register on the AAAI web site",'1-2-2-1-2-1-1-2-1-2-1,1,1,0,1,0,2,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,I
"'February 3, 2011: Electronic abstracts due",'1-2-2-1-2-1-1-2-1-2-2,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,I
"'February 8, 2011: Electronic papers due",'1-2-2-1-2-1-1-2-1-2-3,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,0,0,1,1,1,0,0,2,I
"'April 15, 2011: Notification of acceptance or rejection",'1-2-2-1-2-1-1-2-1-2-4,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'May 3, 2011: Camera-ready copy due at AAAI office",'1-2-2-1-2-1-1-2-1-2-5,1,1,0,1,0,2,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,2,I
'Paper Submission Site,'1-2-2-1-2-1-1-2-2-1,0,0,0,1,1,2,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,N
'Author Instructions Page,'1-2-2-1-2-1-1-2-2-2-1-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,N
'Blind Review Instructions,'1-2-2-1-2-1-1-2-2-2-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,N
"'The web has evolved from a simple hypertext standard into a ubiquitous, global information system including virtually all of human knowledge. Today's web provides ready access to not only text, images, and audio files, but also to structured and semistructured information, sensor data, composable services, and communities of people. It offers an open and decentralized environment in which anyone can publish information and services coupled with powerful search engines and agents to discover them. All of this is ubiquitously available from wired, wireless, and mobile devices. The result is an environment enormously useful to people for research, learning, commerce, socializing, communication, and entertainment. We have just begun to explore how this vast amount of machine accessible knowledge can be exploited and used by machines to better serve human needs as well as to discover new knowledge.",'1-2-2-1-2-1-1-2-2-2-2,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,N
