content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'CCS 2011,'1-1-1-1-1,0,0,0,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'18th ACM Conference on Computer and Communications Security,'1-1-1-1-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,C
"'OCT 17-21 2011. SWISSÔTEL Chicago, Chicago, IL, USA",'1-1-1-1-2-2,0,0,0,0,1,2,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,I
'Important Dates,'1-1-2,0,0,1,1,1,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,2,C
'Research Papers,'1-1-3-1,0,0,1,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,C
"'Paper Submission Due: Friday, May 6, 2011 (23:59 UTC - 11)",'1-1-3-2-1,1,0,0,0,1,2,0,1,1,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,I
"'First round reviews sent to authors: Monday, June 20, 2011",'1-1-3-2-2,1,0,0,0,0,2,0,1,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2,I
"'Author comments due on: Thursday, June 23, 2011 (23:59 UTC - 11)",'1-1-3-2-3,1,0,0,0,1,2,0,1,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2,I
"'Acceptance Notification: Friday, July 15, 2011",'1-1-3-2-4,0,0,0,0,0,2,0,1,1,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'Camera Ready Papers Due: Thursday, August 11, 2011",'1-1-3-2-5,0,0,0,0,1,2,0,1,1,2,1,0,0,1,1,0,0,0,1,1,1,0,0,2,I
'© Copyright 2011 ACM/SIGSAC - All rights reserved.,'1-2,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,N
