content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'ACM Transactions on,'1-1-1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,C
'Autonomous and Adaptive Systems,'1-1-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,C
'When Does a Conflict of Interest Exist?,'1-2-2-1-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
"'If you have a conflict of interest with a submission, you should not be involved in the decision process for that submission in any capacity, as Reviewer, Associate Editor, or Editor-in-Chief.",'1-2-2-1-2-1,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,1,I
"'If you are asked to participate in the reviewing of a submission and have a conflict of interest, please let the requester know and decline to participate. Most conflicts of interest can be recognized with common sense: Would an outsider who knew that you were involved in the reviewing process reasonably be concerned that you might be biased either for or against the submission because of your relationship to the authors or their research?",'1-2-2-1-2-2,2,0,0,1,0,0,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'There is usually a conflict of interest if the submission concerns work ...,'1-2-2-1-2-3,1,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,1,2,C
'... from an institution at which you have recently worked,'1-2-2-1-2-4-1,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'... by a recent coauthor,'1-2-2-1-2-4-2,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'... by a family member,'1-2-2-1-2-4-3,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'... by an advisor or advisee of yours,'1-2-2-1-2-4-4,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'... in which you have a non-trivial financial stake,'1-2-2-1-2-4-5,1,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
"'“Recent” can be read as “within the last 5 years”. Membership in an author’s Ph.D. committee should be viewed as similar to coauthorship, and the criterion of “recency” applies. But note that there is no time limit associated with the advisor/advisee relationship.",'1-2-2-1-2-5,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2,N
"'Other circumstances may create a potential conflict, requiring careful thought on a case-to-case basis.",'1-2-2-1-2-6,1,0,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,1,0,0,0,0,3,N
"'If you are in doubt, please describe the potential conflict to the Associate Editor who requested your participation – or, if you are an Associate Editor, to the Editors-in-Chief – and ask for guidance.",'1-2-2-1-2-7,2,0,0,1,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,3,N
'Conflict-of-Interest Policy for Associate Editors,'1-2-2-2-1,0,0,1,2,1,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3,C
"'Associate Editors may publish papers in TiiS. The Editors-in-Chief will choose an Associate Editor with no conflict of interest to handle the paper. As usual, this Associate Editor will not be identified to the authors of the submission.",'1-2-2-2-2,2,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,I
'Conflict-of-Interest Policy for Editors-in-Chief,'1-2-2-3-1,0,0,1,2,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'If one of the Editors-in-Chief (EiCs) has a conflict of interest with a submission but is not an author of that submission, the other EiC will assign an Associate Editor to handle the submission. This other EiC will make the final decision. If both EiCs have a conflict of interest with a submission, the same procedure will be applied as for a submission by an EiC (see the following section).",'1-2-2-3-2,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,I
'Conflict-of-Interest Policy for a Submission by an Editor-in-Chief,'1-2-2-4-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,C
'(Note: ACM requires that a policy for this situation exist and be published on the journal’s website.),'1-2-2-4-2-1-1,1,0,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,I
'The purpose of this policy is to address the conflict of interest that arises when an Editor-in-Chief (EiC) of an ACM journal is an author of a paper submitted to that journal.,'1-2-2-4-2-1-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Reasons for Allowing Submissions by an Editor-in-Chief,'1-2-2-4-2-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'ACM does permit an EiC to be an author of a paper in the EiC’s journal. Outright prohibition of EiC authorship is considered too severe for at least three reasons: First, it can unduly penalize the EiC’s coauthors. In several computing disciplines, the ACM Transactions is the premier – and sometimes the only – high-quality, archival venue for research publication. A strict prohibition would impact the EiC’s coauthors, especially if they were just starting their research careers. Second, a general prohibition could prevent some high-quality papers from appearing in ACM journals. ACM’s stated mission is to be the publisher of choice. Good work should be evaluated on its merits and not on the basis of authorship. Third, a prohibition could be a disincentive for leading researchers to serve as EiC, especially insofar as this prohibition would affect coauthors, in particular graduate students.",'1-2-2-4-2-2-2-1,2,0,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
