content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'ACM Transactions on,'1-1-1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,C
'Autonomous and Adaptive Systems,'1-1-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Information for Authors,'1-2-2-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Types of Papers,'1-2-2-2-1-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,C
"'Scope. TAAS is a referred journal aimed at disseminating high quality scientific and technological research results in the area of autonomous adaptive systems, as defined in the scopes and editorial charter sections.",'1-2-2-2-1-2-1,2,0,0,1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Originality. Contributions appearing in ACM journals are normally original papers that have not been published elsewhere. Publication of a paper that has been widely disseminated is permitted only if the Editor judges that the revision contains significant amplification or clarification of the original material or there is some significant additional benefit to be gained. Any prior appearance should be noted on the title page and it is the obligation of the author to inform the Editors-in-Chief if there are any circumstances concerning the contribution that bear on this policy. Submission of a manuscript that is under review by TAAS to another journal or conference without approval of the Editors-in-Chief is considered to be unethical and, when discovered, will result in rejection by TAAS.",'1-2-2-2-1-2-2,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Unethical Papers. TAAS reserves the right to impose the revision of, or if necessary to refuse, a paper - despite its scientific and technical quality - whenever its content is explicitly unethical or if it supports racism, sexual or religious discrimination, illegal activities or terrorism; similarly an article may be refused if the editors deem that it might harm the political or religious sensitivity of interested readers in any manner.",'1-2-2-2-1-2-3,2,0,1,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Instructions for Submission,'1-2-2-2-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,2,C
'TAAS can accept papers in electronic format only. This facilitates both a quicker editorial review process as well as electronic publication of accepted papers.,'1-2-2-2-2-2-1,1,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,I
"'TAAS authors should prepare manuscripts, no longer than 10000 words, according to the ACM accepted manuscript preparation guidelines. Papers must be sent either in PostScript or PDF format. Papers exceeding 10000 words may be published, provided that the reviewers and the editors explicitly consider such a length a necessary requirement for the paper to be complete and self-contained. For those submitting papers in PDF format, please ensure that papers do not contain embedded fonts (such as embedded Asian fonts). These papers can be difficult to read and view with many PDF viewers not equipped to display certain character sets.",'1-2-2-2-2-2-2,2,0,0,1,0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
