content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'Symposia locations,'1-1-2-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'ESA Symposia,'1-1-2-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
"'The proceedings of ESA symposia appear in the series Lecture Notes in Computer Science (LNCS), Springer-Verlag Heidelberg. For an overview see the computer science bibliography.",'1-1-2-2-1-2-1,1,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,N
'ESA 2014,'1-1-2-2-1-2-2-1-1,0,0,0,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'22nd Annual European Symposium on Algorithms,'1-1-2-2-1-2-2-1-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Wrocław, Poland · September 08-10, 2014",'1-1-2-2-1-2-2-1-2-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,I
'ESA 2013,'1-1-2-2-1-2-2-2-1,0,0,0,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'21th Annual European Symposium on Algorithms,'1-1-2-2-1-2-2-2-2-1-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Sophia Antipolis, France · September 02-04, 2013",'1-1-2-2-1-2-2-2-2-1-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,2,I
'Call for Papers,'1-1-2-2-1-2-2-2-2-2,0,0,0,1,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'ESA 2012,'1-1-2-2-1-2-2-3-1-1,0,0,0,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'20th Annual European Symposium on Algorithms,'1-1-2-2-1-2-2-3-1-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Ljubljana, Slovenia · September 10-12, 2012",'1-1-2-2-1-2-2-3-1-2-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,I
