content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'23rd International Conference on,'1-1-1-1-2,0,0,1,2,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C
'Computer Aided Verification,'1-1-1-2,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,C
'CAV 2011,'1-1-2-1,0,0,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,C
"'July 14-20, Cliff Lodge, Snowbird, Utah",'1-1-2-2,0,0,1,2,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,I
'Grateful to our sponsors:,'1-2-1-1,0,0,0,1,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,N
"'CAV 2011 is the 23rd in a series dedicated to the advancement of the theory and practice of computer-aided formal analysis methods for hardware and software systems. CAV considers it vital to continue its leadership in hardware verification, maintain its recent momentum in software verification, and consider new domains such as biological systems. The conference covers the spectrum from theoretical results to concrete applications, with an emphasis on practical verification tools and the algorithms and techniques that are needed for their implementation. The proceedings of the conference will be published in Springer-Verlag's Lecture Notes in Computer Science series.",'1-2-2-1-1-1-1,2,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,N
'Important Dates,'1-2-2-1-1-1-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,3,C
'Special Room Rate and Block ends:,'1-2-2-1-1-1-2-2-1-1-1-1,0,0,0,1,0,2,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,C
"'<< June 13, 2011>>",'1-2-2-1-1-1-2-2-1-1-1-2,0,0,0,1,1,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,N
'Normal Registration Rate Ends:,'1-2-2-1-1-1-2-2-1-1-2-1,0,0,0,1,0,2,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,C
"'<<June 20, 2011 >>",'1-2-2-1-1-1-2-2-1-1-2-2,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,1,1,1,N
"'Pre-CAV Workshops: July 14-15, 2011",'1-2-2-1-1-1-2-2-1-2,0,1,0,1,0,2,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,3,C
"'CAV Conference: July 16-20, 2011",'1-2-2-1-1-1-2-2-2,0,1,0,1,1,2,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,N
"'Workshop Deadlines (for full papers, unless otherwise noted)",'1-2-2-1-1-1-3,0,0,1,2,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,C
'NSV 2011,'1-2-2-1-1-2-1-1,0,0,0,1,1,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Fourth International Workshop on Numerical Software Verification,'1-2-2-1-1-2-1-2,0,0,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,C
"'March 31, 2011",'1-2-2-1-1-2-1-3,0,0,0,1,1,2,0,0,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'SPIN 2011,'1-2-2-1-1-2-2-1,0,0,0,1,1,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'18th International SPIN Workshop on Model Checking of Software:,'1-2-2-1-1-2-2-2,1,0,0,0,0,2,0,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,C
"'April 1, 2011",'1-2-2-1-1-2-2-3,0,0,0,1,1,2,0,0,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'FAC 2011,'1-2-2-1-1-2-3-1,0,0,0,1,1,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Frontiers in Analog Circuit (FAC) Synthesis and Verification,'1-2-2-1-1-2-3-2,0,0,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,C
"'April 4, 2011 (abstracts)",'1-2-2-1-1-2-3-3,0,0,0,1,1,2,0,0,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'SMT 2011,'1-2-2-1-1-2-4-1,0,0,0,1,1,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'International Workshop on Satisfiability Modulo Theories,'1-2-2-1-1-2-4-2,0,0,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,C
"'April 15, 2011",'1-2-2-1-1-2-4-3,0,0,0,1,1,2,0,0,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'(EC)^2 2011,'1-2-2-1-1-2-5-1,0,0,0,1,1,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Exploiting Concurrency Efficiently and Correctly,'1-2-2-1-1-2-5-2,0,0,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,C
"'April 29, 2011",'1-2-2-1-1-2-5-3,0,0,0,1,1,2,0,0,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'PDMC 2011,'1-2-2-1-1-2-6-1,0,0,0,1,1,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'10th International Workshop on Parallel Distributed methods in Verification,'1-2-2-1-1-2-6-2,1,0,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,C
"'May 16, 2011",'1-2-2-1-1-2-6-3,0,0,0,1,1,2,0,0,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'FM-R 2011,'1-2-2-1-1-2-7-1,0,0,0,1,1,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Formal Methods for Robotics and Automation,'1-2-2-1-1-2-7-2,0,0,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,C
'(invited speakers only),'1-2-2-1-1-2-7-3,0,0,0,1,1,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,1,I
'PSY 2011,'1-2-2-1-1-2-8-1,0,0,0,1,1,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Practical Synthesis for Concurrent Systems,'1-2-2-1-1-2-8-2,0,0,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,C
'(invited speakers only),'1-2-2-1-1-2-8-3,0,0,0,1,1,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,1,I
'Chairs,'1-2-2-1-1-3-1-1,0,0,1,2,1,1,0,0,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,2,C
'Ganesh Gopalakrishnan,'1-2-2-1-1-3-1-2-1-1-1-1,0,0,0,1,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'University of Utah,'1-2-2-1-1-3-1-2-1-1-1-2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,I
'Shaz Qadeer,'1-2-2-1-1-3-1-2-1-1-2-1,0,0,0,1,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Microsoft Research,'1-2-2-1-1-3-1-2-1-1-2-2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,I
'Local Arrangements Chair,'1-2-2-1-1-3-1-2-1-2,0,0,1,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,C
'Eric Mercer,'1-2-2-1-1-3-1-2-2-1,0,0,0,1,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Brigham Young University,'1-2-2-1-1-3-1-2-2-2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I
'Workshops Chair,'1-2-2-1-1-3-1-2-3,0,0,1,2,1,2,0,0,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,2,C
'Neha Rungta,'1-2-2-1-1-3-1-2-4-1,0,0,0,1,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,C
