content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Sixteenth International Conference on,'1-1-2-1-1-1,0,0,0,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'Architectural Support for Programming Languages and Operating Systems (ASPLOS 2011),'1-1-2-1-1-2,1,0,0,2,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,C
"'Newport Beach, California,  March 5 ~ 11,  2011",'1-1-2-1-2-2,1,0,0,2,1,2,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,1,I
'Welcome to ASPLOS 2011,'1-1-2-2-1-1-1,0,0,0,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'The ASPLOS XVI organizing committee is pleased to announce that the ASPLOS XVI conference will be held in California,  March 5 ~ 11, 2011.",'1-1-2-2-1-1-2-1,1,0,0,1,0,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,N
"'ASPLOS is a multi-disciplinary conference for research that spans the boundaries of hardware, computer architecture, compilers, languages, operating systems, networking, and applications. ASPLOS provides a high quality forum for scientists and engineers to present their latest research findings in these rapidly changing fields. It has captured some of the major computer systems innovations of the past two decades (e.g., RISC and VLIW processors, small and large-scale multiprocessors, clusters and networks-of-workstations, optimizing compilers, RAID, and network-storage system designs).",'1-1-2-2-1-1-2-2,2,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
"'VEE (ACM International Conference on Virtual Execution Environments) will be co-located with ASPLOS'11, March 9~11, 2011.",'1-1-2-2-1-1-2-3,1,0,0,1,0,2,1,0,1,2,1,1,1,1,0,0,0,0,1,1,0,0,0,3,N
'ASPLOS 2011 Best Paper Awards:,'1-1-2-2-1-1-2-4,0,0,0,1,1,2,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,1,1,3,C
"'DoublePlay: Parallelizing sequential logging and replay by Kaushik Veeraraghavan, Dongyoon Lee, Benjamin Wester, Jessica Ouyang, Peter Chen, Jason Flinn, Satish Narayanasamy",'1-1-2-2-1-1-2-5-1,1,1,0,1,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'S2E: A Platform for In Vivo Multi-Path Analysis of Software Systems by Vitaly Chipounov, Volodymyr Kuznetsov, George Candea",'1-1-2-2-1-1-2-5-2,1,1,0,1,0,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'News,'1-1-2-2-1-2,0,0,0,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'02/28/2011 :,'1-1-2-2-2-1-1-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'A list of convenient lunch options for workshop attendees.,'1-1-2-2-2-1-1-2,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'02/03/2011 :,'1-1-2-2-2-1-2-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Additional hotel rooms now available at the Newport Beach Marriott Bayview.,'1-1-2-2-2-1-2-2,1,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'02/01/2011 :,'1-1-2-2-2-1-3-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Student posters available.,'1-1-2-2-2-1-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'01/26/2011 :,'1-1-2-2-2-1-4-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'The WAMT workshop (AM, Match 5) has been canceled.",'1-1-2-2-2-1-4-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'01/18/2011 :,'1-1-2-2-2-1-5-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Technical program available.,'1-1-2-2-2-1-5-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'01/18/2011 :,'1-1-2-2-2-1-6-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Google group ASPLOS2011 available for hosting room sharing, travel issues, and any other related discussions.",'1-1-2-2-2-1-6-2,1,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'12/30/2010 :,'1-1-2-2-2-1-7-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Tentative program available.,'1-1-2-2-2-1-7-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'12/17/2010 :,'1-1-2-2-2-1-8-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Registration open.,'1-1-2-2-2-1-8-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'12/08/2010 :,'1-1-2-2-2-1-9-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Student travel grant application is now available.,'1-1-2-2-2-1-9-2,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'12/06/2010 :,'1-1-2-2-2-1-10-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Hotel reservation is now available online.,'1-1-2-2-2-1-10-2,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'10/01/2010 :,'1-1-2-2-2-1-11-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Workshops & Tutorials program is posted.,'1-1-2-2-2-1-11-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'08/26/2010 :,'1-1-2-2-2-1-12-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Call for Ideas & Perspectives is posted.,'1-1-2-2-2-1-12-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'07/01/2010 :,'1-1-2-2-2-1-13-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Paper submission web site is online.,'1-1-2-2-2-1-13-2,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2,C
'06/02/2010 :,'1-1-2-2-2-1-14-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Paper Submission Instructions are posted.,'1-1-2-2-2-1-14-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2,C
'05/10/2010 :,'1-1-2-2-2-1-15-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Call for Workshops & Tutorials is posted.,'1-1-2-2-2-1-15-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'04/21/2010 :,'1-1-2-2-2-1-16-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Call for Posters is posted.,'1-1-2-2-2-1-16-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'03/29/2010 :,'1-1-2-2-2-1-17-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'The list of PC members is posted.,'1-1-2-2-2-1-17-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'03/17/2010 :,'1-1-2-2-2-1-18-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Call for Papers is posted.,'1-1-2-2-2-1-18-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,C
'02/19/2010 :,'1-1-2-2-2-1-19-1,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'ASPLOS 2011 website is online.,'1-1-2-2-2-1-19-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'Important Dates,'1-1-2-2-2-2,0,0,0,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,C
'Abstract Deadline:,'1-1-2-2-3-1-1-1,0,0,0,1,1,2,0,2,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,C
"'Monday, July 19, 2010",'1-1-2-2-3-1-1-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'[Click here to find the abstract deadline in your time zone],'1-1-2-2-3-1-2,1,0,0,1,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,2,N
'Full Paper Deadline:,'1-1-2-2-3-1-3-1,0,0,0,1,1,2,0,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,3,C
"'Monday, July 26, 2010 (11:59pm EDT)1",'1-1-2-2-3-1-3-2,0,0,0,1,0,2,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,I
'[Click here to find the full paper deadline in your time zone],'1-1-2-2-3-1-4,1,0,0,1,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,2,N
'Rebuttal Period:,'1-1-2-2-3-1-5-1,0,0,0,1,1,2,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,C
"'Tuesday-Thursday, October 5-7, 2010",'1-1-2-2-3-1-5-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'Notification of Acceptance:,'1-1-2-2-3-1-6-1,0,0,0,1,1,2,0,2,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,2,C
"'Friday, October 29, 2010",'1-1-2-2-3-1-6-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'Tutorial and Workshop Proposal Deadline:,'1-1-2-2-3-2-1-1,0,0,0,1,1,2,0,2,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,2,C
"'Wednesday, Sep 15, 2010",'1-1-2-2-3-2-1-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Student Poster Presentation Proposal Deadline:,'1-1-2-2-3-2-2-1,0,0,0,1,1,2,0,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,C
"'Friday, Jan 28, 2011",'1-1-2-2-3-2-2-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,I
