content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Sixteenth International Conference on,'1-1-2-1-1-1,0,0,0,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'Architectural Support for Programming Languages and Operating Systems (ASPLOS 2011),'1-1-2-1-1-2,1,0,0,2,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,C
"'Newport Beach, California,  March 5 ~ 11,  2011",'1-1-2-1-2-2,1,0,0,2,1,2,0,0,1,2,0,0,0,1,0,1,0,0,1,0,1,0,0,1,I
'Call for ASPLOS'11 Workshop and Tutorial Proposals,'1-1-2-2-1,0,0,0,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'To be held Saturday and Sunday, March 5-6, 2011",'1-1-2-2-2-1,0,0,0,1,0,2,0,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,I
"'We are inviting workshop and tutorial proposals on topics of interest to the broader ASPLOS community. Workshops and tutorials will be held Saturday and Sunday, March 5-6, 2011. Please send proposals to Evelyn Duesterwald (duester@acm.org) before September 15, 2010.",'1-1-2-2-2-2,2,0,0,1,0,2,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,N
'Workshops:,'1-1-2-2-2-3-1,0,0,0,1,0,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'The goal of workshops is to foster discussion on new topics in emerging areas with a high level of interactivity. Workshop proposals should include the following:,'1-1-2-2-2-3-2,1,0,0,1,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,1,0,1,1,1,C
'Title of the workshop,'1-1-2-2-2-4-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Organizers, their affiliations, and short bios",'1-1-2-2-2-4-2,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Draft call for papers, including the workshop's main objectives, main topics, and expected program committee (if possible)",'1-1-2-2-2-4-3,1,1,0,1,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,1,0,0,0,2,I
"'Expected duration of the workshop, i.e., 1/2 day, full day, or 2 days",'1-1-2-2-2-4-4,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Expected workshop format, i.e., keynote/talks/panel/etc.",'1-1-2-2-2-4-5,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'If the workshop was previously held, the location (i.e., which conference), date, the number of published papers and attendees at the last workshop",'1-1-2-2-2-4-6,1,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Tutorials:,'1-1-2-2-2-5-1,0,0,0,1,0,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'The goal of tutorials is to educate the community on a new idea, practice, or tool, with a high level of interactivity. Tutorial proposals should include the following:",'1-1-2-2-2-5-2,1,0,0,1,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,C
'Title of the tutorial,'1-1-2-2-2-6-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Organizers, presenters, their affiliations, and short bios",'1-1-2-2-2-6-2,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Abstract of the tutorial, including the tutorial's main objectives, main topics, target audience, and prerequisite knowledge",'1-1-2-2-2-6-3,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Expected duration of the tutorial; i.e., 1/2 day, full day, or 2 days",'1-1-2-2-2-6-4,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Expected tutorial format, i.e., talks/demo/exercise",'1-1-2-2-2-6-5,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'If the tutorial was previously held, the location (i.e., which conference), date, and number of attendees at the last tutorial",'1-1-2-2-2-6-6,1,1,0,1,0,0,0,0,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,2,I
'Please contact Min Feng for any questions/issues with this website.,'1-2,1,0,0,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,N
