content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'ACM Transactions on,'1-1-1-2-1,0,0,0,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,C
'Graphics,'1-1-1-2-2,0,0,0,2,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,C
'Information for authors,'1-1-2-2,0,0,1,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,C
'Scope,'1-2-1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Submission categories,'1-2-2,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,2,I
'Publication policies,'1-2-3,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Format,'1-2-4,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Process,'1-2-5,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Recommendations,'1-2-6,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Once Accepted,'1-2-7,0,0,0,1,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Scope,'1-3-1-1,0,0,0,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'As explained in the Editorial Charter, ACM Transactions on Graphics publishes papers of significant and lasting value in all areas of computer graphics, including (but not limited to) the following.",'1-3-1-2,2,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,C
'Animation,'1-3-2-1-1,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Artistic Rendering,'1-3-2-1-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Font Rendering & Typography,'1-3-2-1-3,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Graphical Data Compression,'1-3-2-1-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Image-Based Rendering,'1-3-2-1-5,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Image Warping & Morphing,'1-3-2-1-6,0,0,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Implicit Curves & Surfaces,'1-3-2-2-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,I
'Interactive Techniques,'1-3-2-2-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Meshed Geometry Processing,'1-3-2-2-3,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Motion Capture & Synthesis,'1-3-2-2-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Numerical Methods,'1-3-2-2-5,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Parametric Curves & Surfaces,'1-3-2-2-6,0,0,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Photorealistic Rendering,'1-3-2-3-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,I
'Physically-Based Modeling,'1-3-2-3-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Procedural Modeling & Texturing,'1-3-2-3-3,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Texture Synthesis,'1-3-2-3-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Visual Simulation,'1-3-2-3-5,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Volumetric Modeling & Rendering,'1-3-2-3-6,0,0,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Submission categories,'1-3-3-1-1,0,0,0,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,2,C
'TOG accepts manuscript submissions in these categories:,'1-3-3-1-2-1,0,0,0,1,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,C
"'Previously unpublished research paper. These can include material presented as a SIGGRAPH Sketch or in a workshop, symposium or conference so long as it was not published in a journal. (Any such prior presentation must be cited.)",'1-3-3-1-2-2-1,2,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
"'SIGGRAPH accept with major revision. Some papers submitted to the SIGGRAPH conference are sufficiently compelling to warrant acceptance, but would require more revision than the few weeks the SIGGRAPH conference schedule permits. The SIGGRAPH Papers Committee recommends these papers for acceptance with major revision to appear in an upcoming issue of TOG. These manuscripts once revised are submitted to TOG under this category for verification of the revisions and eventual publication.",'1-3-3-1-2-2-2,2,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Resubmission of SIGGRAPH paper requesting reviewer continuity. If a paper has previously been rejected from a SIGGRAPH conference, the authors may request that the original SIGGRAPH reviewers examine the revised paper, in order to improve continuity of the review process. The SIGGRAPH organization will forward the reviews and reviewer names to a TOG associate editor, who will coordinate the process and make the acceptance recommendation. This type of submission must be accompanied by an explanation of the changes made since the earlier SIGGRAPH submission. Also, be sure to include the original paper title if it has changed.",'1-3-3-1-2-2-3,2,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Publication policies,'1-3-3-2-1,0,0,0,2,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'The ACM Publications Policies page addresses issues of plagiarism, copyrights, simultaneous submissions, etc.",'1-3-3-2-2,1,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,I
'Format,'1-3-3-3-1,0,0,0,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'We prefer manuscripts submitted as PDF files, but can also accept PostScript or Microsoft Word documents.",'1-3-3-3-2-1,1,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,I
'Documents should follow the formatting of the sample paper in this ZIP file so that we can properly assess page count. Note that the format of ACM TOG differs from that of other ACM Transactions in that it follows the two-column style of the SIGGRAPH Proceedings.,'1-3-3-3-2-2,2,0,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Instructions and style files for formatting a submission using LaTeX are present in the same ZIP file.,'1-3-3-3-2-3,1,0,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,2,I
"'Because TOG has page count constraints, authors are encouraged to keep the presentation concise. For instance, figures and tables should be formatted to span only a single column rather than both columns if possible. Also, it may be appropriate to place content in supplementary electronic material that accompanies the submission. Such supplementary material is made available with the paper in the ACM Digital Library after the paper is published.",'1-3-3-3-2-4,2,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Process,'1-3-3-4-1,0,0,0,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'TOG accepts submissions electronically via Manuscript Central. Authors should go there, create an account and password, login selecting ""Transactions on Graphics"", and proceed to the Author Center to submit a manuscript.",'1-3-3-4-2-1,2,0,0,1,0,2,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,N
'A submitted paper must overcome several hurdles in its quest for publication in ACM Transactions on Graphics.,'1-3-3-4-2-2,1,0,0,1,0,2,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,1,3,N
'An administrative assistant first checks the submission for completeness and notifies the Editor-in-Chief.,'1-3-3-4-2-3-1,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,3,I
"'The Editor-in-Chief then determines if the paper is appropriate for consideration by TOG and, if so, assigns it to an Associate Editor.",'1-3-3-4-2-3-2,1,1,0,1,0,2,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,2,I
"'The Associate Editor reads the paper and further determines if it is appropriate for TOG consideration, and if so, selects several referees.",'1-3-3-4-2-3-3,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'The referees read the submission and measure its novelty, impact and correctness, and each returns a review to the Associate Editor.",'1-3-3-4-2-3-4,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'The Associate Editor collects the reviews and makes a recommendation to the Editor-in-Chief on the acceptability of the submission.,'1-3-3-4-2-3-5,1,1,0,1,0,2,0,0,1,2,1,0,1,1,1,0,0,0,1,0,0,0,2,I
"'The Editor-in-Chief, based on the reviews and Associate Editor's recommendation, makes a final, binding recommendation on the acceptability of the submission, and communicates to the author this recommendation along with the Associate Editor's comments and referees reviews.",'1-3-3-4-2-3-6,2,1,0,1,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,2,I
"'For papers on which the Editor-in-Chief has a conflict, the role of Editor-in-Chief is assigned to the Past-Editor-in-Chief.",'1-3-3-4-2-3-7,1,1,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Our goal is to get your submission out to the graphics community as soon as possible.,'1-3-3-4-2-4,1,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,1,1,2,N
"'We strive to complete this process from submission to decision in 3 months, and our average time is 2.5 months from submission to decision, though some papers can require longer periods to perform the complete and thorough evaluation required by the top journal in computer graphics.",'1-3-3-4-2-5-1,2,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,3,I
"'If at any time during this process we determine your submission is inappropriate for consideration by TOG, we will return the submission to the author immediately so the problem can be fixed or the submission can be sent to a more appropriate venue. This is in the best interest of the author and the timely publication of the submission as it avoids a lengthy review process that would nevertheless result in rejection.",'1-3-3-4-2-5-2,2,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,2,I
