content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Call for Workshops,'1-2-1-1-2,0,0,1,2,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C
"'Proposals are solicited for one-day workshops to be held as part of the CIKM conference (24th-28th October 2011, http://www.cikm2011.org/). Topics should be in the general areas of databases, information retrieval, and/or knowledge management. Indeed, workshops bridging these areas, or presenting new perspectives in these areas are particularly welcome. A full list of current topics of interest can be found in the CIKM general call for papers.",'1-2-1-2-1-1-1-1,2,0,0,1,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,N
'A list of recent workshops collocated with CIKM:,'1-2-1-2-1-1-1-2,0,0,0,1,0,2,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,3,C
'CIKM 2010,'1-2-1-2-1-1-1-3-1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'CIKM 2009,'1-2-1-2-1-1-1-3-2,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'CIKM 2008,'1-2-1-2-1-1-1-3-3,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'CIKM 2007,'1-2-1-2-1-1-1-3-4,0,0,0,1,0,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'CIKM workshops provide a platform for presenting novel ideas in a less formal and possibly more focused way than the conference itself. The format of each workshop is to be determined by the organisers, but it is expected that workshops will contain ample time for general discussion and engagement by all participants - not just those presenting papers. Workshops that foster interaction, discussion, collaboration, and group problem-solving are especially encouraged.",'1-2-1-2-1-1-1-4,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,N
"'The organisers of approved workshops are expected to define the workshop's focus, gather and review submissions, and decide upon final program content. Organisers (including co-organisers) are expected to attend their entire workshop and to provide an article for dissemination (e.g. SIGIR Forum) summarising the event.",'1-2-1-2-1-1-1-5,2,0,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
"'Workshop proposals should be submitted in PDF using the CIKM 2011 workshop submission system at 23h59m59s, Apia Samoa time (GMT -11 hours - check the current time in Apia, Samoa).",'1-2-1-2-1-1-1-6,2,0,0,1,0,2,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
'It is highly recommended to use the CIKM 2011 Workshop Proposal Template for your submission:,'1-2-1-2-1-1-1-7,1,0,0,1,0,2,0,2,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,3,C
'MS Word:,'1-2-1-2-1-1-2-1-1,0,0,0,0,1,2,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'cikm2011_workshop_proposal_template.doc,'1-2-1-2-1-1-2-1-2,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'PDF:,'1-2-1-2-1-1-2-2-1,0,0,0,0,1,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'cikm2011_workshop_proposal_template.pdf,'1-2-1-2-1-1-2-2-2,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Important Dates for Workshop Proposals,'1-2-1-2-1-2-1,0,0,0,1,1,2,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,2,C
"'Proposals Due: March 28, 2011",'1-2-1-2-1-2-2-1,0,0,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,I
"'Notification of Workshop Proposal Acceptance: May 9, 2011",'1-2-1-2-1-2-2-2,0,0,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,1,0,1,1,1,2,I
"'Individual Workshop Papers Due: June 29, 2011",'1-2-1-2-1-2-2-3,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,1,1,1,0,0,2,I
"'Notification of Acceptance: July 29, 2011",'1-2-1-2-1-2-2-4,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'Camera Ready: August 12, 2011 (hard deadline for publication)",'1-2-1-2-1-2-2-5,1,1,0,1,0,2,0,1,1,2,1,0,0,1,1,0,1,0,1,0,1,0,0,2,I
"'Accepted workshop papers will also be published in the CIKM workshop proceedings, which will be printed on CD only and indexed in the ACM digital library, together with the main CIKM 2010 proceedings. Thus, the timeline to print proceedings must be planned with the CIKM proceedings schedule.",'1-2-1-2-1-2-3,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,N
"'Any queries should be directed to the workshop chair, Craig Macdonald (workshops@cikm2011.org)",'1-2-1-2-1-2-4,1,0,0,1,0,2,1,0,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,3,N
