content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Important dates,'1-1-2-1-2-1,0,0,1,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,C
'Below are the key dates for the AIED 2011 conference. Please check back often for any changes.,'1-1-2-1-2-2-1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,I
'Interactive Events submission deadline,'1-1-2-1-2-2-2-1-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,1,0,0,0,1,0,0,2,C
"'19 January, 2011",'1-1-2-1-2-2-2-1-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-1-3-1,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Call for Interactive events,'1-1-2-1-2-2-2-1-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Workshop proposals deadline,'1-1-2-1-2-2-2-2-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,2,C
"'19 January, 2011",'1-1-2-1-2-2-2-2-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-2-3-1,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Call for Workshops,'1-1-2-1-2-2-2-2-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Full paper submission deadline,'1-1-2-1-2-2-2-3-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,1,0,0,0,1,0,0,2,C
"'21 January, 2011",'1-1-2-1-2-2-2-3-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-3-3-1,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Main conference: author instructions,'1-1-2-1-2-2-2-3-3-2,0,0,0,1,0,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Young Researcher's Track submission deadline,'1-1-2-1-2-2-2-4-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,2,C
"'21 January, 2011",'1-1-2-1-2-2-2-4-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-4-3-1,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Call for YRT,'1-1-2-1-2-2-2-4-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Poster papers submission deadline,'1-1-2-1-2-2-2-5-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,1,0,0,1,1,0,0,2,C
"'21 January, 2011",'1-1-2-1-2-2-2-5-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'23.59 GMT,'1-1-2-1-2-2-2-5-3-1,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Main conference: author instructions,'1-1-2-1-2-2-2-5-3-2,0,0,0,1,0,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Tutorial proposals deadline,'1-1-2-1-2-2-2-6-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,2,C
"'11 February, 2011",'1-1-2-1-2-2-2-6-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-6-3-1,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Call for Tutorials,'1-1-2-1-2-2-2-6-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Tutorial acceptance,'1-1-2-1-2-2-2-7-1,0,0,0,0,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'28 February, 2011",'1-1-2-1-2-2-2-7-2,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,I
"'Author notification (full, poster)",'1-1-2-1-2-2-2-8-1,0,0,0,0,0,2,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,C
"'14 March, 2011",'1-1-2-1-2-2-2-8-2,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,I
'Workshop summary due,'1-1-2-1-2-2-2-9-1,0,0,0,0,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'7 April, 2011",'1-1-2-1-2-2-2-9-2,0,0,0,0,0,1,0,0,1,2,1,0,1,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-9-3,0,0,0,0,0,2,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Interactive Events 1-page camera-ready abstract due,'1-1-2-1-2-2-2-10-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,C
"'8 April, 2011",'1-1-2-1-2-2-2-10-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-10-3-1,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Call for Interactive events,'1-1-2-1-2-2-2-10-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Camera ready papers due,'1-1-2-1-2-2-2-11-1,0,0,0,0,0,2,1,0,1,2,1,0,1,0,1,0,0,0,0,1,1,0,0,2,C
"'8 April, 2011",'1-1-2-1-2-2-2-11-2,0,0,0,0,0,1,0,0,1,2,1,0,1,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-11-3,0,0,0,0,0,2,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Workshop paper submissions due,'1-1-2-1-2-2-2-12-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,C
"'9 April, 2011",'1-1-2-1-2-2-2-12-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-12-3-1,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Workshops info,'1-1-2-1-2-2-2-12-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Student scholarship application due,'1-1-2-1-2-2-2-13-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,C
"'2 May, 2011",'1-1-2-1-2-2-2-13-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-13-3-1,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Announcement,'1-1-2-1-2-2-2-13-3-2,0,0,0,1,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Workshop camera-ready papers due,'1-1-2-1-2-2-2-14-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,2,C
"'1 June, 2011",'1-1-2-1-2-2-2-14-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'23:59 GMT,'1-1-2-1-2-2-2-14-3-1,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Workshops info,'1-1-2-1-2-2-2-14-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Conference starts,'1-1-2-1-2-2-2-15-1,0,0,0,0,0,2,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,C
"'28 June, 2011",'1-1-2-1-2-2-2-15-2,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,I
'08:00 NZST,'1-1-2-1-2-2-2-15-3-1,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Programme timetable,'1-1-2-1-2-2-2-15-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Disclaimer,'1-1-2-2-2-1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,N
'IAIED©2010,'1-1-2-2-2-2,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,N
'Developed and maintained by ICTG,'1-2,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,N
