content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'AAAI-11: Computational Sustainability and Artificial Intelligence Special Track,'1-1,1,0,1,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Computational Sustainability and Artificial Intelligence,'1-2-2-1-2-1-1-1-1,0,0,0,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'A Special Track of the Twenty-Fifth Conference on Artificial Intelligence,'1-2-2-1-2-1-1-1-2,1,0,0,2,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,C
'Call for Papers,'1-2-2-1-2-1-1-2-1-1,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,C
"'December 1, 2010 – February 1, 2011: Authors register on the AAAI web site",'1-2-2-1-2-1-1-2-1-2-1,1,1,0,1,0,2,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,I
"'February 3, 2011: Electronic abstracts due",'1-2-2-1-2-1-1-2-1-2-2,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2,I
"'February 8, 2011: Electronic papers due",'1-2-2-1-2-1-1-2-1-2-3,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,0,0,1,1,1,0,0,2,I
"'April 15, 2011: Notification of acceptance or rejection",'1-2-2-1-2-1-1-2-1-2-4,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'May 3, 2011: Camera-ready copy due at AAAI office",'1-2-2-1-2-1-1-2-1-2-5,1,1,0,1,0,2,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,2,I
'Paper Submission Site,'1-2-2-1-2-1-1-2-2-1,0,0,0,1,1,2,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,N
'Author Instructions Page,'1-2-2-1-2-1-1-2-2-2-1-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,N
'Blind Review Instructions,'1-2-2-1-2-1-1-2-2-2-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,N
"'Computational sustainability is a new interdisciplinary field that aims to apply techniques from computer and information science and related disciplines (for example, operations research, applied mathematics, and statistics) to the balancing of environmental, economic, and societal needs, in order to support sustainable development and a sustainable future. Research in computational sustainability is inherently interdisciplinary: It brings together computational fields and a variety of fields with a long tradition in the study of sustainability problems, such as environmental sciences, biology, economics, and sociology. Artificial intelligence (AI), in particular, can play a key role in addressing challenges in computational sustainability.",'1-2-2-1-2-1-1-2-2-2-2,2,0,0,1,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,N
'Sustainability domains and areas include the following:,'1-2-2-1-2-1-1-2-2-2-3,0,0,0,1,0,0,0,2,1,2,1,1,0,1,0,0,0,0,0,1,0,1,1,3,C
"'Natural resources and the environment (for example, climate, atmosphere, water, oceans, forest, land, soil, biodiversity, species, and so on.)",'1-2-2-1-2-1-1-2-2-2-4-1,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Economics and human behavior (for example, human well-being, poverty, infectious diseases, over-population, resource harvesting, and so on.)",'1-2-2-1-2-1-1-2-2-2-4-2,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Energy resources (for example, renewable energy, smart grid, material discovery for fuel cell technology, and so on.)",'1-2-2-1-2-1-1-2-2-2-4-3,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Human-built systems and land use (for example, transportation systems, cities, buildings, datacenters, food systems, agriculture, and so on.)",'1-2-2-1-2-1-1-2-2-2-4-4,1,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'This special track invites the submission of research papers on novel concepts, models, algorithms, and systems, in order to address problems in computational sustainability. We are looking for a broad range of papers ranging from formal analysis to applied research. Examples include papers explaining how the research addresses specific computational problems, opportunities, or issues underlying sustainability challenges and papers describing a sustainability challenge or application that can be tackled using AI methods. Papers proposing general challenges and competitions for computational sustainability are also welcome.",'1-2-2-1-2-1-1-2-2-2-5,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,I
