content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Twenty-Fifth AAAI Conference on Artificial Intelligence,'1-1,1,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'The Twenty-Fifth Conference on Artificial Intelligence (AAAI-11),'1-2-2-1-2-1-1-1,0,0,0,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,C
'Call for Papers,'1-2-2-1-2-1-1-2-1-1,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,C
"'December 1, 2010 – February 1, 2011: Authors register on the AAAI web site",'1-2-2-1-2-1-1-2-1-2-1,1,1,0,1,0,2,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,I
"'February 3, 2011: Electronic abstracts due",'1-2-2-1-2-1-1-2-1-2-2,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2,I
"'February 8, 2011: Electronic papers due",'1-2-2-1-2-1-1-2-1-2-3,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,0,0,1,1,1,0,0,2,I
"'April 15, 2011: Notification of acceptance or rejection",'1-2-2-1-2-1-1-2-1-2-4,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'May 3, 2011: Camera-ready copy due at AAAI office",'1-2-2-1-2-1-1-2-1-2-5,1,1,0,1,0,2,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,2,I
'Paper Submission Site,'1-2-2-1-2-1-1-2-2-1,0,0,0,1,1,2,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,N
'Author Instructions Page,'1-2-2-1-2-1-1-2-2-2-1-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,N
'Blind Review Instructions,'1-2-2-1-2-1-1-2-2-2-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,N
"'AAAI-11 is the Twenty-Fifth AAAI Conference on Artificial Intelligence (AI). The purpose of this conference is to promote research in AI and scientific exchange among AI researchers, practitioners, scientists, and engineers in related disciplines. AAAI-11 will have multiple technical tracks, student abstracts, poster sessions, invited speakers, and exhibit programs, all selected according to the highest reviewing standards. AAAI-11 welcomes submissions on mainstream AI topics as well as novel crosscutting work in related areas.",'1-2-2-1-2-1-1-2-2-2-2,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,N
'Topics include but are not limited to the following:,'1-2-2-1-2-1-1-2-2-2-3,0,0,0,1,0,0,0,2,1,2,1,1,0,1,1,0,0,0,0,1,1,1,1,3,C
'Agent-based and multiagent systems,'1-2-2-1-2-1-1-2-2-2-4-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Cognitive modeling and human interaction,'1-2-2-1-2-1-1-2-2-2-4-2,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Commonsense reasoning,'1-2-2-1-2-1-1-2-2-2-4-3,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Computer vision,'1-2-2-1-2-1-1-2-2-2-4-4,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Constraint satisfaction, search, and optimization",'1-2-2-1-2-1-1-2-2-2-4-5,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Evolutionary computation,'1-2-2-1-2-1-1-2-2-2-4-6,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Game playing and interactive entertainment,'1-2-2-1-2-1-1-2-2-2-4-7,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Information retrieval, integration, and extraction",'1-2-2-1-2-1-1-2-2-2-4-8,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Knowledge acquisition and ontologies,'1-2-2-1-2-1-1-2-2-2-4-9,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
