content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'ACM Transactions on,'1-1-1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,C
'Autonomous and Adaptive Systems,'1-1-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,C
'Editorial Charter,'1-2-2-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'1. Scope of the Journal,'1-2-2-2-1-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,C
"'TAAS is a referred journal aimed at disseminating high quality scientific and technological research results in the area of autonomous adaptive systems, as defined in the aims and scopes section.",'1-2-2-2-1-2,2,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'2. Types of Articles,'1-2-2-2-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'TAAS will aim to publish papers that provably advance the state of the art, or that provide new insights and knowledge into specific issues related to autonomous adaptive systems.",'1-2-2-2-2-2-1-1,2,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Authors submitting papers to this journal should support their arguments via performance evaluations, logical proofs, and statistical data or usability tests - depending on what applies to the specific case. Also, authors are encouraged to demonstrate novelty with respect to the state of the art.",'1-2-2-2-2-2-1-2,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Tutorial and survey papers are welcome, provided that they are of high quality, and which may serve the purpose of informing researchers, professionals, and students about emerging areas within the remit of this journal.",'1-2-2-2-2-2-1-3,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Purely speculative papers, papers that claim research results without supporting them with appropriate validation arguments, or tutorial and survey papers that reduce to a list of known techniques without apparent rationale are not of interest to this journal.",'1-2-2-2-2-2-1-4,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'We expect that the first volume (year 1) of the journal can also contain a limited number of general, introductory, ""magazine style"" papers, devoted to assess the scope of the journal and to encourage a wider readership (including non-experts).",'1-2-2-2-2-2-1-5,2,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'2.1. Originality,'1-2-2-2-2-2-2-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'Articles submitted to TAAS must be original, and must not have been published (or been/being submitted for evaluation) elsewhere. Extended versions of papers from conference and workshop proceedings may be acceptable, provided that the TAAS version notably extends prior publications with new results and discussion. Authors are required to clearly state where this is the case when they submit their paper to TAAS.",'1-2-2-2-2-2-2-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'2.2. Style and Length,'1-2-2-2-2-2-3-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'Articles must be in English. They should have an introductory part that is comprehensible by a non-expert, and should reference up-to-date related literature. TAAS enforces a limit on the length of papers to 10000 words (20 printed pages). Papers exceeding 10000 words will have to either be shortened, or have to move some of the material to an appendix that will only be published online.",'1-2-2-2-2-2-3-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'2.3. Unethical articles,'1-2-2-2-2-2-4-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,C
"'TAAS reserves the right to impose the revision of, or if necessary to refuse, a paper - despite its scientific and technical quality - whenever its content is explicitly unethical or if it supports racism, sexual or religious discrimination, illegal activities or terrorism; similarly an article may be refused if the editors deem that it might harm the political or religious sensitivity of interested readers in any manner.",'1-2-2-2-2-2-4-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'3. Editorial Board,'1-2-2-2-3-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'3.1. Composition,'1-2-2-2-3-2-1-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,C
'The editorial board of TAAS is composed of two co-Editors in Chief (EICs) and up to 20 Associated Editors (AEs).,'1-2-2-2-3-2-1-2,1,0,0,1,0,2,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,I
'3.2. Duties of the Editorial Board Members,'1-2-2-2-3-2-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
"'The EICs are in charge of directing the general editorial guidelines of the journal in concert with the publisher and with the AEs. In particular, the EICs are responsible for receiving submissions and of taking final decisions regarding acceptance or rejection of papers.",'1-2-2-2-3-2-2-2-1,2,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'The AEs collaborate with the EICs to assist him/her in managing the selection of papers for publication, according to the guidelines in the ""Reviewing Process"" Section, in soliciting submissions from colleagues and in encouraging Special Issues that address emerging themes.",'1-2-2-2-3-2-2-2-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
