content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'Information for Authors,'1-1-1-2,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,C
'ACM Author-Izer Service,'1-1-2-2-2-1-1,0,0,0,2,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,C
"'*New options for ACM authors to manage rights and permissions for their work: ACM introduces a new publishing license agreement, an updated copyright transfer agreement, and a new author-pays option which allows for perpetual open access through the ACM Digital Library. For more information, visit the ACM Author Rights webpage at authors.acm.org.",'1-1-2-2-2-1-2,2,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,N
'Manuscript Preparation,'1-1-2-2-2-2-1,0,0,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'Editorial Guidelines,'1-1-2-2-2-2-2-1-1,0,0,0,2,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,C
"'1. TKDD will encourage submissions that have not been published or submitted previously to this or any other publication, and submissions which may significantly contribute to opening up new and potentially important areas of research and development.   TKDD will do this by giving earliest possible publication dates for such submissions once they have been accepted.  The Associate Editors, with the recommendation from the reviewers, will determine which submissions fall into these categories.  The subsequent submissions are then recommended to the Editor-in-Chief, who will make the final decision.",'1-1-2-2-2-2-2-1-2-1,2,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
"'2. TKDD will promote fusion of theory and systems by strongly encouraging the authors of theory papers to indicate applications and implementation considerations/consequences, and the authors of systems papers to indicate the use of existing theoretical results and to point to possible theoretical research issues.",'1-1-2-2-2-2-2-1-2-2,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'3. TKDD will publish outstanding papers which are ""major value-added extensions"" of papers previously published in conferences; that is, TKDD will not automatically reject papers that are major extensions to previously published conference papers.  These papers will go through the normal review process.",'1-1-2-2-2-2-2-1-2-3,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'4. TKDD will strive to make papers straightforward and more readable by recommending that authors include examples where appropriate and to make greater efforts to target their presentation to a broader audience than specialists doing current research in the topical areas of the papers.,'1-1-2-2-2-2-2-1-2-4,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'5. The TKDD Editorial Board is committed to providing an editorial decision within five months, starting with papers submitted in January 2006.  This turnaround time is defined to start with the day the paper was submitted electronically and extends to the day the decision was sent to the author.  It is expected that the average turnaround time will be even shorter, so prospective authors can expect a fast review of their submission.  TKDD editors will also regard a submission to have been withdrawn if its required revision is not submitted within six months of the revision notification.",'1-1-2-2-2-2-2-1-2-5,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'6. TKDD will discourage excessively long papers (longer than 50 double-spaced pages including figures, references, etc.), and unnecessary digressions, even in shorter papers.  TKDD’s goal is to motivate the authors to bring out the essence of their papers more clearly, to make it easier for the reviewers and readers to follow the article, and to allow TKDD to publish more papers in any given issue.",'1-1-2-2-2-2-2-1-2-6,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'7. Similarly, TKDD encourages shorter submissions, even very short (for example, five page) submissions. The primary focus of review is the significant improvement on the state-of-the-art, not the number pages the manuscript fills.",'1-1-2-2-2-2-2-1-2-7,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'8. TKDD will adopt the ACM Computing Surveys' style of references; that is, references will be labeled by authors' names and years of publication, rather than by numbers.",'1-1-2-2-2-2-2-1-2-8,1,0,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'9. The editor processing a paper normally assigns three reviewers to a paper.  Reviewers provide advice to the editor to assist him/her in reaching an editorial decision regarding the paper.  The editor's decision may differ from the consensus of the reviewers.  If the editor determines early on in the process that a submission is a clear-reject (through an early-arriving review, editor's own reading, etc.), the editor may stop the review process without collecting all reviews.",'1-1-2-2-2-2-2-1-2-9,2,0,0,1,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,2,I
"'10. TKDD will publish occasional special issues to provide timely enhancement to promising areas of research and development, or a timely consolidation of the results in other areas.  Guest editors will be invited to organize such issues.",'1-1-2-2-2-2-2-1-2-10,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'11. TKDD will also publish focused surveys.  These reviews should be deeply focused and will sometimes be quite narrow, but will make a contribution to our understanding of an important area or subarea of knowledge discovery from data, broadly defined.  More general surveys that are intended for a broad-based Computer Science audience or surveys that may influence other areas of computing research should continue to go to ACM Computing Surveys.  Brief surveys on recent developments in knowledge discovery research are more appropriate for ACM SIGKDD Explorations. TKDD surveys should be educational to data mining audiences by presenting a relatively well-established body of data mining research. Surveys can summarize prior literature on a theoretical or systems research topic, or can explain approaches implemented in commercial systems.  A survey of the former type summarizes literature on a particular subject, presenting a new way of understanding how the papers in this literature fit together.  A survey of the latter type summarizes the best industrial art, and can be acceptable even if it represents no new contribution over what has been used in industry for years, if the paper's content is not to be found in the published literature.",'1-1-2-2-2-2-2-1-2-11,2,0,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Types of Papers,'1-1-2-2-2-2-2-2-1,0,0,0,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'The ACM Transactions on Knowledge Discovery from Data publishes original archival papers in the area of knowledge discovery and data mining and closely related disciplines. (See the Editorial Charter for further details.)  Submitted papers are judged primarily on originality and relevance, but effective presentation is also critical.  Contributions should conform to generally accepted practices for scientific papers with respect to organization and style.",'1-1-2-2-2-2-2-2-2-1,2,0,0,1,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,N
'TKDD,'1-1-2-2-2-2-2-2-2-2-1,0,0,0,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,N
"'also publishes focused surveys.  These should be deep and will sometimes be quite narrow, but would make a contribution to our understanding of an important area or subarea of knowledge discovery and data mining, broadly defined.  More general surveys that are intended for a broad-based Computer Science audience or surveys that may influence other areas of computing research should continue to go to ACM Computing Surveys.  Brief surveys on recent developments in data mining research are more appropriate for SIGKDD Explorations.",'1-1-2-2-2-2-2-2-2-2-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,N
"'Finally, TKDD welcomes submissions that review, critique, correct, or expand on a paper previously published in TKDD. Such submissions will go through the standard formal review. Where appropriate, the author(s) of the original paper will be given an opportunity to respond, with their own submission.",'1-1-2-2-2-2-2-2-2-3,2,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,3,N
'Prior Publication Policy,'1-1-2-2-2-2-2-3-1,0,0,0,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'The technical contributions appearing in ACM journals are normally original papers that have not been published elsewhere.,'1-1-2-2-2-2-2-3-2-1,1,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,N
'A submission based on one or more papers that appeared elsewhere must have major value-added extensions over what appeared previously.  There is little scientific merit in simply sending a conference version to a journal after the paper has been accepted for the conference.,'1-1-2-2-2-2-2-3-2-2,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,3,N
