content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Industry Event,'1-2-1-1-2,0,0,1,2,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C
'Industry Event: Call for Papers,'1-2-1-2-1-1-1-1,0,0,0,1,1,2,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,C
"'This year’s CIKM conference will include an Industry Event, which will be held during the regular conference program in parallel with the technical tracks.",'1-2-1-2-1-1-1-2-2,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N
"'The Industry Event's objectives are twofold. The first objective is to present the state-of-the-art in information retrieval, knowledge management, databases, and data mining, delivered as keynote talks by influential technical leaders who work in industry. The second objective is to present interesting, novel and innovative industry developments in these areas.",'1-2-1-2-1-1-2,2,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,N
"'Industry authors are invited to prepare proposals for presenting interesting, novel and innovative ideas, and submit these to industry@cikm2011.org by June 21st 2011. The proposals should contain (with respective lengths):",'1-2-1-2-1-1-3,2,0,0,1,0,0,1,2,1,2,1,1,0,1,0,0,0,0,0,0,0,1,1,3,C
'Short company portrait (125 words),'1-2-1-2-1-1-4-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Short CV of the presenter (125 words),'1-2-1-2-1-1-4-2,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Title and abstract of the presentation (250 words),'1-2-1-2-1-1-4-3,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Reasons why the presentation should be interesting to the CIKM audience,'1-2-1-2-1-1-4-4,1,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'When submitting a proposal, please bear in mind the following:",'1-2-1-2-1-1-5,1,0,0,1,0,0,0,2,1,2,1,1,0,0,0,0,1,0,0,0,0,1,1,2,C
'Ensure the presentation is relevant to the CIKM audience (the Call for Papers gives a good idea of the conference scope).,'1-2-1-2-1-1-6-1,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Try to highlight interesting R&D challenges in the work you present. Please do not present a sales pitch.,'1-2-1-2-1-1-6-2,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'All slides will be made public (no confidential information on the slides; you will be expected to ensure your slides are approved by your company before being presented).,'1-2-1-2-1-1-6-3,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Presenters may opt to have their presentation videoed and made public, and if so, the presenter will be asked to sign a release form.",'1-2-1-2-1-1-6-4,1,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'We look forward to receiving your submissions, and welcoming you to the CIKM 2011 Conference and Industry Event.",'1-2-1-2-1-1-7,1,0,0,1,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,N
'Important dates:,'1-2-1-2-1-1-8-1,0,0,0,1,1,2,0,2,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,3,C
