content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'EDITORIAL BOARD 2011-2013,'1-1-1-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,C
'Editors-in-Chief:,'1-1-1-1-2-1-1,0,0,1,2,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Marcello Federico,'1-1-1-1-2-1-2-1-1,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Fondazione Bruno Kessler, Italy",'1-1-1-1-2-1-2-1-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,I
'Steve Renals,'1-1-1-1-2-1-2-2-1,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,I
"'University of Edinburgh, UK",'1-1-1-1-2-1-2-2-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,2,I
'Associate Editors:,'1-1-1-1-2-2-1,0,0,1,2,1,2,0,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
"'Jerome R Bellegarda (Apple, USA)",'1-1-1-1-2-2-2-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,I
"'Alan W Black (CMU, USA)",'1-1-1-1-2-2-2-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,1,0,0,0,0,0,2,I
"'Hal Daume III (U. Utah, USA)",'1-1-1-1-2-2-2-3,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Pascale Fung (HKUNST, Hong Kong)",'1-1-1-1-2-2-2-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Diego Giuliani (FBK, Italy)",'1-1-1-1-2-2-2-5,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Thomas Hain (U. Sheffield, UK)",'1-1-1-1-2-2-2-6,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Dirk Heylin (U. Twente, Netherlands)",'1-1-1-1-2-2-2-7,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Tatsuya Kawahara (U. Kyoto, Japan)",'1-1-1-1-2-2-2-8,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Dietrich Klakow (U. Saarland, Germany)",'1-1-1-1-2-2-2-9,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Mikko Kurimo (U. Aalto, Finland)",'1-1-1-1-2-2-2-10,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Mirella Lapata (U. Edinburgh, UK)",'1-1-1-1-2-2-2-11,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Oliver Lemon (U. Heriot-Watt, UK)",'1-1-1-1-2-2-2-12,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Haizhou Li (IIR, Singapore)",'1-1-1-1-2-2-2-13,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Yang Liu (U. Texas Dallas, USA)",'1-1-1-1-2-2-2-14,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Eric Fosler-Lussier (U. Ohio State, USA)",'1-1-1-1-2-2-2-15,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Daniel Marcu (USC/ISI, USA)",'1-1-1-1-2-2-2-16,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Christof Monz (U. Amsterdam, Netherlands)",'1-1-1-1-2-2-2-17,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Sebastian Padó (U. Heidelberg, Germany)",'1-1-1-1-2-2-2-18,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Michael Paul (NICT, Japan)",'1-1-1-1-2-2-2-19,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Holger Schwenk (U. Le Mans, France)",'1-1-1-1-2-2-2-20,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Tomoki Toda (NAIST, Japan)",'1-1-1-1-2-2-2-21,0,0,0,1,0,2,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,2,I
'EDITORIAL BOARD 2008-2010,'1-1-1-2-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Editor-in-Chief:,'1-1-1-2-2-1-1,0,0,1,2,1,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Marcello Federico,'1-1-1-2-2-1-2-1,0,0,0,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Fondazione Bruno Kessler, Italy",'1-1-1-2-2-1-2-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,2,I
'Associate Editors:,'1-1-1-2-2-2-1,0,0,1,2,1,2,0,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
"'Hal Daume III (U. of Utah, USA)",'1-1-1-2-2-2-2-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,I
"'Pascale Fung (HKUNST, Hong Kong)",'1-1-1-2-2-2-2-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Katrin Kirchhoff (U. of Washington, USA)",'1-1-1-2-2-2-2-3,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Mirella Lapata (U. of Edinburgh, UK)",'1-1-1-2-2-2-2-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Daniel Marcu (USC/ISI, USA)",'1-1-1-2-2-2-2-5,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Satoshi Nakamura (NiCT-ATR, Japan)",'1-1-1-2-2-2-2-6,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Steve Renals (U. of Edinburgh, UK)",'1-1-1-2-2-2-2-7,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,I
"'Stephan Vogel (CMU, USA)",'1-1-1-2-2-2-2-8,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,1,0,0,1,0,0,2,I
