content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'ACM Transactions on the Web,'1-1-2-4-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,C
'ACM TWEB,'1-2-2-1-1-1,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,1,C
'Transactions on the Web,'1-2-2-1-1-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'http://www.acm.org/tweb/,'1-2-2-1-1-2-2,0,0,0,1,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
"'Transactions on the Web (TWEB) is a journal publishing refereed articles reporting the results of research on Web content, applications, use, and related enabling technologies.",'1-2-2-1-2-1,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,N
"'We invite the submission of original, full-length papers, according to the author instructions on the TWEB website.",'1-2-2-1-2-2,1,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,3,N
'Topics in the scope of TWEB include but are not limited to the following:,'1-2-2-2-1,1,0,0,1,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'Browsers and Web Interfaces,'1-2-2-2-2-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Electronic Commerce,'1-2-2-2-2-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Electronic Publishing,'1-2-2-2-2-3,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Hypertext and Hypermedia,'1-2-2-2-2-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Semantic Web,'1-2-2-2-2-5,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Web Engineering,'1-2-2-2-2-6,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Web Services and Service-Oriented Computing,'1-2-2-2-2-7,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'XML,'1-2-2-2-2-8,0,0,0,1,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
"'In addition, papers addressing the intersection of the following broader technologies with the Web are also in scope:",'1-2-2-3-1,1,0,0,1,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Accessibility,'1-2-2-3-2-1-1,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Business Services,'1-2-2-3-2-1-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Education,'1-2-2-3-2-1-3,0,0,0,1,0,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Knowledge Management and Representation,'1-2-2-3-2-1-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Mobility and pervasive computing,'1-2-2-3-2-1-5,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Performance and scalability,'1-2-2-3-2-1-6,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Recommender systems,'1-2-2-3-2-1-7,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Searching, Indexing, Classification, Retrieval and Querying, Data Mining and Analysis",'1-2-2-3-2-1-8,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Security and Privacy,'1-2-2-3-2-1-9,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'User Interfaces,'1-2-2-3-2-1-10,0,0,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
"'Papers discussing specific Web technologies, applications, content generation and management and use are within scope. Also, papers describing novel applications of the web as well as papers on the",'1-2-2-3-2-2-1,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'underlying technologies are welcome.,'1-2-2-3-2-2-2,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,N
