content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Call for Papers,'1-2-1-1-1-2,0,0,1,2,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,C
'Call for Papers,'1-2-1-1-2-1,0,0,0,1,1,2,0,0,0,2,1,1,1,0,0,0,0,0,0,1,1,0,0,1,C
"'We encourage submissions of high quality papers on all topics in the general areas of databases, information retrieval, and knowledge management. Papers should contain previously unpublished work and not be under submission to other conferences or journals.",'1-2-1-1-2-2,2,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,1,0,0,0,1,N
'Details on how to submit to CIKM 2011 are available on the submissions page.,'1-2-1-1-2-3,1,0,0,1,0,0,1,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,3,N
"'Papers that bridge across these areas are of special interest and will be considered for a ""Best Interdisciplinary Paper"" award. Topics of interest in the three areas include, but are not limited to:",'1-2-1-1-2-4,2,0,0,1,0,0,0,2,1,2,1,1,1,1,0,0,0,0,0,1,0,0,0,3,N
'Databases,'1-2-1-1-2-5,0,0,0,1,1,1,0,0,1,2,1,1,0,1,0,0,0,0,0,1,1,1,1,3,C
'Access methods and indexing,'1-2-1-1-2-6-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
"'Authorization, data privacy and security",'1-2-1-1-2-6-2,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,1,1,0,0,1,I
'Concurrency control and recovery,'1-2-1-1-2-6-3,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Data quality, provenance, adaptability and reusability",'1-2-1-1-2-6-4,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'Data exchange, integration, evolution and migration",'1-2-1-1-2-6-5,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'Database languages and models (e.g., fuzzy data, probabilistic databases, meta-data management)",'1-2-1-1-2-6-6,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'Domain-specific databases (multi-media, scientific, spatial, temporal, text)",'1-2-1-1-2-6-7,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'Dynamic aspects of databases (updates, views, real-time data, sensor data, active databases, data streams)",'1-2-1-1-2-6-8,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'Mobile, parallel and distributed data management (including cloud computing)",'1-2-1-1-2-6-9,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
'Novel/advanced applications,'1-2-1-1-2-6-10,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Query processing, optimization and performance",'1-2-1-1-2-6-11,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Semantic Web and ontologies,'1-2-1-1-2-6-12,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'Semi-structured data processing, XML filtering and routing",'1-2-1-1-2-6-13,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'String databases, blogs and social search",'1-2-1-1-2-6-14,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'Systems, platforms, middleware and experiences",'1-2-1-1-2-6-15,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Workflow, Web services and Web Service Composition",'1-2-1-1-2-6-16,0,1,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Information Retrieval,'1-2-1-1-2-7,0,0,0,1,1,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,C
"'Aggregated search, Enterprise search, Desktop search",'1-2-1-1-2-8-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Personalised and collaborative search,'1-2-1-1-2-8-2,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Cross-language retrieval, Multilingual retrieval, Machine translation for IR",'1-2-1-1-2-8-3,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Distributed IR, Peer to peer IR",'1-2-1-1-2-8-4,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Domain-specific IR: genomic, legal, mobile, patents, ...",'1-2-1-1-2-8-5,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Evaluation, Test collections, Crowdsourcing for IR evaluation",'1-2-1-1-2-8-6,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Foundations of IR: Theory, Formal models",'1-2-1-1-2-8-7,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'HCIR, User Interfaces, Interactive IR, User models, User studies",'1-2-1-1-2-8-8,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Language technologies for IR (NLP, IE, Summarization, QA, ...)",'1-2-1-1-2-8-9,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Machine Learning for IR,'1-2-1-1-2-8-10,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Multimedia IR: audio, speech, image, video, and cross-media",'1-2-1-1-2-8-11,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Semi-structured information retrieval, Semantic search",'1-2-1-1-2-8-12,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'System Architectures, Scalability and Efficiency",'1-2-1-1-2-8-13,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Web IR and Social media search,'1-2-1-1-2-8-14,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Other topics related to IR (Adverserial IR, Advertising, Privacy, Text Mining, etc.)",'1-2-1-1-2-8-15,1,1,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,2,I
'Knowledge Management,'1-2-1-1-2-9,0,0,0,1,1,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,C
'Advertising and optimization,'1-2-1-1-2-10-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Classification and clustering,'1-2-1-1-2-10-2,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Data pre- and post-processing,'1-2-1-1-2-10-3,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
'Domain-specific and cross-domain knowledge management,'1-2-1-1-2-10-4,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Evaluation measures, methods and frameworks",'1-2-1-1-2-10-5,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Information Extraction,'1-2-1-1-2-10-6,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
