content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'acm,'1-1-1-1-2-1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,C
'Knowledge Discovery from Data,'1-1-1-1-2-2,0,0,0,2,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,C
'Referee Information,'1-1-1-2,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,C
'Table of Contents,'1-1-2-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Referee Rights,'1-1-2-2-1-2-1,0,0,0,1,0,2,1,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,1,I
'Referee Guidelines,'1-1-2-2-1-2-2,0,0,0,1,0,2,1,0,0,2,1,0,1,1,1,0,0,0,1,1,0,0,2,I
'TKDD Review Forms,'1-1-2-2-1-2-3,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Referee Rights,'1-1-2-2-2-1-1-1,0,0,1,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,2,C
"'ACM TKDD recognizes that reviewing is a service to the profession. The Rights and Responsibilities in ACM Publishing lists an extensive collection of rights that ACM provides its reviewers, underscoring ACM's commitment to those who play a critical role in ensuring quality in its publications. ACM TKDD guarantees all of those rights, and extends some of them. Specifically, reviewers can expect ACM TKDD to do the following:",'1-1-2-2-2-1-1-2-1,2,0,0,1,0,2,1,2,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,C
"'Not ask the referees to provide reviews for submissions that do not satisfy stated publication requirements, or are obviously inappropriate for the publication. The TKDD Editor-in-Chief checks every submission to ensure that it satisfies the stated publication requirements and is appropriate, and desk rejects those that are inappropriate.",'1-1-2-2-2-1-1-2-2-1,2,1,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Request the referees to review only submissions for which the editor feels they have expertise.,'1-1-2-2-2-1-1-2-2-2,1,0,0,1,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,1,2,I
