content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'JMLR Editorial Board,'1-1-1-1,0,0,1,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,C
'Editors-in-Chief,'1-1-1-2-1-1,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Kevin Murphy,'1-1-1-2-1-2-1,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Bernhard Schölkopf,'1-1-1-2-1-2-2,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Managing Editor,'1-1-1-2-2-1,0,0,1,1,0,2,0,0,0,2,1,1,1,0,1,0,0,0,0,1,0,0,2,I
'Aron Culotta,'1-1-1-2-2-2,0,0,0,1,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'Production Editor,'1-1-1-2-2-3,0,0,1,1,0,2,0,0,0,2,1,1,1,1,1,0,0,0,0,1,0,0,2,I
'Charles Sutton,'1-1-1-2-2-4,0,0,0,1,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'Web Master,'1-1-1-2-2-5,0,0,1,1,0,2,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'Chiyuan Zhang,'1-1-1-2-2-6,0,0,0,1,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,2,I
'JMLR Action Editors,'1-1-1-2-2-7,0,0,1,1,0,2,0,0,0,2,1,1,0,1,1,0,0,0,0,0,1,1,2,C
"'Edoardo M. Airoldi, Harvard University, USA",'1-1-1-2-2-8-1,0,1,0,1,0,2,0,0,0,2,1,0,1,0,0,1,1,0,0,1,0,0,1,I
