content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'JMLR News,'1-1-1-1,0,0,1,2,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,1,0,C
'Volume 14 completed; Volume 15 begun.,'1-1-1-2-1,0,1,0,1,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Welcome our new Co-Editors-in-Chief Kevin Murphy and Bernhard Schoelkopf.,'1-1-1-2-2,1,1,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Volume 13 completed; Volume 14 begun.,'1-1-1-2-3,0,1,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Volume 12 completed; Volume 13 begun.,'1-1-1-2-4,0,1,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Volume 11 completed; Volume 12 begun.,'1-1-1-2-5,0,1,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Volume 10 completed; Volume 11 begun.,'1-1-1-2-6,0,1,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Volume 9 completed; Volume 10 begun.,'1-1-1-2-7,0,1,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Volume 8 completed; Volume 9 begun.,'1-1-1-2-8,0,1,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for special topic on Multiple Simultaneous Hypothesis Testing.,'1-1-1-2-9,1,1,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'JMLR adopts changes to the review process to help maintain a rapid response time.,'1-1-1-2-10,1,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for special topic on Mining and Learning with Graphs and Relations.,'1-1-1-2-11,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'JMLR will publish machine learning open source software.,'1-1-1-2-12,0,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for special topic on Causality.,'1-1-1-2-13,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'JMLR will publish workshop and conference proceedings.,'1-1-1-2-14,0,1,0,1,0,0,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,2,I
'Volume 7 completed; Volume 8 begun.,'1-1-1-2-15,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special topic on Machine Learning for Computer Security completed.,'1-1-1-2-16,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special topic on Machine Learning and Large Scale Optimization completed.,'1-1-1-2-17,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Subscribe to the new RSS feed. Read more...,'1-1-1-2-18,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'JMLR will publish Discussion Articles.,'1-1-1-2-19,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for special topic on Model Selection.,'1-1-1-2-20,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special topic on Approaches and Applications of Inductive Programming completed.,'1-1-1-2-21,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Try the new JMLR search page.,'1-1-1-2-22,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Volume 6 completed; Volume 7 begun.,'1-1-1-2-23,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for special topic on Machine Learning for Computer Security.,'1-1-1-2-24,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'JMLR has an ISI 2004 impact factor rating of 5.952, which is the highest rating this year for a journal in artificial intelligence, automation and control, or statistics and probability. It is the second highest rating of any computer science journal. More on impact and indexing.",'1-1-1-2-25,2,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for special topic on Machine Learning and Large Scale Optimization.,'1-1-1-2-26,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for special topic on Approaches and Applications of Inductive Programming.,'1-1-1-2-27,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for special topic on Learning in Large Probabilistic Environments.,'1-1-1-2-28,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Volume 5 completed; Volume 6 begun.,'1-1-1-2-29,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special topic on Learning Theory completed.,'1-1-1-2-30,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Microtome Publishing and JMLR announce print archiving agreement (Press Release).,'1-1-1-2-31,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'JMLR has an ISI 2003 impact factor rating of 4.317, which is the second highest rating of journals in artificial intelligence. More on impact and indexing.",'1-1-1-2-32,1,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special issue on Independent Components Analysis published.,'1-1-1-2-33,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special issue on Learning Theory published.,'1-1-1-2-34,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special issue on Inductive Logic Programming published.,'1-1-1-2-35,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special issue on the Fusion of Domain Knowledge with Data for Decision Support published.,'1-1-1-2-36,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Volume 3 completed; Volume 4 begun.,'1-1-1-2-37,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special issue on Variable and Feature Selection published.,'1-1-1-2-38,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special issue on Learning Text and Images published.,'1-1-1-2-39,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special issue on Computational Learning Theory published.,'1-1-1-2-40,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for Special issue on Independent Component Analysis.,'1-1-1-2-41,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Special issue on Shallow Parsing published.,'1-1-1-2-42,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'JMLR selected for the Internet Scout Project National Science Digital Library Report for Math, Engineering, and Technology (5/24/2002).",'1-1-1-2-43,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for special issue on Learning from Text and Images.,'1-1-1-2-44,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Call for papers for special issue on Variable and Feature Selection.,'1-1-1-2-45,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'JMLR will be abstracted and/or indexed by Zentralblatt MATH, Mathematical Reviews/MathSciNet, Linguistics Abstracts, EBSCO, PsycINFO/Psychological Abstracts, INSPEC, and Computing Reviews.",'1-1-1-2-46,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
