content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Important Dates,'1-2-1-1-1-2,0,0,1,2,1,2,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,C
'Conference Dates,'1-2-1-1-2-1,0,0,0,1,1,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,C
"'Tutorial Day: 24th October, 2011",'1-2-1-1-2-2-1,0,1,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,I
"'Conference: 25-27th October, 2011",'1-2-1-1-2-2-2,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2,I
"'Workshops: 28th October, 2011",'1-2-1-1-2-2-3,0,1,0,1,0,2,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,2,I
'Full Papers - Research and Industry Track,'1-2-1-1-2-3,0,0,0,1,1,2,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,1,1,2,C
"'Abstracts due: 17th May, 2011",'1-2-1-1-2-4-1,0,1,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,I
"'Papers due: 24th May, 2011",'1-2-1-1-2-4-2,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,1,1,1,0,0,2,I
"'Notification of Acceptance: 19th July, 2011",'1-2-1-1-2-4-3,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'Camera Ready: 12th August, 2011",'1-2-1-1-2-4-4,0,1,0,1,0,2,0,1,1,2,1,0,0,1,1,0,0,0,1,0,1,0,0,2,I
'Posters,'1-2-1-1-2-5,0,0,0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,C
"'Papers due: 30th May, 2011",'1-2-1-1-2-6-1,0,1,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,1,1,1,0,0,1,I
"'Notification of Acceptance: 26th July, 2011",'1-2-1-1-2-6-2,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'Camera Ready: 12th August, 2011",'1-2-1-1-2-6-3,0,1,0,1,0,2,0,1,1,2,1,0,0,1,1,0,0,0,1,0,1,0,0,2,I
'Workshops,'1-2-1-1-2-7,0,0,0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,C
'Proposals due: 28th March,'1-2-1-1-2-8-1,0,1,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,I
"'Notification of Workshop Proposal Acceptance: 9th May, 2011",'1-2-1-1-2-8-2,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'Individual Workshop Papers Due: 29th June, 2011",'1-2-1-1-2-8-3,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,1,1,0,0,0,2,I
"'Notification of Workshop Papers Acceptance: 29th July, 2011",'1-2-1-1-2-8-4,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,1,1,1,0,0,2,I
"'Camera Ready of Workshop Papers: 12th August, 2011",'1-2-1-1-2-8-5,0,1,0,1,0,2,0,1,1,2,1,0,0,1,1,0,0,0,1,1,1,0,0,2,I
'Tutorials,'1-2-1-1-2-9,0,0,0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,C
"'Proposals due: 26th April, 2011",'1-2-1-1-2-10-1,0,1,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,I
"'Notification of Acceptance: 21st June, 2011",'1-2-1-1-2-10-2,0,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'Camera Ready: 12th August, 2011",'1-2-1-1-2-10-3,0,1,0,1,0,2,0,1,1,2,1,0,0,1,1,0,0,0,1,0,1,0,0,2,I
'Demonstrations,'1-2-1-1-2-11,0,0,0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,C
"'Papers due: 26th June, 2011",'1-2-1-1-2-12-1,0,1,0,1,0,2,0,1,2,2,1,0,1,0,0,0,0,0,1,1,1,0,0,1,I
"'Notification of Acceptance: 25th July, 2011",'1-2-1-1-2-12-2,0,1,0,1,0,2,0,1,2,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
"'Camera Ready: 12th August, 2011",'1-2-1-1-2-12-3,0,1,0,1,0,2,0,1,2,2,1,0,0,1,1,0,0,0,1,0,1,0,0,2,I
