content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'The 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies,'1-2-1-1,1,0,1,2,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'To be held at the Portland Marriott Downtown Waterfront in 
Portland, Oregon, USA, June 19-24, 2011",'1-2-1-2,1,0,0,1,1,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,I
'ACL-HLT 2011 Call for Papers,'1-2-2-1-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,C
"'Long Paper Submission Deadline: December 17, 2010 (11:59pm PST)",'1-2-2-1-1-2-1,0,0,0,1,0,2,0,1,0,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,C
"'Short Paper Submission Deadline: February 25, 2011 (11:59pm PST)",'1-2-2-1-1-2-2,0,0,0,1,0,2,0,1,0,2,1,1,1,1,0,0,1,0,1,0,0,0,0,1,C
"'The 49th Annual Meeting of the Association for Computational Linguistics and the Human Language Technologies conference will be organized as a single event to be held in Portland, Oregon, on June 19-24, 2011. The conference will cover a broad spectrum of technical areas related to natural language and computation. ACL-HLT 2011 will include full papers, short papers, oral presentations, poster presentations, demonstrations, tutorials, and workshops. The conference is organized by the Association for Computational Linguistics, in cooperation with The North American Chapter of the ACL.",'1-2-2-1-1-2-3,2,0,0,1,0,2,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,N
"'The conference invites the submission of papers on original and unpublished research on all aspects of computational linguistics, including but not limited to:",'1-2-2-1-1-2-4,1,0,0,1,0,0,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,1,1,3,C
"'Discourse, Dialogue, and Pragmatics",'1-2-2-1-1-2-5-1,0,1,0,1,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Information Extraction,'1-2-2-1-1-2-5-2,0,1,0,1,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Information Retrieval,'1-2-2-1-1-2-5-3,0,1,0,1,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
