content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Call for Tutorials,'1-1-2-1-2-1,0,0,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'The Call for Tutorials is now closed,'1-1-2-1-2-2-1-1,0,0,0,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,N
"'Download this as a PDF (A4, letter) or as plain text.",'1-1-2-1-2-2-1-2-1,1,0,0,1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,N
"'Prospective tutorial instructors are invited to submit a proposal for AIED2011. Similar to previous AIED conferences, tutorials will run in parallel with other conference activities, such as workshops, for either a half day or a full day. Proposals on advanced topics, new developments with a certain level of maturity and fundamentals of the AIED research are especially welcome. Tutorials should take a broad perspective on the topic, and should not be a sales pitch for a single body of work. Topics should have a direct relevance to the topics of the conference. Attendees are expected to register to the main AIED conference.",'1-1-2-1-2-2-1-2-2,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,3,N
'Registration fees of tutorial speakers for the tutorial as well as for the main conference are waived.,'1-1-2-1-2-2-1-2-3,1,0,0,1,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,3,N
'Format of tutorial proposals,'1-1-2-1-2-2-2-1,0,0,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
"'Tutorial proposals should be submitted to the tutorial chairs via email by the date specified below, should be between 2-5 pages and specify the following:",'1-1-2-1-2-2-2-2-1,1,0,0,1,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,C
'Title of tutorial.,'1-1-2-1-2-2-2-2-2-1,0,1,0,0,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Instructor(s): name.,'1-1-2-1-2-2-2-2-2-2,0,1,0,0,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Brief description of each instructor's experience and background.,'1-1-2-1-2-2-2-2-2-3,0,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Desired duration of tutorial: full/ half day.,'1-1-2-1-2-2-2-2-2-4,0,1,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Organisation: Description of the tutorial topic and learning objectives as well as its significance for the AIED community. This may include preliminary and/or follow-up activities planned, materials to be provided to participants, etc. as applicable.",'1-1-2-1-2-2-2-2-2-5,2,1,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'The intended audience (experience level and prerequisites; include list of names of potential attendees if you have a particular community in mind).,'1-1-2-1-2-2-2-2-2-6,1,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Expected results.,'1-1-2-1-2-2-2-2-2-7,0,1,0,0,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Important Dates,'1-1-2-1-2-2-3-1,0,0,1,2,0,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,1,1,2,C
'Submission of tutorial proposals: 11 February 2011,'1-1-2-1-2-2-3-2-1,0,1,0,0,0,2,0,1,1,2,1,0,1,0,0,0,1,0,1,0,1,0,0,1,I
'Notification of acceptance: 28 February 2011,'1-1-2-1-2-2-3-2-2,0,1,0,0,0,2,0,1,1,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
'Tutorial date: 27/28 June 2011,'1-1-2-1-2-2-3-2-3,0,1,0,0,0,2,0,1,1,2,1,0,0,1,0,0,1,0,1,0,1,0,0,2,I
'SUBMISSION INFORMATION,'1-1-2-1-2-2-4-1,0,0,1,2,0,2,0,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,0,2,C
"'Submit proposals electronically to Riichiro Mizoguchi (miz@ei.sanken.osaka-u.ac.jp) and Bert Bredeweg (B.Bredeweg@uva.nl). A tutorial proposal must be a single-file email attachment, either in PDF or MS Word format.",'1-1-2-1-2-2-4-2,1,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,I
'Tutorials Chairs,'1-1-2-1-2-2-5-1,0,0,1,2,0,2,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,2,C
'Riichiro Mizoguchi & Bert Bredeweg,'1-1-2-1-2-2-5-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Disclaimer,'1-1-2-2-2-1,0,0,0,1,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,N
'IAIED©2010,'1-1-2-2-2-2,0,0,0,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,N
'Developed and maintained by ICTG,'1-2,0,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,N
