content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'The 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies,'1-2-1-1,1,0,1,2,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'To be held at the Portland Marriott Downtown Waterfront in 
Portland, Oregon, USA, June 19-24, 2011",'1-2-1-2,1,0,0,1,1,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,I
'New Information,'1-2-2-1-1-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2,C
'Conference program has been posted,'1-2-2-1-1-2-1,0,1,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Conference registration is now available,'1-2-2-1-1-2-2,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Student Dormitory Housing information is avaliable,'1-2-2-1-1-2-3,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Accepted short papers have been posted,'1-2-2-1-1-2-4,0,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
'Student volunteer and travel award information,'1-2-2-1-1-2-5,0,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Tutorial descriptions have been posted,'1-2-2-1-1-2-6,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Accepted long papers have been posted,'1-2-2-1-1-2-7,0,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
'Visa information to enter the United States,'1-2-2-1-1-2-8,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,2,I
'ACL/HLT Workshops have been posted,'1-2-2-1-1-2-9,0,1,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Important Dates,'1-2-2-1-2,0,0,0,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,2,C
"'Noverber 4, 2010",'1-2-2-2-1-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
