content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'ACM Transactions on the Web,'1-1-2-4-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,C
'Information for authors,'1-2-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,C
'Is TWEB the right place to publish your work?,'1-2-2-1-2-1-1-1,0,0,0,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,C
'Call for Papers,'1-2-2-1-2-1-1-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,I
"'Publication of an enhanced version of a previously published conference paper is possible if the review process determines that (a) the revision contains significant enhancements, amplification or clarification of the original material and (b) there is a significant additional benefit to be gained from journal publication. Any prior appearance of a substantial amount of a submission should be noted in the submission letter and on the title page; a footnote on the first page should indicate that the paper is an extended version of the earlier paper (s). A separate file should describe the differences between the original conference paper and the new submission; this file should be uploaded according to the directions in the Manuscript Central paper submission system. The authors should also upload an electronic version of the earlier publcation (s) according to the directions in Manuscript Central. Authors are encouraged to read the ACM Policy on Prior Publication and Simultaneous Submissions as well as the ACM Policy and Procedures on Plagiarism (including self plagiarism). TWEB forbids authors from submitting papers which would be under consideration simultaneously for publication in both TWEB and another copyrighted forum.",'1-2-2-1-2-1-2-1,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,N
"'Submissions should be well-positioned within the WWW literature, showing how the work reported fits in with existing work. References to relevant papers in the WWW literature should be cited - if there are few of these then the paper may not be relevant for TWEB (see Related work below). Papers should also have a substantial evaluation section.",'1-2-2-1-2-1-2-2,2,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,N
'Formatting and preparing your manuscript,'1-2-2-1-2-2-1-1,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,C
'ACM formatting guidelines,'1-2-2-1-2-2-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,1,0,0,0,1,1,0,0,1,N
"'To ensure proper indexing, classification, retrieval and dissemination, authors must include the following in the manuscript.",'1-2-2-1-2-2-2-1,1,0,0,1,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,3,N
'Descriptive title,'1-2-2-1-2-2-2-2-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,3,I
'Author names and affiliations,'1-2-2-1-2-2-2-2-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Abstract,'1-2-2-1-2-2-2-2-3,0,0,0,1,0,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Content indicators,'1-2-2-1-2-2-2-2-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Related work,'1-2-2-1-2-2-2-2-5,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Citations to relevant literature,'1-2-2-1-2-2-2-2-6,0,0,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'The following are guidelines for the preparation of this material.,'1-2-2-1-2-2-2-3,1,0,0,1,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,1,1,2,C
'Descriptive title,'1-2-2-1-2-2-2-4-1,0,1,0,1,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,I
'Author names and affiliations,'1-2-2-1-2-2-2-4-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
