content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'Crypto Conference,'1-2-1-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,C
"'The Crypto conference is an international conference on all aspects of cryptology. The Crypto conference has been held every year since 1981 in Santa Barbara, California, USA.",'1-2-1-2-1,1,0,0,1,0,2,0,0,1,2,1,1,1,0,1,1,0,0,0,0,0,0,1,N
'Information about previous years is available below. Information about publications from the conferences may be found in Cryptodb.,'1-2-1-2-2,1,0,0,1,0,0,1,0,1,2,1,1,0,1,0,0,0,1,0,0,1,1,3,N
"'Crypto 2018, Santa Barbara, USA.",'1-2-1-2-3-1,0,1,0,1,0,2,1,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,3,I
"'Crypto 2017, Santa Barbara, USA.",'1-2-1-2-3-2,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2016, Santa Barbara, USA.",'1-2-1-2-3-3,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2015, Santa Barbara, USA.",'1-2-1-2-3-4,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2014, Santa Barbara, USA.",'1-2-1-2-3-5,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2013, Santa Barbara, CA, USA.",'1-2-1-2-3-6,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2012, Santa Barbara, USA.",'1-2-1-2-3-7,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2011, Santa Barbara, USA.",'1-2-1-2-3-8,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2010, Santa Barbara, USA.",'1-2-1-2-3-9,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2009, Santa Barbara, CA, USA.",'1-2-1-2-3-10,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2008, Santa Barbara, California, USA.",'1-2-1-2-3-11,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2007, Santa Barbara, USA.",'1-2-1-2-3-12,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2006, Santa Barbara (CA), USA.",'1-2-1-2-3-13,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2005, Santa Barbara California, United States.",'1-2-1-2-3-14,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2004, Santa Barbara, CA, USA.",'1-2-1-2-3-15,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2003, Santa Barbara, CA, USA.",'1-2-1-2-3-16,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2002, Santa Barbara, CA, USA.",'1-2-1-2-3-17,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2001, Santa Barbara, CA, USA.",'1-2-1-2-3-18,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 2000, Santa Barbara, CA, USA. Mirror of website Mirror created 01-Jan-01.",'1-2-1-2-3-19,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,1,0,0,0,0,2,I
"'Crypto 1999, Santa Barbara, CA, USA.",'1-2-1-2-3-20,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 1998, Santa Barbara, CA, USA.",'1-2-1-2-3-21,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 1997, Santa Barbara, CA, USA.",'1-2-1-2-3-22,0,1,0,1,0,2,1,0,2,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 1996, Santa Barbara, CA, USA.",'1-2-1-2-3-23,0,1,0,1,0,2,1,0,2,2,1,0,1,1,0,1,0,0,0,1,0,0,2,I
"'Crypto 1995, Santa Barbara, CA, USA.",'1-2-1-2-3-24,0,1,0,1,0,2,1,0,2,2,1,0,0,1,0,1,0,0,0,1,0,0,2,I
'Copyright © 2014 IACR,'1-2-2,0,0,0,1,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,N
