content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'JMLR: Workshop and Conference Proceedings,'1-2-1-1,0,0,0,2,1,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,C
'ISSN: 1938-7228,'1-2-1-2-1-1,0,0,1,2,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,C
"'The JMLR: Workshop and Conference Proceedings series is a new series aimed specifically at publishing work presented at workshops and conferences. Each volume is separately titled and associated with a particular workshop or conference and will be pulished online on the JMLR web site. Authors will retain copyright and individual volume editors are free to make additional hardcopy publishing arrangements (see for example the Challenges in Machine Learning series which includes free PDFs and low cost hard copies), but JMLR will not produce hardcopies of these volumes.",'1-2-1-2-1-2,2,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,N
'Editors,'1-2-1-2-2-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,3,C
'Neil Lawrence Mark Reid,'1-2-1-2-2-2-1-1,0,0,0,1,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'N.Lawrencedcs.shef.ac.uk,'1-2-1-2-2-2-1-2-1,0,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'. Each proposal should include:,'1-2-1-2-2-2-1-2-2,0,0,0,1,0,2,0,2,1,2,0,0,0,1,0,0,0,0,1,1,1,1,2,I
'A brief description of the event's scope and topics to be covered.,'1-2-1-2-2-2-2-1,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,I
'A description of the review process for the proceedings.,'1-2-1-2-2-2-2-2,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'The names and short CVs (a few lines) of the proposed Proceedings Editors.,'1-2-1-2-2-2-2-3,1,1,0,1,0,2,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,2,I
'For frequently asked questions on preparing proceedings please see the FAQ.,'1-2-1-2-2-2-3,1,0,0,1,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,N
'News,'1-2-1-2-3-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,1,0,0,0,0,1,1,1,3,C
'As of 11th March 2007 Volume 1 (Gaussian Processes in Practice) is available.,'1-2-1-2-3-2-1,1,1,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,I
'As of 27th October 2007 Volume 2 (AISTATS 2007 Proceedings) is available.,'1-2-1-2-3-2-2,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,2,I
'As of 11th September 2008 Volume 4 (New Challenges for Feature Selection in Data Mining and Knowledge Discovery) is available.,'1-2-1-2-3-2-3,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'As of 31st December 2008 Volume 3 (Causation and Prediction Challenge (WCCI 2008)) is available.,'1-2-1-2-3-2-4,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,2,I
'As of 15th April 2009 Volume 5 (AISTATS 2009 Proceedings) is available.,'1-2-1-2-3-2-5,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,2,I
'As of 4th December 2009 Volume 7 (Proceedings of KDD-Cup 2009 competition) is available.,'1-2-1-2-3-2-6,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,2,I
'As of 18th February 2010 Volume 6 (Causality: Objectives and Assessment (NIPS 2008 Workshop)) is available.,'1-2-1-2-3-2-7,1,1,0,1,0,2,1,1,1,2,1,0,1,1,0,0,0,1,0,0,0,0,2,I
'As of 2nd March 2010 Volume 8 (Proceedings of MLSB 2009) is available.,'1-2-1-2-3-2-8,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,2,I
'As of 31st March 2010 Volume 9 (AISTATS 2010 Proceedings) is available.,'1-2-1-2-3-2-9,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,2,I
