content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'acm,'1-1-1-2-1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,C
'Knowledge Discovery from Data,'1-1-1-2-2,0,0,0,2,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,C
'Editorials,'1-1-2-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'The current editorial board information is as follows.,'1-1-2-2-2-1-1-1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,C
'Editor-in-Chief,'1-1-2-2-2-1-1-2,0,0,0,1,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,C
'Philip S. Yu,'1-1-2-2-2-1-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'University of Illinois at Chicago, USA",'1-1-2-2-2-1-2-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Editorial board members of ACM TKDD,'1-1-2-2-2-2,0,0,0,1,1,2,0,0,1,2,1,1,0,0,1,0,0,0,1,1,0,0,2,C
'Charu Aggarwal,'1-1-2-2-2-3-1-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'IBM T. J. Watson Research, USA",'1-1-2-2-2-3-1-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,2,I
'Diane J. Cook,'1-1-2-2-2-3-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Washington State University, USA",'1-1-2-2-2-3-2-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Ian Davidson,'1-1-2-2-2-3-3-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'University of California at Davis, USA",'1-1-2-2-2-3-3-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Wei Fan,'1-1-2-2-2-3-4-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Huawei Noah’s Ark Lab, HK",'1-1-2-2-2-3-4-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,2,I
'Johannes Gehrke,'1-1-2-2-2-3-5-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Cornell University, USA",'1-1-2-2-2-3-5-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Joydeep Ghosh,'1-1-2-2-2-3-6-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'University of Texas at Austin, USA",'1-1-2-2-2-3-6-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Rong Jin,'1-1-2-2-2-3-7-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Michigan State University, USA",'1-1-2-2-2-3-7-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'George Karypis,'1-1-2-2-2-3-8-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'University of Minnesota, USA",'1-1-2-2-2-3-8-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Irwin King,'1-1-2-2-2-3-9-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'The Chinese University of Hong Kong,'1-1-2-2-2-3-9-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Ravi Kumar,'1-1-2-2-2-3-10-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Google, USA",'1-1-2-2-2-3-10-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Tao Li,'1-1-2-2-2-3-11-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Florida International University, USA",'1-1-2-2-2-3-11-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Srinivasan Parthasarathy,'1-1-2-2-2-3-12-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'The Ohio State University, USA",'1-1-2-2-2-3-12-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Jian Pei,'1-1-2-2-2-3-13-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Simon Fraser University, Canada",'1-1-2-2-2-3-13-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Vincent S. Tseng,'1-1-2-2-2-3-14-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'National Cheng Kung University, Taiwan",'1-1-2-2-2-3-14-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,2,I
'Ke Wang,'1-1-2-2-2-3-15-1,0,0,0,1,0,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Simon Fraser University, Canada",'1-1-2-2-2-3-15-2,0,0,0,1,0,2,0,0,2,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Mohammed J. Zaki,'1-1-2-2-2-3-16-1,0,0,0,1,0,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Rensselaer Polytechnic Institute, USA",'1-1-2-2-2-3-16-2,0,0,0,1,0,2,0,0,2,2,0,0,0,1,0,1,1,0,0,1,0,0,2,I
'Email questions and comments to tkdd@acm.org,'1-2,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
