content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'ASAP 2011 — 22nd IEEE International Conference on,'1-1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,C
"'Application-specific Systems, Architectures and Processors",'1-1-2-1-2,0,0,1,2,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Santa Monica, California, USA, September 11-14, 2011",'1-1-2-2-1,0,0,1,2,1,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,I
'Welcome to ASAP 2011,'1-2-1-1-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'The 22nd IEEE International Conference on Application-specific Systems, Architectures and Processors will take place in Santa Monica, California, a beautiful coastal town in the Los Angeles Metropolitan area, rich in cultural, entertainment, and outdoor attractions.",'1-2-1-1-2-2-1,2,0,0,1,0,2,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,N
"'The history of the event traces back to the International Workshop on Systolic Arrays, organized in 1986 in Oxford, UK. It later developed into the International Conference on Application Specific Array Processors. With its current title, it was organized for the first time in Chicago, USA in 1996. Since then it has alternated between Europe and North-America.",'1-2-1-1-2-2-2,2,0,0,1,0,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
"'The conference will cover the theory and practice of application-specific systems, architectures and processors. Areas for application-specific computing are many and varied. Some sample application areas include information systems, signal and image processing, multimedia systems, communication, high-speed networks, sensor networks, compression, graphics, cryptography, and many areas of computational science. Aspects of application-specific computing that are of interest include, but are not limited to:",'1-2-1-1-2-2-3,2,0,0,1,0,0,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,1,1,3,C
"'Application-specific systems: network computing, special-purpose systems, performance evaluation, design languages, compilers, operating systems, nanocomputing systems and applications, hardware/software integration and rapid prototyping.",'1-2-1-1-2-2-4-1,1,1,0,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Application-specific architectures: special-purpose designs, design methodology, CAD tools, fault tolerance, specifications and interfaces, networks-on-a-chip, hardware/software co-design, processor arrays, SoC, superscalar, multithreaded, VLIW and EPIC architectures.",'1-2-1-1-2-2-4-2,1,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Application-specific processors: digital signal processing, computer arithmetic, reconfigurable/custom computing, implementation methodologies, new technologies, fine-grain parallelism, FPGAs, low-power designs and asynchronous hardware.",'1-2-1-1-2-2-4-3,1,1,0,1,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'ASAP 2011 is organized by,'1-2-1-2-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,N
'and sponsored by IEEE Technical Committee on VLSI,'1-2-1-2-2-2,0,0,1,2,1,2,0,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,3,N
'Site last modified 2011-4-12 12:25:00 PST,'1-2-2,0,0,0,1,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,N
