content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'CCS 2011,'1-1-1-1-1-1,0,0,0,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'18th ACM Conference on Computer and Communications Security,'1-1-1-1-1-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,C
"'OCT 17-21 2011. SWISSÔTEL Chicago, Chicago, IL, USA",'1-1-1-1-1-2-2,0,0,0,0,1,2,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,I
'Important Notices,'1-1-1-2-1,0,0,1,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,C
'02-05-2011: Call for Workshops announced.,'1-1-1-2-2-1,0,1,0,0,0,2,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'02-01-2011: Call for Papers announced.,'1-1-1-2-2-2,0,1,0,0,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
'01-10-2011: CCS 2011 web site is up,'1-1-1-2-2-3,0,1,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Welcome to CCS 2011,'1-1-1-3-1,0,0,1,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'The annual ACM Computer and Communications Security Conference is a leading international forum for information security researchers, practitioners, developers, and users to explore cutting-edge ideas and results, and to exchange techniques, tools, and experiences. We invite submissions from academia, government, and industry presenting novel research on all theoretical and practical aspects of computer security, as well as case studies and implementation experiences.",'1-1-1-3-2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,N
'© Copyright 2011 ACM/SIGSAC - All rights reserved.,'1-2,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,N
