content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'Welcome to ACM TOCS,'1-1-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,C
'Information for Authors,'1-1-2,0,0,1,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,C
'ACM manuscript central,'1-2-1-1-1,0,0,0,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,C
'Descriptive title,'1-2-1-1-2-1,0,1,0,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,C
'Author names and affiliations,'1-2-1-1-2-2,0,1,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,I
'Abstract,'1-2-1-1-2-3,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Content indicators,'1-2-1-1-2-4,0,1,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Citations to relevant literature,'1-2-1-1-2-5,0,1,0,1,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'The ACM Computing Classification System,'1-2-1-1-3,0,0,0,1,0,2,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,2,N
"'Many manuscripts submitted to ACM Transactions on Computer Systems are based on the author's own previous publications (e.g., conference papers). Such manuscripts should contain a footnote on the first page that lists the authors' relevant prior publications and states the contributions of the manuscript beyond these publications. The norm for ACM Journals and Transactions is that the submitted manuscript must contain at least 25% new content (i.e., new insights, new results, etc.). For more details, see Policy on Prior Publication and Simultaneous Submissions and ACM Policy and Procedures on Plagiarism.",'1-2-1-1-4,2,0,0,1,0,2,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3,N
'Please prepare you submission in LaTex or Word formatted in the ACM style which is required for publication in TOCS. Instructions for these formats are on the ACM Web site:,'1-2-1-2-1-1,2,0,0,1,0,2,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,3,C
'Latex style guide,'1-2-1-2-1-2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Microsoft Word style guide,'1-2-1-2-2-1-1,0,0,0,1,0,2,1,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,2,I
'When the paper is accepted for publication ACM requires the following files:,'1-2-1-2-2-1-2,1,0,0,1,0,0,0,2,1,2,1,1,0,1,0,0,0,0,1,0,0,0,2,C
'source files,'1-2-1-2-2-1-3-1-1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,I
'Computing Classification System Terms,'1-2-1-2-2-1-3-1-2-1,0,1,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,I
"'General Terms, one or more of the fixed 16 Terms",'1-2-1-2-2-1-3-1-2-2,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Additional Keywords and Phrases,'1-2-1-2-2-1-3-1-2-3,0,1,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'full paper in PDF; and,'1-2-1-2-2-1-3-2,0,1,0,1,0,2,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2,I
"'(eps) encapsulated individual postscript files for all graphics (eps of all figures are needed in case ACM may need to resize the figures after the source file conversion). Other acceptable formats are gif, tif, or jpg but eps is preferred.",'1-2-1-2-2-1-3-3,2,1,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,2,I
'Guidelines for Submitting Articles,'1-2-1-2-2-1-4,0,0,0,1,0,2,1,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,2,N
'Copyright and Use,'1-2-1-2-2-2-1-1,0,0,1,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,C
'New options for ACM authors to manage rights and permissions for their work:,'1-2-1-2-2-2-1-2-1,1,0,0,1,1,0,1,2,1,2,0,0,1,0,1,0,0,0,1,0,0,0,1,I
'ACM Author Rights webpage,'1-2-1-2-2-2-1-2-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,2,N
'Author-Izer Service,'1-2-1-2-2-2-2,0,0,0,1,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,N
'Page Charges,'1-2-1-2-2-3-2,0,0,1,1,1,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,C
'Formatting,'1-2-1-3-1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,C
'Submissions,'1-2-1-3-2,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
