content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'AIED 2011 Call for Papers,'1-1-2-1-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,C
"'Download this as a PDF (A4, letter) or as plain text.",'1-1-2-1-2-1-1-1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,N
'The Call for Papers is now closed,'1-1-2-1-2-1-1-2,0,0,0,2,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,N
'Final Call for Papers,'1-1-2-1-2-1-2-1,0,0,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,C
'Artificial Intelligence in Education 2011,'1-1-2-1-2-1-2-2-1-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,C
'www.aied2011.canterbury.ac.nz,'1-1-2-1-2-1-2-2-1-2-1-2,0,0,0,1,1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'The 15th International Conference on Artificial Intelligence in Education (AIED 2011) is the next in a longstanding series of biennial international conferences for high quality research in intelligent systems and cognitive science for education and training applications. The conference provides opportunities for the cross-fertilization of approaches, techniques and ideas from the many areas that make up this interdisciplinary research field, including: agent technologies, artificial intelligence, computer science, cognitive and learning sciences, education, educational technologies, game design, psychology, philosophy, sociology, anthropology, linguistics, and the many domain-specific areas for which AIED systems have been designed, deployed and evaluated.",'1-1-2-1-2-1-2-2-1-2-2,2,0,0,1,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,N
"'To reflect these broad interests that combine advanced technology with advanced understanding of learners, learning, and the context of learning, the theme of AIED 2011 is ""Next Generation Learning Environments: Supporting Cognitive, Metacognitive, Social and Affective Aspects of Learning"".",'1-1-2-1-2-1-2-2-1-2-3,2,0,0,1,0,2,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
"'We invite submissions to the AIED 2011 conference, which will be held 28 June - 2 July 2011, in Auckland, New Zealand.",'1-1-2-1-2-1-2-2-1-2-4,1,0,0,1,0,2,0,0,1,2,1,1,0,1,0,1,0,0,1,0,0,0,0,3,N
'Topics,'1-1-2-1-2-1-2-2-2-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,3,C
'1. Modelling and Representation,'1-1-2-1-2-1-2-2-2-2-1-1,0,0,1,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,C
"'Models of learners, facilitators, tasks and problem-solving processes",'1-1-2-1-2-1-2-2-2-2-1-2-1,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Models of groups and communities for learning,'1-1-2-1-2-1-2-2-2-2-1-2-2,0,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Modelling learning contexts,'1-1-2-1-2-1-2-2-2-2-1-2-3,0,1,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Modelling motivation, metacognition, and affective aspects of learning",'1-1-2-1-2-1-2-2-2-2-1-2-4,0,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Ontological modelling,'1-1-2-1-2-1-2-2-2-2-1-2-5,0,1,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Dealing with learner dynamics,'1-1-2-1-2-1-2-2-2-2-1-2-6,0,1,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Handling uncertainty and multiple perspectives,'1-1-2-1-2-1-2-2-2-2-1-2-7,0,1,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Representing and analysing discourse during learning,'1-1-2-1-2-1-2-2-2-2-1-2-8,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'2. Models of Learning,'1-1-2-1-2-1-2-2-2-2-2-1,0,0,1,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2,C
'Intelligent tutoring and scaffolding,'1-1-2-1-2-1-2-2-2-2-2-2-1,0,1,0,0,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Intelligent games for learning,'1-1-2-1-2-1-2-2-2-2-2-2-2,0,1,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Motivational diagnosis and feedback,'1-1-2-1-2-1-2-2-2-2-2-2-3,0,1,0,0,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
