content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'ACM Transactions on Storage,'1-1-1-1-1,0,0,1,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,C
'ACM,'1-1-1-2-1,0,0,0,1,0,1,1,0,1,2,1,1,1,0,0,0,0,0,1,1,0,0,1,N
"'The scope of ACM TOS includes, but is not limited to, the following areas:",'1-1-1-2-2,1,0,0,1,0,2,0,2,1,2,1,1,0,1,0,0,0,0,1,0,1,1,3,C
"'Storage Systems Architecture, Design, and Validation: parallel, distributed, peer-to-peer, and GRID storage systems, Storage Area Networks (SAN), Network-Attached Storage (NAS), performance evaluation and monitoring, predictive and adaptive techniques, support for multimedia computing applications, mass storage systems, formal and empirical validation methods.",'1-1-1-2-3-1,2,1,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Storage Networking: Protocols for networked storage systems, storage switch and fabric design.",'1-1-1-2-3-2,1,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Storage Resource Management: virtualization, management, discovery, provisioning of storage resources, security, reliability, scalability, policy-based management, object-based storage devices, and interoperability support for heterogeneity in systems, devices, and software.",'1-1-1-2-3-3,1,1,0,1,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Replication, Backup, and Recovery: continuous backup methods, real-time and policy-based recovery, volume, file, and application-level recovery, disaster tolerance.",'1-1-1-2-3-4,1,1,0,1,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Operating System and Application Support: Caching, file systems, interoperability, and design of application programming interfaces.",'1-1-1-2-3-5,1,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Information Lifecycle Management (ILM): management of data based on configurable policies and regulatory compliance, processes, and workflow for data storage, security, and storage middleware including data management systems",'1-1-1-2-3-6,1,1,0,1,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Storage Media and Devices: optical, magnetic, acoustic, MEMS-based storage devices, MRAM, Bio/Nano-storage devices, device abstractions, and I/O protocols.",'1-1-1-2-3-7,1,1,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Theory: Algorithms for coding, and signal-processing techniques for high data rates, densities, and low power.",'1-1-1-2-3-8,1,1,0,1,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
"'Contributions may extend original work published in conferences and workshops, or may be based on entirely new unpublished work. Tutorial and survey articles that provide and detailed treatment of emerging and established topics are welcome.",'1-1-1-2-4-1,2,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'ACM digital libraries Association for Computing Machinery (ACM),'1-1-1-2-4-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,2,I
"'New options for ACM authors to manage rights and permissions for their work: ACM introduces a new publishing license agreement, an updated copyright transfer agreement, and a new author-pays option which allows for perpetual open access through the ACM Digital Library. For more information, visit the ACM Author Rights webpage at http://authors.acm.org.",'1-1-2-2-1,2,0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,2,N
"'For more news, please read the News page.",'1-1-2-2-2,0,0,0,1,0,2,1,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,3,N
