content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'JMLR Papers,'1-1-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,C
'Select a volume number to see its table of contents with links to the papers.,'1-1-1-2-1-1,1,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,N
'Volume 15,'1-1-1-2-1-2,0,0,0,1,0,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,3,I
'Volume 14 (Jan 2013 - Dec 2013),'1-1-1-2-1-3,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,1,0,1,0,0,2,I
'Volume 13 (Jan 2012 - Dec 2012),'1-1-1-2-1-4,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,1,0,1,0,0,2,I
'Volume 12 (Jan 2011 - Dec 2011),'1-1-1-2-1-5,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,1,0,1,0,0,2,I
'Volume 11 (Jan 2010 - Dec 2010),'1-1-1-2-1-6,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,1,0,1,0,0,2,I
'Volume 10 (Jan 2009 - Dec 2009),'1-1-1-2-1-7,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,1,0,0,2,I
'Volume 9 (Jan 2008 - Dec 2008),'1-1-1-2-1-8,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,1,0,0,2,I
'Volume 8 (Jan 2007 - Dec 2007),'1-1-1-2-1-9,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,1,0,0,2,I
'Volume 7 (Jan 2006 - Dec 2006),'1-1-1-2-1-10,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,0,1,0,0,2,I
